word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
its	its	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
jungle	jun-	16	1	1	1	0	0
jungle	gle	16	1	1	2	0	0
sometimes	some-	16	1	NA	NA	0	0
sometimes	times	16	2	NA	NA	0	0
it	it	16	1	NA	NA	0	0
makes	makes	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
wonder	won-	16	1	1	1	0	0
wonder	der	16	1	1	2	1	0
why	why	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
ducking	duck-	16	1	NA	NA	0	0
ducking	ing	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bed	bed	16	2	NA	NA	0	0
when	when	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
hear	hear	8	1	NA	NA	0	0
thunder	thun-	16	1	1	1	0	0
thunder	der	32	1	1	2	1	0
cuz	cuz	32	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
crazy	cra-	16	1	2	1	0	0
crazy	zy	8	1	2	2	0	0
i	i	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
thats	thats	16	1	NA	NA	0	0
crazy	cra-	16	1	2	1	0	0
crazy	zy	16	1	2	2	0	0
to	to	16	1	NA	NA	0	0
crazy	cra-	16	1	2	1	0	0
crazy	zy	16	1	2	2	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	1	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
crazy	cra-	16	1	2	1	0	0
crazy	zy	16	1	2	2	0	0
so	so	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
relate	re-	16	1	NA	NA	0	0
relate	late	16	2	NA	NA	0	0
to	to	16	1	2	1	0	0
me	me	16	1	2	2	1	0
and	and	16	1	NA	NA	0	0
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
shady	sha-	16	1	2	1	0	0
shady	dy	16	1	2	2	0	0
so	so	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
evil	e-	16	1	NA	NA	0	0
evil	vil	16	1	NA	NA	0	0
baby	ba-	16	1	2	1	0	0
baby	by	16	1	2	2	1	0
i	i	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
that	that	8	1	NA	NA	0	1
im	im	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
crazy	cra-	16	1	2	1	0	0
crazy	zy	16	1	2	2	0	0
as	as	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
made	made	16	1	2	1	0	0
me	me	16	1	2	2	1	0
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	NA	NA	0	0
me	me	8	1	NA	NA	0	1
therell	there-	24	1	NA	NA	0	0
therell	ll	24	1	NA	NA	0	0
be	be	24	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
many	ma-	16	1	NA	NA	0	0
many	ny	16	1	NA	NA	0	0
muthafuckin	mu-	16	1	NA	NA	0	0
muthafuckin	tha-	16	1	NA	NA	0	0
muthafuckin	fuck-	16	1	NA	NA	0	0
muthafuckin	in	16	1	NA	NA	0	0
murderers	mur-	16	1	NA	NA	0	0
murderers	der-	16	1	NA	NA	0	0
murderers	ers	16	1	NA	NA	1	0
and	and	16	1	NA	NA	0	0
heroin	her-	16	1	NA	NA	0	0
heroin	o-	16	1	NA	NA	0	0
heroin	in	16	1	NA	NA	0	0
users	u-	16	1	3	1	0	0
users	sers	16	1	3	2	0	0
without	with-	16	1	NA	NA	0	0
without	out	8	1	NA	NA	0	1
marlilyns	mar-	16	1	NA	NA	0	0
marlilyns	li-	16	1	NA	NA	0	0
marlilyns	lyns	16	1	NA	NA	0	0
music	mu-	16	1	3	1	0	0
music	sic	8	1	3	2	1	1
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
figure	fi-	24	1	NA	NA	0	0
figure	gure	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
music	mu-	16	1	3	1	0	0
music	sic	16	1	3	2	0	0
i	i	16	1	NA	NA	0	0
dont	dont	16	1	NA	NA	0	0
care	care	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
use	use	16	1	3	1	0	0
it	it	16	1	3	2	1	0
