word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
have	have	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
loved	loved	16	2	NA	NA	0	0
someone	some-	16	1	NA	NA	0	0
someone	one	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
much	much	16	2	NA	NA	0	0
you'd	you'd	16	1	NA	NA	0	0
give	give	16	1	1	1	0	0
an	an	16	1	1	2	0	0
arm	arm	16	1	1	3	0	0
for	for	16	2	1	4	1	1
not	not	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
expression	ex-	16	1	NA	NA	0	0
expression	press-	16	1	NA	NA	0	0
expression	ion	16	2	NA	NA	0	0
no	no	16	2	NA	NA	0	1
literally	lit-	16	1	NA	NA	0	0
literally	er-	32	1	NA	NA	0	0
literally	al-	32	1	NA	NA	0	0
literally	ly	16	1	NA	NA	0	0
give	give	16	1	1	1	0	0
an	an	16	1	1	2	0	0
arm	arm	16	1	1	3	0	0
for	for	16	2	1	4	1	1
when	when	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
they're	they're	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
heart	heart	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
were	were	16	1	1	1	0	0
their	their	16	1	1	2	0	0
armour	arm-	16	1	1	3	0	0
armour	our	16	2	1	4	1	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
destroy	des-	16	1	NA	NA	0	0
destroy	troy	16	2	NA	NA	0	0
anyone	an-	16	1	NA	NA	0	0
anyone	y-	16	1	NA	NA	0	0
anyone	one	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
try	try	16	1	1	1	0	0
to	to	16	1	1	2	0	0
harm	harm	16	1	1	3	0	0
her	her	16	2	1	4	1	1
but	but	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
happens	hap-	16	1	NA	NA	0	0
happens	pens	16	1	1	1	0	0
when	when	16	1	1	2	0	0
karma	kar-	16	1	1	3	0	0
karma	ma	16	2	1	4	0	1
turns	turns	16	1	NA	NA	0	0
right	right	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
bites	bites	16	1	2	1	0	0
you	you	16	2	2	2	1	1
and	and	16	1	NA	NA	0	0
everything	eve-	16	1	NA	NA	0	0
everything	ry-	16	1	NA	NA	0	0
everything	thing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
stand	stand	16	2	NA	NA	0	0
for	for	16	2	NA	NA	0	0
turns	turns	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
spite	spite	16	1	2	1	0	0
you	you	16	2	2	2	1	1
what	what	16	1	NA	NA	0	0
happens	hap-	16	1	NA	NA	0	0
happens	pens	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
become	be-	16	1	NA	NA	0	0
become	come	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
main	main	16	2	NA	NA	0	0
source	source	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
her	her	16	1	3	1	0	0
pain	pain	16	3	3	2	1	1
daddy	dad-	16	1	NA	NA	0	0
daddy	dy	16	1	NA	NA	0	0
look	look	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	3	1	0	0
made	made	16	2	3	2	0	0
dad's	dad's	16	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
catch	catch	16	1	NA	NA	0	0
a	a	16	1	3	1	0	0
plane	plane	16	3	3	2	1	1
daddy	dad-	16	1	NA	NA	0	0
daddy	dy	16	1	NA	NA	0	0
where's	where's	16	1	NA	NA	0	0
mommy	mom-	16	1	4	1	0	0
mommy	my	16	2	4	2	0	1
i	i	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
find	find	16	2	NA	NA	0	0
mommy	mom-	16	1	4	1	0	0
mommy	my	16	1	4	2	0	0
where	where	16	1	NA	NA	0	0
is	is	16	1	5	1	0	0
she	she	16	2	5	2	1	1
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
play	play	16	2	NA	NA	0	0
hailie	hail-	16	1	NA	NA	0	0
hailie	ie	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
daddy's	dad-	16	1	NA	NA	0	0
daddy's	dy's	16	1	NA	NA	0	0
busy	bu-	16	1	5	1	0	0
busy	sy	16	2	5	2	1	1
daddy's	dad-	16	1	NA	NA	0	0
daddy's	dy's	16	1	NA	NA	0	0
writing	wri-	16	1	NA	NA	0	0
writing	ting	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
song	song	16	2	NA	NA	0	0
this	this	16	1	NA	NA	0	0
song	song	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
going	go-	32	1	NA	NA	0	0
going	ing	32	1	NA	NA	0	0
write	write	16	1	NA	NA	0	0
itself	it-	16	1	6	1	0	0
itself	self	16	2	6	2	1	1
i'll	i'll	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
underdog	un-	16	1	NA	NA	0	0
underdog	der-	16	1	NA	NA	0	0
underdog	dog	32	3	NA	NA	0	0
then	then	32	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
