word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
look	look	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
eyes	eyes	16	2	NA	NA	0	0
baby	ba-	16	1	1	1	0	0
baby	by	16	1	1	2	0	0
blue	blue	16	2	1	3	0	0
baby	ba-	16	1	1	4	0	0
baby	by	16	1	1	5	0	0
just	just	16	1	1	6	0	0
like	like	16	1	1	7	0	0
yourself	your-	16	1	1	8	0	0
yourself	self	16	2	1	9	1	1
if	if	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
were	were	16	1	NA	NA	0	0
brown	brown	16	2	NA	NA	0	0
shady	sha-	16	1	1	1	0	0
shady	dy	16	1	1	2	0	0
knew	knew	16	2	1	3	0	0
shady	sha-	16	1	1	4	0	0
shady	dy	16	1	1	5	0	0
sits	sits	16	1	1	6	0	0
on	on	16	1	1	7	0	0
the	the	16	1	1	8	0	0
shelf	shelf	16	2	1	9	1	1
but	but	16	1	NA	NA	0	0
shadys	sha-	16	1	NA	NA	0	0
shadys	dys	16	1	NA	NA	0	0
cute	cute	16	2	NA	NA	0	0
shady	sha-	16	1	1	1	0	0
shady	dy	16	1	1	2	0	0
knew	knew	16	2	1	3	0	0
shadys	sha-	16	1	1	4	0	0
shadys	dys	16	1	1	5	0	0
dimples	dimp-	16	1	1	6	0	0
dimples	les	16	1	1	7	0	0
would	would	16	1	1	8	0	0
help	help	16	2	1	9	1	1
make	make	16	1	NA	NA	0	0
ladies	lad-	16	1	1	1	0	0
ladies	ies	16	1	1	2	0	0
swoon	swoon	16	2	1	3	0	0
baby	ba-	16	1	1	4	0	0
baby	by	16	5	1	5	0	0
look	look	16	1	1	6	0	0
at	at	16	1	1	7	0	0
myself	my-	16	1	1	8	0	0
myself	self	16	2	1	9	1	1
lets	lets	16	1	2	1	0	0
do	do	16	1	2	2	0	0
the	the	16	1	2	3	0	0
math	math	16	2	2	4	0	0
if	if	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
black	black	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
woulda	would-	16	1	2	1	0	0
woulda	a	16	1	2	2	0	0
sold	sold	16	1	2	3	0	0
half	half	16	2	2	4	1	1
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
graduate	grad-	16	1	NA	NA	0	0
graduate	u-	16	1	NA	NA	0	0
graduate	ate	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
lincoln	lin-	16	1	NA	NA	0	0
lincoln	coln	16	1	NA	NA	0	0
high	high	16	1	NA	NA	0	0
school	school	16	1	2	1	0	0
to	to	16	1	2	2	0	0
know	know	16	1	2	3	0	0
that	that	16	2	2	4	1	1
but	but	16	1	2	1	0	0
i	i	16	1	2	2	0	0
can	can	16	1	2	3	0	0
rap	rap	16	2	2	4	0	0
so	so	16	1	NA	NA	0	0
fuck	fuck	16	2	NA	NA	0	0
school	school	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
too	too	16	1	NA	NA	0	0
cool	cool	16	1	2	1	0	0
to	to	16	1	2	2	0	0
go	go	16	1	2	3	0	0
back	back	16	2	2	4	1	1
gimme	gim-	16	1	NA	NA	0	0
gimme	me	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mic	mic	16	2	NA	NA	0	0
show	show	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
studios	stu-	16	1	2	1	0	0
studios	di-	16	1	2	2	0	0
studios	os	16	1	2	3	0	0
at	at	16	2	2	4	1	1
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
underground	un-	16	1	NA	NA	0	0
underground	der-	16	1	NA	NA	0	0
underground	ground	16	2	NA	NA	0	1
no	no	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
gave	gave	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fuck	fuck	16	1	3	1	0	0
i	i	16	1	3	2	0	0
was	was	16	1	3	3	0	0
white	white	16	2	3	4	1	1
no	no	16	1	NA	NA	0	0
labels	la-	16	1	NA	NA	0	0
labels	bels	16	1	NA	NA	0	0
wanted	wan-	16	1	NA	NA	0	0
wanted	ted	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sign	sign	16	2	NA	NA	0	0
me	me	32	1	NA	NA	0	0
almost	al-	32	1	NA	NA	0	0
almost	most	16	1	NA	NA	0	0
gave	gave	16	1	NA	NA	0	0
up	up	16	1	3	1	0	0
i	i	16	1	3	2	0	0
was	was	16	1	3	3	0	0
like	like	16	2	3	4	1	1
fuck	fuck	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
until	un-	16	1	NA	NA	0	0
until	til	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
dre	dre	16	2	NA	NA	0	1
the	the	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
one	one	16	1	4	1	0	0
who	who	16	1	4	2	0	0
looked	looked	16	1	4	3	0	0
past	past	16	2	4	4	1	0
gave	gave	16	1	4	1	0	0
me	me	16	1	4	2	0	0
a	a	16	1	4	3	0	0
chance	chance	32	3	4	4	0	0
and	and	32	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
lit	lit	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fire	fi-	16	1	NA	NA	0	0
fire	re	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
under	un-	16	1	4	1	0	0
under	der	16	1	4	2	0	0
his	his	16	1	4	3	0	0
ass	ass	16	2	4	4	1	1
helped	helped	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
back	back	32	3	5	1	0	0
to	to	32	1	5	2	0	0
the	the	16	1	5	3	0	0
top	top	16	2	5	4	0	1
every	ev-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
fan	fan	16	1	NA	NA	0	0
black	black	32	3	5	1	0	0
that	that	32	1	5	2	0	0
i	i	16	1	5	3	0	0
got	got	16	2	5	4	1	1
was	was	16	1	NA	NA	0	0
probably	pro-	16	1	NA	NA	0	0
probably	bly	16	1	NA	NA	0	0
his	his	32	3	NA	NA	0	0
in	in	32	1	NA	NA	0	0
exchange	ex-	16	1	NA	NA	0	0
exchange	change	32	3	NA	NA	0	0
for	for	32	1	NA	NA	0	0
every	ev-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
white	white	16	1	NA	NA	0	0
fan	fan	32	3	5	1	0	0
that	that	32	1	5	2	0	0
hes	hes	16	1	5	3	0	0
got	got	16	2	5	4	1	1
like	like	16	1	NA	NA	0	0
damn	damn	32	3	5	1	0	0
we	we	32	1	5	2	0	0
just	just	16	1	5	3	0	0
swapped	swapped	16	3	5	4	0	1
sitting	sit-	16	1	NA	NA	0	0
sitting	ting	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
look	look	16	1	NA	NA	0	0
at	at	16	1	6	1	0	0
this	this	16	1	6	2	0	0
shit	shit	16	1	6	3	0	0
wow	wow	16	2	6	4	1	1
i'm	i'm	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
skin	skin	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
starting	star-	16	1	NA	NA	0	0
starting	ting	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
work	work	32	3	NA	NA	0	0
for	for	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
benefit	be-	16	1	6	1	0	0
benefit	ne-	16	1	6	2	0	0
benefit	fit	16	1	6	3	0	0
now	now	16	1	6	4	1	1
