word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
a	a	16	1	NA	NA	0	0
tisk	tisk	16	2	NA	NA	0	0
it	it	16	1	1	1	0	0
a	a	16	1	1	2	0	0
task	task	16	2	1	3	0	0
it	it	16	2	1	4	0	1
i'll	i'll	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
tit	tit	16	2	1	1	0	0
for	for	16	1	1	2	0	0
tat	tat	16	2	1	3	0	0
with	with	16	3	1	4	1	1
anybody	an-	16	1	NA	NA	0	0
anybody	y-	16	1	NA	NA	0	0
anybody	bo-	16	1	NA	NA	0	0
anybody	dy	16	1	NA	NA	0	0
who's	who's	16	2	NA	NA	0	0
talking	talk-	16	1	NA	NA	0	0
talking	ing	16	1	NA	NA	0	0
this	this	16	2	1	1	0	0
shit	shit	16	1	1	2	0	0
that	that	16	2	1	3	0	0
shit	shit	16	2	1	4	1	0
chris	chris	16	2	1	1	0	0
kirkpatrick	kirk-	16	1	1	2	0	0
kirkpatrick	pa-	16	2	1	3	0	0
kirkpatrick	trick	16	2	1	4	0	1
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
get	get	16	2	1	1	0	0
your	your	16	1	1	2	0	0
ass	ass	16	2	1	3	0	0
kicked	kicked	16	3	1	4	1	1
worse	worse	16	2	NA	NA	0	0
than	than	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
limp	limp	16	2	NA	NA	0	0
bizkit	biz-	16	2	1	1	0	0
bizkit	kit	16	1	1	2	0	0
bastards	bas-	16	2	1	3	0	0
bastards	tards	16	2	1	4	0	0
and	and	16	1	NA	NA	0	0
moby	mo-	16	2	2	1	0	0
moby	by	16	2	2	2	1	1
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
stomped	stomped	16	2	NA	NA	0	0
by	by	16	1	NA	NA	0	0
obie	o-	16	2	2	1	0	0
obie	bie	16	2	2	2	1	1
you	you	16	1	NA	NA	0	0
thirty	thir-	16	1	NA	NA	0	0
thirty	ty	16	1	NA	NA	0	0
six	six	16	2	NA	NA	0	0
year	year	16	1	NA	NA	0	0
old	old	16	2	NA	NA	0	0
bald	bald	16	1	NA	NA	0	0
headed	head-	16	1	NA	NA	0	0
headed	ed	16	1	NA	NA	0	0
fag	fag	16	1	NA	NA	0	0
blow	blow	16	2	2	1	0	0
me	me	16	4	2	2	1	1
you	you	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
know	know	16	1	2	1	0	0
me	me	16	1	2	2	0	0
you're	you're	16	1	NA	NA	0	0
too	too	16	2	NA	NA	0	0
old	old	16	2	NA	NA	0	0
let	let	16	2	3	1	0	0
go	go	16	2	3	2	1	0
it's	it's	16	1	NA	NA	0	0
over	o-	16	2	NA	NA	0	0
over	ver	16	2	NA	NA	0	1
nobody	no-	16	2	2	1	0	0
