word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	16	1	NA	NA	0	0
life	life	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sunshine	sun-	16	2	NA	NA	0	0
sunshine	shine	16	3	1	1	0	0
the	the	16	1	NA	NA	0	0
sun	sun	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
shine	shine	16	2	1	1	0	0
too	too	16	2	NA	NA	0	0
much	much	16	2	NA	NA	0	0
on	on	16	2	NA	NA	0	0
mine	mine	16	5	1	1	1	1
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
funny	fun-	16	1	2	1	0	0
funny	ny	16	1	2	2	0	0
ways	ways	16	3	2	3	1	0
on	on	16	1	NA	NA	0	0
sunny	sun-	16	1	2	1	0	0
sunny	ny	16	1	2	2	0	0
days	days	16	3	2	3	0	0
honey	hon-	16	1	2	1	0	0
honey	ey	16	2	2	2	0	0
plays	plays	16	5	2	3	1	1
money	mon-	16	1	2	1	0	0
money	ey	16	1	2	2	0	0
pays	pays	16	2	2	3	0	0
but	but	16	1	NA	NA	0	0
must	must	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
in	in	16	1	2	1	0	0
a	a	16	1	2	2	0	0
daze	daze	16	7	2	3	1	1
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
baby	ba-	16	3	3	1	0	0
baby	by	16	4	3	2	1	1
but	but	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
you're	you're	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bay	bay	16	1	3	1	0	0
bay	bay	16	2	3	2	0	0
kid	kid	16	3	4	1	1	1
and	and	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
thinking	think-	24	1	NA	NA	0	0
thinking	ing	24	1	NA	NA	0	0
about	a-	24	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
things	things	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
did	did	16	5	4	1	0	1
just	just	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
you	you	16	3	NA	NA	0	0
happy	hap-	16	1	5	1	0	0
happy	py	16	3	5	2	1	1
scooping	scoop-	24	1	NA	NA	0	0
scooping	ing	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
scrappy	scrap-	16	1	5	1	0	0
scrappy	py	16	2	5	2	0	0
but	but	16	1	NA	NA	0	0
listen	list-	16	1	NA	NA	0	0
listen	en	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nappy	nap-	16	1	5	1	0	0
nappy	py	16	1	5	2	0	0
pappy	pap-	16	1	5	1	0	0
pappy	py	16	4	5	2	1	1
it's	it's	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	2	NA	NA	0	0
money	mon-	16	1	6	1	0	0
money	ey	16	2	6	2	0	1
it's	it's	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	2	NA	NA	0	0
mo'	mo'	16	2	NA	NA	0	0
money	mon-	16	1	6	1	0	0
money	ey	16	1	6	2	1	0
and	and	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	tin	16	1	NA	NA	0	0
mo'	mo'	16	2	NA	NA	0	0
funny	fun-	16	1	6	1	0	0
funny	ny	16	1	6	2	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sunny	sun-	16	1	6	1	0	0
sunny	ny	16	2	6	2	0	0
days	days	16	6	7	1	1	1
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
wicked	wick-	16	1	NA	NA	0	0
wicked	ed	16	1	NA	NA	0	0
ways	ways	16	4	7	1	1	1
juice	juice	16	1	NA	NA	0	0
has	has	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
crazed	crazed	16	3	7	1	0	0
so	so	16	1	NA	NA	0	0
crime	crime	16	4	NA	NA	0	0
pays	pays	16	6	7	1	1	1
putting	put-	16	1	NA	NA	0	0
putting	ting	16	1	NA	NA	0	0
in	in	16	2	NA	NA	0	0
work	work	16	2	8	1	0	0
doing	do-	16	1	NA	NA	0	0
doing	ing	16	1	NA	NA	0	0
my	my	16	2	NA	NA	0	0
dirt	dirt	16	5	8	1	1	1
and	and	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
ends	ends	16	2	NA	NA	0	0
up	up	16	2	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
hurt	hurt	16	6	8	1	1	1
just	just	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
piece	piece	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
puss	puss	16	3	9	1	0	1
a	a	16	1	NA	NA	0	0
piece	piece	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
bush	bush	16	4	9	1	1	1
and	and	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
next	next	16	2	NA	NA	0	0
man's	man's	16	2	NA	NA	0	0
getting	get-	24	1	NA	NA	0	0
getting	ting	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
tush	tush	16	5	9	1	1	1
i	i	16	1	NA	NA	0	0
guess	guess	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	0
next	next	16	2	NA	NA	0	0
time	time	16	4	10	1	1	1
but	but	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
losing	los-	16	1	NA	NA	0	0
losing	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mind	mind	16	3	10	1	0	1
cause	cause	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
caught	caught	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sunshine	sun-	16	1	NA	NA	0	0
sunshine	shine	16	1	10	1	1	1
