word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
stay	stay	32	3	NA	NA	0	0
ready	read-	32	1	1	1	0	0
ready	y	16	2	1	2	0	1
you	you	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
get	get	32	3	NA	NA	0	0
ready	read-	32	1	1	1	0	0
ready	y	16	2	1	2	1	1
call	call	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
get	get	32	3	1	1	0	0
there	there	32	5	1	2	0	1
you	you	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
shit	shit	32	3	NA	NA	0	0
wetty	wet-	32	1	1	1	0	0
wetty	ty	16	2	1	2	1	1
oops	oops	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
mean	mean	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
shit	shit	32	3	NA	NA	0	0
ready	read-	32	1	1	1	0	0
ready	y	16	2	1	2	0	1
can't	can't	32	2	NA	NA	0	0
believe	be-	32	1	NA	NA	0	0
believe	lieve	32	3	NA	NA	0	0
i	i	32	2	NA	NA	0	0
said	said	32	3	2	1	0	0
that	that	32	5	2	2	1	1
least	least	32	2	NA	NA	0	0
you	you	32	1	NA	NA	0	0
know	know	32	2	NA	NA	0	0
where	where	32	1	NA	NA	0	0
my	my	32	2	NA	NA	0	0
head	head	32	3	2	1	0	0
at	at	32	3	2	2	0	0
now	now	32	2	NA	NA	0	0
shorty	shor-	32	2	NA	NA	0	0
shorty	ty	32	1	NA	NA	0	0
where	where	32	3	NA	NA	0	0
your	your	32	2	NA	NA	0	0
head	head	32	3	2	1	0	0
at	at	32	5	2	2	1	1
she	she	16	1	NA	NA	0	0
gong	gon'	16	1	NA	NA	0	0
dive	dive	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
head	head	32	3	NA	NA	0	0
first	first	32	5	NA	NA	0	1
school	school	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
board	board	32	2	3	1	0	0
of	of	32	1	3	2	0	0
ed	ed	32	5	3	3	1	1
she	she	32	3	NA	NA	0	0
do	do	32	2	4	1	0	0
it	it	32	1	4	2	0	0
then	then	32	2	NA	NA	0	0
we	we	32	3	NA	NA	0	0
do	do	32	2	4	1	0	0
it	it	32	1	4	2	0	0
so	so	32	2	NA	NA	0	0
she	she	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
thought	thought	32	2	3	1	0	0
ahead	a-	32	1	3	2	0	0
ahead	head	32	5	3	3	1	1
laid	laid	32	3	NA	NA	0	0
up	up	32	2	NA	NA	0	0
in	in	32	1	NA	NA	0	0
that	that	32	2	NA	NA	0	0
all	all	32	3	NA	NA	0	0
day	day	32	5	NA	NA	0	1
can't	can't	32	2	NA	NA	0	0
get	get	32	1	NA	NA	0	0
out	out	32	3	NA	NA	0	0
that	that	32	2	NA	NA	0	0
water	wa-	32	2	3	1	0	0
water	ter	32	1	3	2	0	0
bed	bed	32	5	3	3	1	1
talk	talk	32	3	NA	NA	0	0
nasty	nas-	32	3	NA	NA	0	0
nasty	ty	32	2	NA	NA	0	0
for	for	32	2	NA	NA	0	0
ya	ya	32	1	NA	NA	0	0
boy	boy	32	5	NA	NA	0	1
