word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
now	now	24	1	NA	NA	0	0
i	i	12	1	NA	NA	0	0
could	could	24	1	NA	NA	0	0
play	play	12	1	NA	NA	0	0
like	like	24	1	NA	NA	0	0
kanye	kan-	8	1	NA	NA	0	0
kanye	ye	12	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
let	let	12	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
chest	chest	12	1	NA	NA	0	0
hairs	hairs	8	1	NA	NA	0	0
show	show	8	1	NA	NA	1	1
put	put	24	1	NA	NA	0	0
on	on	12	1	NA	NA	0	0
them	them	24	1	NA	NA	0	0
kool	kool	12	1	NA	NA	0	0
moe	moe	24	1	NA	NA	0	0
dee	dee	8	1	NA	NA	0	0
glasses	glas-	12	1	NA	NA	0	0
glasses	ses	24	1	NA	NA	0	0
but	but	12	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
just	just	12	1	NA	NA	0	0
ain't	ain't	8	1	NA	NA	0	0
joe	joe	6	1	NA	NA	1	1
play	play	8	1	NA	NA	0	0
shots	shots	12	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
then	then	12	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
switch	switch	12	1	NA	NA	0	0
up	up	24	1	NA	NA	0	0
the	the	12	1	NA	NA	0	0
flow	flow	4	1	NA	NA	1	1
like	like	24	1	NA	NA	0	0
what	what	12	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
blood	blood	8	1	NA	NA	0	0
clot	clot	8	1	NA	NA	0	0
boomba	boom-	12	1	NA	NA	0	0
boomba	ba	24	1	NA	NA	0	0
clot	clot	12	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
ain't	ain't	8	1	NA	NA	0	0
fuckin'	fuc-	12	1	NA	NA	0	0
fuckin'	kin'	24	1	NA	NA	0	0
with	with	12	1	NA	NA	0	0
joe	joe	16	1	NA	NA	1	1
