word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
ashes	a-	16	2	NA	NA	0	0
ashes	shes	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
eggshells	eggs-	16	2	NA	NA	0	0
eggshells	hells	16	2	NA	NA	0	1
woodchips	wood-	16	2	NA	NA	0	0
woodchips	chips	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
whiskers	whisk-	16	1	1	1	0	0
whiskers	ers	16	3	1	2	1	1
anything	an-	16	1	NA	NA	0	0
anything	y-	16	1	NA	NA	0	0
anything	thing	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
mess	mess	16	2	NA	NA	0	0
up	up	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
fix	fix	16	1	1	1	0	0
up	up	16	3	1	2	1	1
sword	sword	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
plowshare	plow-	16	2	NA	NA	0	0
plowshare	share	16	2	NA	NA	0	0
soiled	soiled	16	4	NA	NA	0	0
from	from	16	1	NA	NA	0	0
beneath	be-	16	1	2	1	0	0
beneath	neath	16	1	2	2	0	0
the	the	16	1	2	3	0	0
trash	trash	16	2	2	4	1	1
detroit	de-	16	1	NA	NA	0	0
detroit	troit	16	3	NA	NA	0	0
red	red	16	2	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
el	el	16	1	NA	NA	0	0
hajj	hajj	16	2	NA	NA	0	0
malik	ma-	16	1	2	1	0	0
malik	lik	16	1	2	2	0	0
shabazz	sha-	16	1	2	3	0	0
shabazz	bazz	16	2	2	4	1	1
oildrum	oil-	16	2	NA	NA	0	0
oildrum	drum	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
steelpan	steel-	16	2	NA	NA	0	0
steelpan	pan	16	2	NA	NA	0	1
prisoner	pri-	16	1	NA	NA	0	0
prisoner	son-	16	1	NA	NA	0	0
prisoner	er	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
gramsci	gram-	16	2	3	1	0	0
gramsci	sci	16	2	3	2	1	1
rose	rose	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
concrete	con-	16	2	3	1	0	0
concrete	crete	16	2	3	2	0	1
reverse	re-	16	1	NA	NA	0	0
reverse	verse	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flows	flows	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ponzi	pon-	16	2	3	1	0	0
ponzi	zi	16	1	3	2	0	0
schemes	schemes	16	3	NA	NA	1	1
cripwalk	crip-	16	2	NA	NA	0	0
cripwalk	walk	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
conscious	con-	16	2	3	1	0	0
conscious	scious	16	1	3	2	0	0
beat	beat	16	3	NA	NA	1	1
hip	hip	16	2	NA	NA	0	0
hop	hop	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
compost	com-	16	2	3	1	0	0
compost	post	16	2	3	2	0	0
heap	heap	16	4	NA	NA	1	1
gangsters	gang-	16	2	NA	NA	0	0
gangsters	sters	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
gardeners	gar-	16	1	4	1	0	0
gardeners	den-	16	1	NA	NA	0	0
gardeners	ers	16	2	4	2	0	1
rivals	ri-	16	1	NA	NA	0	0
rivals	vals	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
partners	part-	16	2	4	1	0	0
partners	ners	16	1	4	2	1	0
fanatics	fa-	16	1	NA	NA	0	0
fanatics	na-	16	1	NA	NA	0	0
fanatics	tics	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
reformers	re-	16	1	NA	NA	0	0
reformers	for-	16	2	4	1	0	0
reformers	mers	16	2	4	2	0	1
felons	fe-	16	1	NA	NA	0	0
felons	lons	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
farmers	far-	16	2	4	1	0	0
farmers	mers	16	1	4	2	1	1
