word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
fresh	fresh	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
gate	gate	16	1	NA	NA	0	0
again	a-	16	1	1	1	0	0
again	gain	16	2	1	2	0	0
time	time	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
raise	raise	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stakes	stakes	16	1	NA	NA	0	0
again	a-	16	1	1	1	0	0
again	gain	16	3	1	2	1	1
fatten	fat-	16	1	NA	NA	0	0
fatten	ten	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
plate	plate	16	1	NA	NA	0	0
again	a-	16	1	1	1	0	0
again	gain	16	2	1	2	0	1
y'all	y'all	16	1	NA	NA	0	0
cats	cats	16	2	NA	NA	0	0
know	know	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
always	al-	16	1	NA	NA	0	0
always	ways	16	1	NA	NA	0	0
play	play	16	1	NA	NA	0	0
to	to	16	1	1	1	0	0
win	win	16	2	1	2	1	1
g	g	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
n	n	16	1	NA	NA	0	0
g	g	16	3	NA	NA	0	1
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
starr	starr	16	2	2	1	0	0
son	son	16	4	2	2	1	1
haters	ha-	16	1	NA	NA	0	0
haters	ters	16	3	NA	NA	0	0
took	took	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
too	too	16	2	NA	NA	0	0
far	far	16	3	2	1	0	0
son	son	16	3	2	2	1	1
so	so	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
wiping	wi-	16	1	NA	NA	0	0
wiping	ping	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
whole	whole	16	2	NA	NA	0	0
team	team	16	4	3	4	1	1
i'll	i'll	16	3	NA	NA	0	1
splatter	splat-	16	1	3	1	0	0
splatter	ter	16	1	3	2	0	0
your	your	16	1	3	3	0	0
dreams	dreams	16	2	3	4	0	0
with	with	16	1	NA	NA	0	0
lyrics	ly-	16	1	NA	NA	0	0
lyrics	rics	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
shatter	shat-	16	1	3	1	0	0
shatter	ter	16	1	3	2	0	0
your	your	16	1	3	3	0	0
schemes	schemes	16	4	3	4	1	1
the	the	16	1	NA	NA	0	0
badder	bad-	16	1	3	1	0	0
badder	der	16	1	3	2	0	0
you	you	16	1	3	3	0	0
seem	seem	16	2	3	4	0	0
the	the	16	1	NA	NA	0	0
more	more	16	1	4	1	0	0
lies	lies	16	2	4	2	0	0
you	you	16	1	4	3	0	0
tell	tell	16	3	4	4	1	1
the	the	16	1	NA	NA	0	0
more	more	16	1	4	1	0	0
lies	lies	16	2	4	2	0	0
you	you	16	1	4	3	0	0
sell	sell	16	1	4	4	0	0
and	and	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
surprise	sur-	16	1	4	1	0	0
surprise	prise	16	2	4	2	0	0
you	you	16	1	4	3	0	0
fell	fell	16	2	4	4	1	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
death	death	16	2	NA	NA	0	0
trap	trap	16	2	NA	NA	0	1
right	right	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
clutches	clutch-	16	1	5	1	0	0
clutches	es	16	4	5	2	1	1
stupid	stu-	16	1	NA	NA	0	0
stupid	pid	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
god	god	16	1	NA	NA	0	0
must	must	16	1	NA	NA	0	0
bless	bless	16	2	NA	NA	0	0
every	ev-	24	1	NA	NA	0	0
every	e-	24	1	NA	NA	0	0
every	ry	24	1	NA	NA	0	0
single	sin-	16	1	NA	NA	0	0
single	gle	16	1	NA	NA	0	0
mic	mic	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
touches	touch-	16	1	5	1	0	0
touches	es	16	2	5	2	1	0
i've	i've	16	1	NA	NA	0	0
suffered	suf-	16	1	5	1	0	0
suffered	fered	16	3	5	2	0	1
just	just	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
return	re-	16	1	NA	NA	0	0
return	turn	16	2	6	1	0	0
harder	hard-	16	1	6	2	0	0
harder	er	16	2	NA	NA	1	1
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
starter	start-	16	1	6	1	0	0
starter	er	16	1	6	2	0	1
fuck	fuck	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
martyr	mar-	16	1	6	1	0	0
martyr	tyr	16	2	6	2	1	1
i	i	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
famous	fa-	16	1	7	1	0	0
famous	mous	16	3	7	2	0	1
