word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
both	both	16	2	NA	NA	0	0
hands	hands	16	2	NA	NA	0	0
clusty	clus-	16	1	1	1	0	0
clusty	ty	16	3	1	2	0	1
chilling	chil-	16	1	NA	NA	0	0
chilling	ling	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
rusty	rus-	16	1	1	1	0	0
rusty	ty	16	1	1	2	1	0
low	low	16	2	NA	NA	0	0
down	down	16	3	NA	NA	0	1
blew	blew	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
burner	bur-	16	1	NA	NA	0	0
burner	ner	16	1	NA	NA	0	0
kinda	kind-	16	1	NA	NA	0	0
kinda	a	16	1	NA	NA	0	0
dusty	dus-	16	1	1	1	0	0
dusty	ty	16	2	1	2	1	1
the	the	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
touch	touch	16	2	NA	NA	0	0
ghost	ghost	16	2	2	1	0	0
purple	pur-	16	1	NA	NA	0	0
purple	ple	16	1	NA	NA	0	0
tape	tape	16	2	NA	NA	1	0
rae	rae	16	3	NA	NA	0	0
co	co	16	1	NA	NA	0	0
host	host	16	3	2	1	0	1
monty	mon-	16	1	NA	NA	0	0
monty	ty	16	1	NA	NA	0	0
hall	hall	16	1	NA	NA	0	0
expo	ex-	16	2	3	1	0	0
expo	po	16	3	3	2	0	1
intellect	in-	16	1	NA	NA	0	0
intellect	tel-	16	1	NA	NA	0	0
intellect	lect	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
read	read	16	1	3	1	0	0
pro	pro	16	2	3	2	1	1
son	son	16	2	NA	NA	0	0
trifling	trif-	16	2	NA	NA	0	0
trifling	ling	16	1	NA	NA	0	0
fuck	fuck	16	3	4	1	0	1
wildflower	wild-	16	2	NA	NA	0	0
wildflower	flow-	16	1	NA	NA	0	0
wildflower	er	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
cycle	cyc-	16	1	5	1	0	0
cycle	le	16	1	5	2	0	0
and	and	16	3	NA	NA	0	1
picked	picked	16	1	NA	NA	0	0
up	up	16	1	4	1	0	0
the	the	16	1	NA	NA	0	0
broom	broom	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
michaelin'	mich-	16	1	5	1	0	0
michaelin'	ael-	16	1	5	2	0	0
michaelin'	in'	16	2	NA	NA	1	1
west	west	16	2	NA	NA	0	0
brighton	bright-	16	1	5	1	0	0
brighton	on	16	1	5	2	0	0
pool	pool	16	3	6	1	0	1
now	now	16	2	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
iron	i-	16	1	NA	NA	0	0
iron	ron	16	1	NA	NA	0	0
duels	du-	16	1	6	1	0	0
duels	els	16	1	NA	NA	1	1
turn	turn	16	1	NA	NA	0	0
nuns	nuns	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
earths	earths	16	2	NA	NA	0	0
whoopi	whoo-	16	1	NA	NA	0	0
whoopi	pi	16	2	NA	NA	0	1
she	she	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
allah	al-	16	1	NA	NA	0	0
allah	lah	16	2	NA	NA	0	0
school	school	16	2	6	1	1	1
inhale	in-	16	2	NA	NA	0	0
inhale	hale	16	2	7	1	0	0
break	break	16	2	NA	NA	0	0
beats	beats	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
hell	hell	16	2	7	1	0	0
a	a	16	1	NA	NA	0	0
alikes	a-	16	1	NA	NA	0	0
alikes	likes	16	1	NA	NA	0	0
propel	pro-	16	1	NA	NA	0	0
propel	pel	16	2	7	1	1	0
parallel	pa-	16	1	NA	NA	0	0
parallel	ral-	16	1	NA	NA	0	0
parallel	lel	16	2	7	1	0	1
duracell	dur-	16	1	NA	NA	0	0
duracell	a-	16	1	NA	NA	0	0
duracell	cell	16	1	7	1	0	0
knot	knot	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
flash	flash	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
burnt	burnt	16	2	NA	NA	0	0
cell	cell	16	3	7	1	1	1
snap	snap	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
candy	cand-	16	1	NA	NA	0	0
candy	y	16	1	NA	NA	0	0
land	land	16	1	NA	NA	0	0
kids	kids	16	2	8	1	0	0
the	the	16	1	NA	NA	0	0
old	old	16	2	NA	NA	0	0
rumor	ru-	16	1	NA	NA	0	0
rumor	mor	16	1	NA	NA	0	0
is	is	16	3	8	1	1	1
blacks	blacks	32	3	NA	NA	0	0
become	be-	32	1	NA	NA	0	0
become	come	32	1	NA	NA	0	0
immune	im-	32	1	NA	NA	0	0
immune	mune	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
shit	shit	16	2	8	1	0	1
we	we	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
did	did	16	2	8	1	1	0
like	like	16	2	NA	NA	0	1
eating	eat-	16	1	NA	NA	0	0
eating	ing	16	1	NA	NA	0	0
dead	dead	16	2	NA	NA	0	0
birds	birds	16	2	9	1	0	0
trust	trust	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pharmacy	phar-	16	1	NA	NA	0	0
pharmacy	ma-	16	1	NA	NA	0	0
pharmacy	cy	16	2	NA	NA	0	1
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
herbs	herbs	16	2	9	1	1	0
men	men	16	2	NA	NA	0	0
marrying	mar-	16	1	NA	NA	0	0
marrying	ry-	16	1	NA	NA	0	0
marrying	ing	16	1	NA	NA	0	0
men	men	16	2	NA	NA	0	0
ill	ill	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
urge	urge	16	2	9	1	0	0
pulsar	pul-	16	1	NA	NA	0	0
pulsar	sar	16	3	NA	NA	1	1
scissor	scis-	16	1	NA	NA	0	0
scissor	sor	16	1	NA	NA	0	0
hand	hand	16	2	10	1	0	1
wig	wig	16	2	NA	NA	0	0
vanished	van-	16	1	10	1	0	0
vanished	ished	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
winter	win-	16	1	NA	NA	0	0
winter	ter	16	1	NA	NA	1	0
living	liv-	16	1	NA	NA	0	0
