word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
walking	wal-	12	1	NA	NA	0	0
walking	king	12	1	NA	NA	0	0
around	a-	12	1	NA	NA	0	0
around	round	4	1	NA	NA	0	1
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
way	way	16	3	1	1	1	1
but	but	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
tells	tells	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
which	which	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	2	1	2	1	1	1
i'm	i'm	16	1	NA	NA	0	0
caught	caught	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
world	world	16	3	NA	NA	0	1
a	a	16	1	NA	NA	0	0
labyrinth	lab-	16	1	NA	NA	0	0
labyrinth	y-	16	1	NA	NA	0	0
labyrinth	rinth	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
maze	maze	16	3	1	1	1	1
where	where	16	1	NA	NA	0	0
yes	yes	8	1	NA	NA	0	0
men	men	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
easily	eas-	16	1	NA	NA	0	0
easily	il-	16	1	NA	NA	0	0
easily	y	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
no	no	16	3	2	1	1	1
i	i	16	1	NA	NA	0	0
ask	ask	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
questions	quest-	8	1	NA	NA	0	0
questions	ions	8	1	NA	NA	0	1
they	they	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
answers	an-	16	2	3	1	0	0
answers	swers	16	3	3	2	1	1
following	fol-	16	1	NA	NA	0	0
following	low-	16	1	NA	NA	0	0
following	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wise	wise	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
they're	they're	16	1	NA	NA	0	0
walking	wal-	16	1	NA	NA	0	0
walking	king	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
pampers	pam-	16	2	3	1	0	0
pampers	pers	16	3	3	2	1	1
give	give	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
cigarette	ci-	16	1	NA	NA	0	0
cigarette	ga-	16	1	NA	NA	0	0
cigarette	rette	16	3	NA	NA	0	1
smoking	smok-	16	1	NA	NA	0	0
smoking	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
cancer	can-	16	2	3	1	0	0
cancer	cer	16	3	3	2	1	1
drink	p	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pain	pain	16	1	NA	NA	0	0
away	a-	16	1	NA	NA	0	0
away	way	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
still	still	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
answers	an-	16	2	3	1	0	0
answers	swers	16	1	3	2	1	1
