word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
broken	bro-	16	1	NA	NA	0	0
broken	ken	16	1	NA	NA	0	0
glass	glass	4	1	NA	NA	0	0
evrywhere	ev-	16	2	NA	NA	0	0
evrywhere	ry-	16	1	NA	NA	0	0
evrywhere	where	16	3	1	1	1	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
pissin'	pis-	16	1	NA	NA	0	0
pissin'	sin'	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stairs	stairs	16	1	1	1	0	0
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
care	care	16	3	1	1	1	1
i	i	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
take	take	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
smell	smell	16	3	NA	NA	0	1
can't	can't	16	2	NA	NA	0	0
take	take	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
noise	noise	16	2	2	1	1	0
got	got	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
move	move	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
guess	guess	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	2	NA	NA	0	0
no	no	16	2	NA	NA	0	0
choice	choice	16	4	2	1	1	1
rats	rats	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
front	front	16	2	NA	NA	0	0
room	room	16	2	NA	NA	0	0
roaches	roach-	16	1	NA	NA	0	0
roaches	es	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	3	3	1	1	1
junkies	jun-	16	2	NA	NA	0	0
junkies	kies	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
alley	al-	16	1	NA	NA	0	0
alley	ley	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
baseball	base-	16	2	NA	NA	0	0
baseball	ball	16	2	NA	NA	0	0
bat	bat	16	3	3	1	1	1
i	i	16	1	NA	NA	0	0
tried	tried	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
away	a-	16	1	NA	NA	0	0
away	way	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
couldn't	could-	16	1	NA	NA	0	0
couldn't	n't	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
far	far	16	2	4	1	1	0
cause	cause	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
tow	tow	16	1	NA	NA	0	0
truck	truck	16	1	NA	NA	0	0
repossessed	re-	16	1	NA	NA	0	0
repossessed	pos-	16	1	NA	NA	0	0
repossessed	sessed	16	2	NA	NA	0	0
my	my	16	2	NA	NA	0	0
car	car	16	2	4	1	1	1
