word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
different	diff-	16	2	NA	NA	0	0
different	rent	16	3	NA	NA	0	1
specifically	spe-	16	1	NA	NA	0	0
specifically	ci-	16	1	NA	NA	0	0
specifically	fi-	16	1	NA	NA	0	0
specifically	cally	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
copy	co-	16	1	NA	NA	0	0
copy	py	16	2	NA	NA	1	1
tear	tear	16	2	NA	NA	0	0
up	up	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
track	track	16	2	NA	NA	0	0
if	if	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow	flow	16	2	NA	NA	0	0
sounds	sounds	16	4	NA	NA	0	0
sloppy	slop-	16	2	NA	NA	0	0
sloppy	py	16	3	NA	NA	1	1
i	i	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
play	play	16	1	NA	NA	0	0
one	one	16	2	NA	NA	0	0
game	game	16	1	NA	NA	1	1
