word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
might	might	16	2	NA	NA	0	0
find	find	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
dead	dead	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ocean	o-	16	1	1	1	0	0
ocean	cean	16	7	1	2	1	1
you	you	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	0
dead	dead	16	2	NA	NA	0	0
rappers	rap-	16	1	NA	NA	0	0
rappers	pers	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
better	bet-	16	1	NA	NA	0	0
better	ter	16	1	NA	NA	0	0
promotion	pro-	16	1	NA	NA	0	0
promotion	mo-	16	1	1	1	0	0
promotion	tion	16	2	1	2	1	1
why	why	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
laugh	laugh	32	3	NA	NA	0	0
at	at	32	3	NA	NA	0	0
death	death	32	3	NA	NA	0	0
and	and	32	3	NA	NA	0	0
cry	cry	32	3	2	1	0	0
at	at	32	3	2	2	0	0
birth	birth	16	3	2	3	1	1
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
do	do	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
til	til	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
try	try	32	3	2	1	0	0
it	it	32	3	2	2	0	0
first	first	16	3	2	3	1	1
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
young	young	16	2	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
eager	ea-	16	1	NA	NA	0	0
eager	ger	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
pull	pull	16	1	3	1	0	0
it	it	16	1	3	2	1	0
but	but	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
message	mes-	16	1	NA	NA	0	0
message	sage	16	1	NA	NA	0	0
in	in	16	2	NA	NA	0	0
everything	eve-	16	1	NA	NA	0	0
everything	ry-	16	1	NA	NA	0	0
everything	thing	16	2	NA	NA	0	0
trust	trust	16	2	NA	NA	0	0
me	me	16	2	NA	NA	0	1
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bullet	bul-	16	1	3	1	0	0
bullet	let	16	2	3	2	1	1
go	go	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
war	war	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
eight	eight	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pound	pound	16	3	4	1	1	1
think	think	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ear	ear	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
street	street	16	2	NA	NA	0	0
now	now	16	2	4	1	0	0
put	put	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
face	face	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ground	ground	16	3	4	1	1	1
cuz	cuz	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
shells	shells	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
expensive	ex-	16	1	5	1	0	0
expensive	pen-	16	2	5	2	0	0
expensive	sive	16	1	5	3	0	0
you'll	you'll	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
exactly	ex-	16	1	NA	NA	0	0
exactly	act-	16	1	NA	NA	0	0
exactly	ly	16	1	NA	NA	0	0
why	why	16	2	NA	NA	1	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
yelling	yel-	16	1	NA	NA	0	0
yelling	lin	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
intensive	in-	16	1	5	1	0	0
intensive	ten-	16	2	5	2	0	0
intensive	sive	16	1	5	3	0	0
my	my	16	1	NA	NA	0	0
fellas	fel-	16	1	NA	NA	0	0
fellas	las	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
offensive	of-	16	1	5	1	0	0
offensive	fen-	16	2	5	2	0	0
offensive	sive	16	2	5	3	1	1
lucky	luc-	16	1	NA	NA	0	0
lucky	ky	16	1	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
guns	guns	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
crack	crack	16	2	6	1	0	0
your	your	16	1	6	2	0	0
back	back	16	2	6	3	1	1
but	but	16	1	NA	NA	0	0
that's	that's	16	2	NA	NA	0	0
not	not	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
prefer	pre-	16	1	NA	NA	0	0
