word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
heavy	hea-	16	1	NA	NA	0	0
heavy	vy	16	1	NA	NA	0	0
load	load	16	2	1	1	0	0
i	i	16	1	NA	NA	0	0
stroll	stroll	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bumpy	bum-	16	1	NA	NA	0	0
bumpy	py	16	1	NA	NA	0	0
road	road	16	2	1	1	1	0
no	no	16	1	NA	NA	0	0
jacket	jac-	16	1	NA	NA	0	0
jacket	ket	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
cold	cold	16	2	1	1	0	0
becoming	be-	16	1	NA	NA	0	0
becoming	com-	16	1	NA	NA	0	0
becoming	in'	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
soul	soul	16	2	1	1	1	0
stand	stand	16	1	NA	NA	0	0
toe	toe	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
toe	toe	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
foes	foes	16	2	1	1	0	0
these	these	16	1	NA	NA	0	0
wolves	wolves	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
sheep	sheep	16	2	NA	NA	0	0
clothes	clothes	16	2	1	1	1	0
no	no	16	1	NA	NA	0	0
weapon	wea-	16	1	NA	NA	0	0
weapon	pon	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
shall	shall	16	1	NA	NA	0	0
prosper	pros-	16	2	2	1	0	0
prosper	per	16	1	2	2	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
better	bet-	16	1	NA	NA	0	0
better	ter	16	1	NA	NA	0	0
