word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
blue	blue	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
remind	re-	16	1	NA	NA	0	0
remind	mind	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
niggas	nig-	16	1	1	1	0	0
niggas	gas	16	5	1	2	1	1
fuck	fuck	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
talking	talk-	16	1	NA	NA	0	0
talking	ing	16	1	NA	NA	0	0
bout	bout	16	2	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nigga	nig-	16	1	1	1	0	0
nigga	ga	16	9	1	2	1	1
caught	caught	32	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
lights	lights	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
cameras	cam-	32	1	2	1	0	0
cameras	er-	32	1	NA	NA	0	0
cameras	as	16	8	2	2	1	1
but	but	16	1	NA	NA	0	0
look	look	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
hammer	ham-	16	1	2	1	0	0
hammer	mer	16	9	2	2	1	1
god	god	32	3	NA	NA	0	0
damn	damn	16	1	2	1	0	0
it	it	32	1	2	2	0	0
i	i	16	1	NA	NA	0	0
like	like	32	3	3	1	0	0
it	it	32	5	3	2	0	1
bright	bright	32	3	NA	NA	0	0
lights	lights	16	1	3	1	0	0
is	is	32	1	3	2	0	0
enticing	en-	16	1	NA	NA	0	0
enticing	ti-	32	3	3	1	0	0
enticing	cing	32	4	3	2	1	1
but	but	32	1	NA	NA	0	0
look	look	16	1	NA	NA	0	0
what	what	32	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
tyson	ty-	32	3	3	1	0	0
tyson	son	32	5	3	2	0	1
all	all	16	1	NA	NA	0	0
that	that	32	1	NA	NA	0	0
money	mon-	32	1	NA	NA	0	0
money	ey	32	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
one	one	16	1	3	1	0	0
night	night	4	1	3	2	1	1
thirty	thir-	16	1	NA	NA	0	0
thirty	ty	32	1	NA	NA	0	0
mill	mill	16	1	NA	NA	0	0
for	for	32	1	NA	NA	0	0
one	one	16	1	3	1	0	0
fight	fight	16	3	3	2	1	1
but	but	16	1	NA	NA	0	0
soon	soon	16	1	NA	NA	0	0
as	as	32	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
money	mon-	32	1	NA	NA	0	0
money	ey	32	1	NA	NA	0	0
blows	blows	4	1	NA	NA	0	1
all	all	16	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
pigeons	pi-	16	1	NA	NA	0	0
pigeons	geons	32	1	NA	NA	0	0
take	take	16	1	3	1	0	0
flight	flight	4	1	3	2	1	1
fuck	fuck	16	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
fame	fame	32	3	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
cheating	cheat-	32	1	NA	NA	0	0
cheating	ing	32	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
me	me	8	1	NA	NA	0	1
what	what	16	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
do	do	32	3	NA	NA	0	0
i	i	16	1	NA	NA	0	0
took	took	16	1	NA	NA	0	0
her	her	32	1	NA	NA	0	0
back	back	32	5	4	1	1	1
fool	fool	16	1	NA	NA	0	0
me	me	32	1	NA	NA	0	0
twice	twice	32	3	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
my	my	32	3	NA	NA	0	0
bad	bad	32	5	4	1	0	1
i	i	16	1	NA	NA	0	0
can't	can't	32	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	32	1	NA	NA	0	0
blame	blame	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
for	for	32	1	NA	NA	0	0
that	that	8	1	4	1	1	1
enough	e-	32	1	NA	NA	0	0
enough	nough	16	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
make	make	32	3	NA	NA	0	0
me	me	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	32	1	NA	NA	0	0
murder	mur-	32	2	NA	NA	0	0
murder	der	32	3	NA	NA	0	1
momma	mom-	16	1	NA	NA	0	0
momma	ma	32	1	NA	NA	0	0
please	please	32	3	NA	NA	0	0
just	just	16	1	NA	NA	0	0
get	get	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
bail	bail	32	5	NA	NA	1	1
i	i	32	3	NA	NA	0	0
know	know	32	3	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	32	1	NA	NA	0	0
nobody	dy	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
blame	blame	32	5	NA	NA	0	1
kurt	kurt	16	1	NA	NA	0	0
cobain	co-	32	1	NA	NA	0	0
cobain	bain	16	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
did	did	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	16	1	NA	NA	1	1
