word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	16	1	NA	NA	0	0
family	fam-	16	1	NA	NA	0	0
family	il-	16	1	NA	NA	0	0
family	y	16	1	NA	NA	0	0
dream	dream	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
me	me	16	2	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
city	ci-	16	1	NA	NA	0	0
city	ty	16	1	NA	NA	0	0
lights	lights	16	2	1	1	0	0
pump	pump	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
light	light	16	1	1	1	1	0
the	the	16	1	NA	NA	0	0
screamers	scream-	16	1	NA	NA	0	0
screamers	ers	16	1	NA	NA	0	0
rights	rights	16	1	1	1	0	0
just	just	16	1	NA	NA	0	0
work	work	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
ya'll	ya'll	16	2	NA	NA	0	0
ain't	ain't	16	2	NA	NA	0	0
hearing	hear-	16	1	2	1	0	0
hearing	ing	16	1	NA	NA	0	0
it	it	16	2	2	2	1	1
words	words	16	2	NA	NA	0	0
travel	trav-	16	1	NA	NA	0	0
travel	el	16	1	NA	NA	0	0
deep	deep	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
spirit	spi-	16	1	NA	NA	0	0
spirit	rit	16	1	2	1	0	0
alone	a-	16	1	2	2	0	0
alone	lone	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
cruise	cruise	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
block	block	16	1	3	1	1	0
and	and	16	1	NA	NA	0	0
use	use	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
box	box	16	1	3	1	0	0
to	to	16	1	NA	NA	0	0
serenade	se-	16	1	NA	NA	0	0
serenade	re-	16	1	NA	NA	0	0
serenade	nade	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
moonlight	moon-	16	1	NA	NA	0	0
moonlight	light	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
speakers	speak-	16	1	2	1	0	0
speakers	ers	16	1	2	2	1	0
niggaz	nig-	16	1	NA	NA	0	0
niggaz	gaz	16	1	NA	NA	0	0
lean	lean	16	2	NA	NA	0	0
back	back	16	2	NA	NA	0	1
deep	deep	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
seats	seats	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
feel	feel	16	1	3	1	0	0
me	me	16	2	3	2	1	1
cliques	cliques	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
crews	crews	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
hoods	hoods	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
gangs	gangs	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
loving	lov-	16	1	NA	NA	0	0
loving	ing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
dearly	dear-	16	1	3	1	0	0
dearly	ly	16	1	3	2	1	1
keep	keep	16	2	NA	NA	0	0
hustling	hus-	16	1	4	1	0	0
hustling	tl-	16	1	4	2	0	0
hustling	in	16	1	4	3	0	0
juggling	ju-	16	1	4	1	0	0
juggling	gl-	16	1	4	2	0	0
juggling	ing	16	1	4	3	0	0
pressure	pres-	16	1	NA	NA	0	0
pressure	sure	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
