word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
booming	boom-	16	1	NA	NA	0	0
booming	ing	16	2	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
bunking	bun-	16	1	NA	NA	0	0
bunking	king	16	2	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
serving	ser-	16	1	NA	NA	0	0
serving	ving	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
babies	ba-	16	1	1	1	0	0
babies	bies	16	3	1	2	1	1
rap	rap	16	2	NA	NA	0	0
game	game	16	2	NA	NA	0	0
easy	ea-	16	1	NA	NA	0	0
easy	sy	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dope	dope	16	2	NA	NA	0	0
game	game	16	2	NA	NA	0	0
gravy	grav-	16	2	1	1	0	0
gravy	y	16	2	1	2	1	1
young	young	16	2	NA	NA	0	0
juice	juice	16	2	2	1	0	0
man	man	16	2	2	2	0	0
and	and	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
j	j	16	2	1	1	0	0
kid	kid	16	1	1	2	1	0
with	with	16	1	NA	NA	0	0
stupid	stu-	16	1	NA	NA	0	0
stupid	pid	16	1	NA	NA	0	0
fruity	fruit-	16	1	NA	NA	0	0
fruity	y	16	1	NA	NA	0	0
crazy	cra-	16	1	NA	NA	0	0
crazy	zy	16	1	2	1	0	0
swag	swag	16	2	2	2	0	1
jumping	jump-	16	1	NA	NA	0	0
jumping	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
lady	lad-	16	2	1	1	0	0
lady	y	16	1	1	2	1	1
banana	ba-	16	1	NA	NA	0	0
banana	na-	16	1	NA	NA	0	0
banana	na	16	1	NA	NA	0	0
donk	donk	16	2	NA	NA	0	0
chevy	che-	16	1	NA	NA	0	0
chevy	vy	16	1	NA	NA	0	0
interior	in-	16	2	NA	NA	0	0
interior	ter-	24	1	NA	NA	0	0
interior	i-	24	1	NA	NA	0	0
interior	or	24	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lakers	la-	16	2	3	1	0	0
lakers	kers	16	1	3	2	1	1
lebron	leb-	16	1	NA	NA	0	0
lebron	ron	16	2	NA	NA	0	0
james	james	16	2	NA	NA	0	0
wrist	wrist	16	2	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	in'	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
capers	cap-	16	2	3	1	0	0
capers	ers	16	2	3	2	1	1
hit	hit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
trap	trap	16	2	NA	NA	0	0
stay	stay	16	2	NA	NA	0	0
down	down	16	2	NA	NA	0	0
watch	watch	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
paper	pa-	16	1	NA	NA	0	0
paper	per	16	1	NA	NA	0	0
wake	wake	16	2	4	1	0	0
up	up	16	2	4	2	1	1
booming	boom-	16	1	NA	NA	0	0
booming	ing	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
house	house	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
j	j	16	2	NA	NA	0	0
asking	ask-	16	1	NA	NA	0	0
asking	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
waiter	wai-	16	2	4	1	0	0
waiter	ter	16	2	4	2	1	1
half	half	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
brick	brick	16	2	NA	NA	0	0
whole	whole	16	2	NA	NA	0	0
brick	brick	16	2	NA	NA	0	0
got	got	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
buying	buy-	16	1	NA	NA	0	0
buying	ing	16	1	NA	NA	0	0
jacobs	ja-	16	2	4	1	0	0
jacobs	cobs	16	2	4	2	1	1
bourbon	bour-	16	1	NA	NA	0	0
bourbon	bon	16	1	NA	NA	0	0
shoes	shoes	16	2	NA	NA	0	1
walking	wal-	16	1	NA	NA	0	0
walking	king	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
head	head	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gators	ga-	16	2	4	1	0	0
gators	tors	16	2	4	2	1	1
