word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
let's	let's	8	1	NA	NA	0	0
get	get	8	1	NA	NA	0	0
lost	lost	16	2	1	1	0	0
tonight	to-	16	1	1	2	0	0
tonight	night	16	5	1	3	1	1
you	you	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
black	black	8	1	NA	NA	0	0
kate	kate	8	1	NA	NA	0	0
moss	moss	8	1	1	1	0	0
tonight	to-	16	1	1	2	0	0
tonight	night	16	5	1	3	1	1
play	play	8	1	NA	NA	0	0
secretary	se-	16	1	NA	NA	0	0
secretary	cre-	16	1	NA	NA	0	0
secretary	ta-	16	1	NA	NA	0	0
secretary	ry	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
boss	boss	8	1	1	1	0	0
tonight	to-	16	1	1	2	0	0
tonight	night	4	1	1	3	1	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fuck	fuck	8	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
all	all	8	1	1	1	0	0
say	say	16	1	1	2	0	0
right	right	16	5	1	3	1	1
awesome	awe-	8	1	NA	NA	0	0
awesome	some	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
christian	chri-	8	1	NA	NA	0	0
christian	stian	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
christian	chri-	16	2	3	1	0	0
christian	stian	16	1	3	2	0	0
dior	di-	16	1	3	3	0	0
dior	or	16	4	3	4	1	1
damn	damn	8	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
this	this	8	1	3	1	0	0
anymore	an-	16	1	3	2	0	0
anymore	y-	16	1	3	3	0	0
anymore	more	8	3	3	4	1	1
i	i	8	1	NA	NA	0	0
ask	ask	16	3	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i'm	i'm	8	1	3	1	0	0
not	not	8	1	3	3	0	0
sure	sure	16	3	3	4	1	0
do	do	16	1	NA	NA	0	0
anybody	an-	16	1	NA	NA	0	0
anybody	y-	16	1	NA	NA	0	0
anybody	bo-	16	1	NA	NA	0	0
anybody	dy	16	1	NA	NA	0	0
make	make	8	1	NA	NA	0	0
real	real	8	1	NA	NA	0	0
shit	shit	8	1	3	1	0	0
anymore	an-	16	1	3	2	0	0
anymore	y-	16	1	3	3	0	0
anymore	more	4	1	3	4	1	1
bow	bow	8	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
presence	pre-	12	1	NA	NA	0	0
presence	sence	12	1	NA	NA	0	0
of	of	12	1	NA	NA	0	0
greatness	great-	8	1	4	1	0	0
greatness	ness	16	5	4	2	1	1
cause	cause	16	1	NA	NA	0	0
right	right	8	1	NA	NA	0	0
now	now	8	1	NA	NA	0	0
thou	thou	8	1	NA	NA	0	0
hast	hast	16	1	NA	NA	0	0
forsaken	for-	16	1	NA	NA	0	0
forsaken	sa-	16	1	4	1	0	0
forsaken	ken	16	1	NA	NA	0	0
us	us	16	6	4	2	1	1
you	you	16	1	NA	NA	0	0
should	should	16	1	NA	NA	0	0
