word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
me	me	16	1	NA	NA	0	0	0.47
and	and	16	1	NA	NA	0	0	0.64
my	my	16	1	NA	NA	0	0	0.891
niggas	nig-	16	1	NA	NA	0	0	1.11
niggas	gas	16	1	NA	NA	0	0	1.338
four	four	16	1	NA	NA	0	0	1.575
deep	deep	16	1	NA	NA	0	0	1.894
in	in	16	1	NA	NA	0	0	2.185
a	a	16	1	NA	NA	0	0	2.35
white	white	16	1	NA	NA	0	0	2.607
toyota	to-	16	1	NA	NA	0	0	2.955
toyota	yo-	16	1	1	1	0	0	3.145
toyota	ta	16	2	1	2	1	1	3.47
a	a	16	1	NA	NA	0	0	3.99
quarter	quar-	16	1	NA	NA	0	0	4.235
quarter	ter	16	1	NA	NA	0	0	4.384
tank	tank	16	1	NA	NA	0	0	4.657
of	of	16	1	NA	NA	0	0	4.808
gas	gas	16	2	NA	NA	0	0	5.18
one	one	16	1	NA	NA	0	0	5.633
pistol	pis-	16	1	NA	NA	0	0	5.929
pistol	tol	16	1	NA	NA	0	0	6.206
and	and	16	1	NA	NA	0	0	6.344
orange	o-	16	1	NA	NA	0	0	6.593
orange	range	16	1	NA	NA	0	0	6.838
soda	so-	16	1	1	1	0	0	7.18
soda	da	16	3	1	2	1	1	7.392
janky	jan-	16	1	NA	NA	0	0	8.241
janky	ky	16	1	NA	NA	0	0	8.457
stash	stash	16	2	NA	NA	0	0	8.736
box	box	16	1	NA	NA	0	0	9.165
when	when	16	1	NA	NA	0	0	9.54
the	the	16	1	NA	NA	0	0	9.676
federales	fe-	16	1	NA	NA	0	0	9.927
federales	de-	16	1	NA	NA	0	0	10.174
federales	ra-	16	1	NA	NA	0	0	10.375
federales	les	16	1	NA	NA	0	0	10.576
will	will	16	1	NA	NA	0	0	10.83
roll	roll	16	1	1	1	0	0	11.078
up	up	16	3	1	2	1	1	11.338
basketball	bas-	16	1	NA	NA	0	0	12.298
basketball	ket-	16	1	NA	NA	0	0	12.508
basketball	ball	16	2	NA	NA	0	0	12.743
shorts	shorts	16	1	NA	NA	0	0	13.118
with	with	16	1	NA	NA	0	0	13.496
the	the	16	1	NA	NA	0	0	13.717
gonzales	gon-	16	1	NA	NA	0	0	13.917
gonzales	za-	16	1	NA	NA	0	0	14.144
gonzales	les	16	1	NA	NA	0	0	14.395
park	park	16	2	NA	NA	0	0	14.711
odor	o-	16	1	1	1	0	0	15.085
odor	dor	16	4	1	2	1	1	15.446
we	we	16	1	NA	NA	0	0	16.589
on	on	16	1	NA	NA	0	0	16.716
the	the	16	1	NA	NA	0	0	17.007
mission	mis-	16	1	2	1	0	0	17.202
mission	sion	16	1	2	2	0	0	17.459
for	for	16	1	NA	NA	0	0	17.708
bad	bad	16	2	NA	NA	0	0	18.025
bitches	bitch-	16	1	2	1	0	0	18.429
bitches	es	16	1	2	2	0	0	18.676
and	and	16	1	NA	NA	0	0	18.904
trouble	troub-	16	1	NA	NA	0	0	19.143
trouble	le	16	1	NA	NA	1	0	19.455
i	i	16	1	NA	NA	0	0	19.616
hope	hope	16	1	NA	NA	0	0	19.884
the	the	16	1	NA	NA	0	0	20.163
universe	un-	16	1	NA	NA	0	0	20.358
universe	i-	16	1	NA	NA	0	0	20.652
universe	verse	16	1	NA	NA	0	0	20.846
love	love	16	1	NA	NA	0	0	21.166
you	you	16	1	NA	NA	0	0	21.494
today	to-	16	1	3	1	0	0	21.713
today	day	16	3	3	2	1	1	21.9
cause	cause	16	1	NA	NA	0	0	22.76
the	the	16	1	NA	NA	0	0	23.028
energy	e-	16	1	NA	NA	0	0	23.108
energy	ner-	16	1	NA	NA	0	0	23.365
energy	gy	16	1	NA	NA	0	0	23.629
we	we	16	1	NA	NA	0	0	23.927
bringing	bring-	16	1	NA	NA	0	0	24.189
bringing	ing	16	1	NA	NA	0	0	24.404
sure	sure	16	1	NA	NA	0	0	24.722
to	to	16	1	NA	NA	0	0	25
carry	car-	16	1	NA	NA	0	0	25.224
carry	ry	16	1	NA	NA	0	0	25.411
away	a-	16	1	3	1	0	0	25.67
away	way	16	1	3	2	1	0	25.915
a	a	16	1	NA	NA	0	0	26.07
flock	flock	16	1	NA	NA	0	0	26.439
of	of	16	1	NA	NA	0	0	26.695
positive	pos-	16	1	NA	NA	0	0	26.939
positive	i-	16	1	NA	NA	0	0	27.295
positive	tive	16	1	NA	NA	0	0	27.473
activists	act-	16	1	NA	NA	0	0	27.683
activists	i-	16	1	NA	NA	0	0	27.95
activists	vists	16	1	NA	NA	0	0	28.218
and	and	16	1	NA	NA	0	0	28.485
fill	fill	16	1	NA	NA	0	0	28.691
their	their	16	1	NA	NA	0	0	29.049
body	bo-	16	1	NA	NA	0	0	29.219
body	dy	16	1	NA	NA	0	0	29.467
with	with	16	1	3	1	0	0	29.704
hate	hate	16	3	3	2	0	1	29.898
if	if	16	1	NA	NA	0	0	30.698
its	its	16	1	NA	NA	0	0	30.893
necessary	ne-	16	1	NA	NA	0	0	31.176
necessary	ces-	16	1	NA	NA	0	0	31.468
necessary	sa-	16	1	NA	NA	0	0	31.676
necessary	ry	16	3	NA	NA	1	1	31.933
bumpin	bump-	16	1	NA	NA	0	0	32.779
bumpin	in	16	1	NA	NA	0	0	32.999
jeezy	jeez-	16	1	NA	NA	0	0	33.204
jeezy	y	16	1	NA	NA	0	0	33.438
first	first	16	1	NA	NA	0	0	33.654
album	al-	16	1	4	1	0	0	33.875
album	bum	16	1	4	2	0	0	34.218
lookin'	loo-	16	1	NA	NA	0	0	34.51
lookin'	kin'	16	1	NA	NA	0	0	34.725
distracted	dis-	16	1	NA	NA	0	0	34.945
distracted	tract-	16	1	5	1	0	0	35.198
distracted	ed	16	3	5	2	1	1	35.524
speaking	speak-	16	1	NA	NA	0	0	36.227
speaking	ing	16	1	NA	NA	0	0	36.389
language	lan-	16	1	NA	NA	0	0	36.66
language	guage	16	1	NA	NA	0	0	36.932
only	on-	16	1	NA	NA	0	0	37.171
only	ly	16	1	NA	NA	0	0	37.385
we	we	16	1	NA	NA	0	0	37.625
know	know	16	1	NA	NA	0	0	37.906
you	you	16	1	NA	NA	0	0	38.171
think	think	16	1	NA	NA	0	0	38.431
it's	it's	16	1	NA	NA	0	0	38.665
an	an	16	1	NA	NA	0	0	38.912
accent	ac-	16	1	5	1	0	0	39.045
accent	cent	16	2	5	2	1	1	39.443
the	the	16	1	NA	NA	0	0	40.042
