word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
who	who	16	1	NA	NA	0	0	-0.325
is	is	16	1	NA	NA	0	0	-0.153
k	k	16	2	NA	NA	0	0	0.268
dot	dot	16	5	1	1	0	1	0.755
a	a	16	1	NA	NA	0	0	1.972
young	young	16	2	NA	NA	0	0	2.285
nigga	nig-	24	1	NA	NA	0	0	2.748
nigga	ga	24	1	NA	NA	0	0	2.97
from	from	24	1	NA	NA	0	0	3.22
compton	comp-	16	1	NA	NA	0	0	3.448
compton	ton	16	1	NA	NA	1	0	3.817
on	on	16	1	NA	NA	0	0	3.966
the	the	16	1	NA	NA	0	0	4.239
curb	curb	16	3	NA	NA	0	0	4.48
writing	wri-	16	1	NA	NA	0	0	5
writing	ting	16	1	NA	NA	0	0	5.217
raps	raps	16	2	NA	NA	0	0	5.487
next	next	16	1	NA	NA	0	0	5.932
to	to	16	1	NA	NA	0	0	6.324
a	a	16	1	NA	NA	0	0	6.423
gun	gun	16	2	NA	NA	0	0	6.765
shot	shot	16	6	1	1	1	1	7.252
on	on	16	1	NA	NA	0	0	8.79
the	the	16	1	NA	NA	0	0	9.056
corners	cor-	16	1	NA	NA	0	0	9.23
corners	ners	16	1	NA	NA	0	0	9.508
where	where	16	1	NA	NA	0	0	9.819
the	the	16	1	NA	NA	0	0	9.956
gangsters	gang-	16	1	NA	NA	0	0	10.186
gangsters	sters	16	1	NA	NA	0	0	10.539
and	and	16	1	NA	NA	0	0	10.736
the	the	16	1	NA	NA	0	0	10.959
killers	kil-	16	1	NA	NA	0	0	11.208
killers	lers	16	1	NA	NA	0	0	11.396
dwell	dwell	16	3	2	1	1	1	11.78
the	the	16	1	NA	NA	0	0	12.608
fraudulent	fraud-	16	1	NA	NA	0	0	12.912
fraudulent	u-	16	1	NA	NA	0	0	13.216
fraudulent	lent	16	2	NA	NA	0	0	13.422
tender	ten-	16	1	NA	NA	0	0	13.825
tender	der	16	1	NA	NA	0	0	13.992
scars'll	scars-	16	1	NA	NA	0	0	14.297
scars'll	ll	16	1	NA	NA	0	0	14.684
get	get	16	2	NA	NA	0	0	14.89
unveiled	un-	16	2	NA	NA	0	0	15.156
unveiled	veiled	16	4	2	1	1	1	15.742
everyone	eve-	16	1	NA	NA	0	0	16.746
everyone	ry-	16	1	NA	NA	0	0	17.002
everyone	one	16	1	NA	NA	0	0	17.239
i	i	16	1	NA	NA	0	0	17.416
knew	knew	16	1	NA	NA	0	0	17.674
was	was	16	1	NA	NA	0	0	18.024
either	ei-	16	1	NA	NA	0	0	18.222
either	ther	16	1	NA	NA	0	0	18.424
crip	crip	16	1	NA	NA	0	0	18.755
or	or	16	1	NA	NA	0	0	18.999
piru	pi-	16	2	3	1	0	0	19.257
piru	ru	16	2	3	2	1	0	19.698
cousins	cou-	16	1	NA	NA	0	0	20.246
cousins	sins	16	1	NA	NA	0	0	20.474
in	in	16	1	NA	NA	0	0	20.687
elementary	el-	16	1	NA	NA	0	0	20.87
elementary	e-	16	1	NA	NA	0	0	21.092
elementary	men-	16	2	NA	NA	0	0	21.366
elementary	tary	16	1	NA	NA	0	0	21.791
relatives	re-	16	1	NA	NA	0	0	22.127
relatives	la-	16	1	NA	NA	0	0	22.354
relatives	tives	16	1	NA	NA	0	0	22.658
in	in	16	1	NA	NA	0	0	22.98
high	high	16	2	3	1	0	0	23.305
school	school	16	4	3	2	1	1	23.76
with	with	16	1	NA	NA	0	0	24.658
that	that	16	1	NA	NA	0	0	24.871
being	be-	16	1	NA	NA	0	0	25.252
being	ing	16	1	NA	NA	0	0	25.367
said	said	16	2	4	1	0	0	25.723
each	each	16	1	NA	NA	0	0	26.104
one	one	16	1	NA	NA	0	0	26.526
of	of	16	1	NA	NA	0	0	26.672
their	their	16	1	NA	NA	0	0	26.91
rivals	ri-	16	2	3	1	0	0	27.191
rivals	vals	16	1	3	2	1	0	27.64
was	was	16	1	NA	NA	0	0	28.07
aiming	aim-	16	1	NA	NA	0	0	28.203
aiming	ing	16	1	NA	NA	0	0	28.496
something	some-	16	1	NA	NA	0	0	28.732
something	thing	16	1	NA	NA	0	0	29.049
at	at	16	1	NA	NA	0	0	29.177
my	my	16	1	NA	NA	0	0	29.512
head	head	16	2	4	1	0	0	29.74
i	i	16	1	NA	NA	0	0	30.136
needed	need-	16	1	NA	NA	0	0	30.428
needed	ed	16	1	NA	NA	0	0	30.617
survival	sur-	16	1	NA	NA	0	0	30.922
survival	vi-	16	2	3	1	0	0	31.185
survival	val	16	2	3	2	1	1	31.688
got	got	16	2	NA	NA	0	0	32.338
jumped	jumped	16	2	NA	NA	0	0	32.81
got	got	16	2	NA	NA	0	0	33.273
jacked	jacked	16	2	5	1	0	0	33.757
shot	shot	16	2	NA	NA	0	0	34.384
at	at	16	2	5	1	0	0	34.746
shot	shot	16	2	NA	NA	0	0	35.278
back	back	16	1	5	1	1	0	35.689
and	and	16	1	NA	NA	0	0	36.07
i	i	16	1	NA	NA	0	0	36.243
don't	don't	16	1	NA	NA	0	0	36.389
even	e-	16	1	NA	NA	0	0	36.678
even	ven	16	1	NA	NA	0	0	36.875
push	push	16	1	6	1	0	0	37.155
a	a	16	1	6	2	0	0	37.408
line	line	16	1	6	3	0	0	37.652
i'm	i'm	16	1	NA	NA	0	0	38.002
just	just	16	2	NA	NA	0	0	38.278
tryna	try-	16	1	NA	NA	0	0	38.687
tryna	na	16	1	NA	NA	0	0	38.9
push	push	16	1	6	1	0	0	39.101
these	these	16	1	6	2	0	0	39.447
rhymes	rhymes	16	4	6	3	1	1	39.791
in	in	16	1	NA	NA	0	0	40.756
the	the	16	1	NA	NA	0	0	41.03
midst	midst	16	1	NA	NA	0	0	41.238
of	of	16	1	NA	NA	0	0	41.498
staying	stay-	16	1	NA	NA	0	0	41.821
staying	ing	16	1	NA	NA	0	0	41.897
neutral	neut-	16	1	NA	NA	0	0	42.216
neutral	ral	16	1	NA	NA	0	0	42.551
and	and	16	1	NA	NA	0	0	42.719
discrete	dis-	16	1	NA	NA	0	0	42.962
discrete	crete	16	3	7	1	1	1	43.373
my	my	16	1	NA	NA	0	0	44.03
momma	mom-	16	1	NA	NA	0	0	44.228
momma	ma	16	1	NA	NA	0	0	44.478
said	said	16	1	NA	NA	0	0	44.712
you're	you're	16	1	NA	NA	0	0	45.123
judged	judged	16	2	NA	NA	0	0	45.345
by	by	16	1	NA	NA	0	0	45.791
the	the	16	1	NA	NA	0	0	45.99
