word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
i'm	i'm	16	3	NA	NA	0	0	-0.78
tryin'	try-	32	1	1	1	0	0	0.025
tryin'	in'	32	1	NA	NA	0	0	0.113
to	to	32	1	NA	NA	0	0	0.228
keep	keep	32	2	NA	NA	0	0	0.433
it	it	32	2	NA	NA	0	0	0.544
alive	a-	32	1	NA	NA	0	0	0.815
alive	live	32	2	1	1	0	0	1.088
and	and	32	1	NA	NA	0	0	1.243
not	not	32	2	NA	NA	0	0	1.383
compromise	comp-	32	2	NA	NA	0	0	1.622
compromise	ro-	32	1	NA	NA	0	0	1.858
compromise	mise	32	2	1	1	0	0	1.984
the	the	32	1	NA	NA	0	0	2.264
feeling	feel-	32	2	NA	NA	0	0	2.42
feeling	ing	32	1	NA	NA	0	0	2.568
we	we	32	2	NA	NA	0	0	2.794
love	love	16	3	2	1	1	1	3.066
you're	you're	16	1	NA	NA	0	0	3.813
tryin'	try-	32	1	1	1	0	0	4.036
tryin'	in'	32	1	NA	NA	0	0	4.158
to	to	32	1	NA	NA	0	0	4.281
keep	keep	32	2	NA	NA	0	0	4.409
it	it	32	2	NA	NA	0	0	4.618
deprived	de-	32	1	NA	NA	0	0	4.827
deprived	prived	32	2	1	1	0	0	5.055
and	and	32	1	NA	NA	0	0	5.295
only	on-	32	2	NA	NA	0	0	5.406
only	ly	32	1	NA	NA	0	0	5.56
cosign	co-	32	2	NA	NA	0	0	5.796
cosign	sign	32	2	1	1	0	0	6.005
what	what	32	1	NA	NA	0	0	6.286
radio	rad-	32	2	NA	NA	0	0	6.479
radio	i-	32	1	NA	NA	0	0	6.629
radio	o	32	2	NA	NA	0	0	6.74
does	does	16	2	2	1	1	0	7.088
and	and	16	1	NA	NA	0	0	7.595
i'm	i'm	16	1	NA	NA	0	0	7.769
lookin'	loo-	24	1	NA	NA	0	0	8.08
lookin'	kin'	24	1	NA	NA	0	0	8.18
right	right	24	1	NA	NA	0	0	8.314
past	past	24	2	3	1	0	0	8.57
you	you	4	1	3	2	0	1	8.949
we	we	24	1	NA	NA	0	0	9.93
live	live	24	1	4	1	0	0	10.052
in	in	24	1	4	2	0	0	10.154
a	a	24	1	4	3	0	0	10.299
world	world	24	2	4	4	0	0	10.564
we	we	24	1	NA	NA	0	0	10.943
live	live	24	1	4	1	0	0	11.064
in	in	24	1	4	2	0	0	11.177
a	a	24	1	4	3	0	0	11.285
world	world	24	2	4	4	1	0	11.548
on	on	24	1	NA	NA	0	0	11.836
two	two	24	1	NA	NA	0	0	12.08
different	dif-	24	1	NA	NA	0	0	12.225
different	ent	24	1	NA	NA	0	0	12.376
axles	ax-	24	2	3	1	0	0	12.538
axles	les	24	6	3	2	0	1	12.964
you	you	24	1	NA	NA	0	0	13.902
live	live	24	1	4	1	0	0	14.085
in	in	24	1	4	2	0	0	14.23
a	a	24	1	4	3	0	0	14.327
world	world	24	2	4	4	0	0	14.565
you	you	24	1	NA	NA	0	0	14.929
livin'	liv-	24	1	4	1	0	0	15.088
livin'	in'	24	1	4	2	0	0	15.187
behind	be-	24	1	NA	NA	0	0	15.378
behind	hind	24	2	NA	NA	0	0	15.52
the	the	24	1	NA	NA	0	0	15.879
mirror	mir-	24	1	5	1	0	0	16.046
mirror	ror	24	1	5	2	1	0	16.134
i	i	24	1	NA	NA	0	0	16.225
know	know	24	1	NA	NA	0	0	16.52
what	what	24	1	NA	NA	0	0	16.737
you	you	24	1	NA	NA	0	0	16.849
scared	scared	24	1	NA	NA	0	0	17.071
of	of	24	1	NA	NA	0	0	17.224
the	the	24	1	NA	NA	0	0	17.406
feeling	feel-	24	1	6	1	0	0	17.521
feeling	ing	24	1	6	2	0	0	17.664
of	of	24	1	NA	NA	0	0	17.874
feeling	feel-	24	1	6	1	0	0	18.074
feeling	ing	24	1	6	2	0	0	18.208
emotions	e-	24	1	NA	NA	0	0	18.342
emotions	mo-	24	1	NA	NA	0	0	18.5
emotions	tions	24	1	NA	NA	0	0	18.74
inferior	in-	24	1	NA	NA	0	0	18.876
inferior	fer-	24	1	5	1	0	0	19.04
inferior	i-	24	1	5	2	0	0	19.148
inferior	or	24	4	NA	NA	1	1	19.38
this	this	24	1	NA	NA	0	0	20.057
shit	shit	24	1	NA	NA	0	0	20.236
is	is	24	1	NA	NA	0	0	20.285
vital	vi-	24	2	7	1	0	0	20.548
vital	tal	24	1	7	2	0	0	20.868
i	i	24	1	NA	NA	0	0	21.06
know	know	24	1	NA	NA	0	0	21.216
you	you	24	1	NA	NA	0	0	21.405
had	had	24	2	8	1	0	0	21.584
to	to	24	1	8	2	0	0	21.907
this	this	24	1	NA	NA	0	0	22.085
shit	shit	24	1	NA	NA	0	0	22.263
is	is	24	1	NA	NA	0	0	22.369
vital	vi-	24	2	7	1	0	0	22.586
vital	tal	24	1	7	2	0	0	22.885
i	i	24	1	NA	NA	0	0	23.008
know	know	24	1	NA	NA	0	0	23.222
you	you	24	1	NA	NA	0	0	23.343
had	had	24	3	8	1	1	1	23.566
die	die	24	1	8	2	0	0	24.057
in	in	24	1	NA	NA	0	0	24.181
a	a	24	1	NA	NA	0	0	24.349
pitiful	pi-	24	1	NA	NA	0	0	24.57
pitiful	ti-	24	1	NA	NA	0	0	24.692
pitiful	ful	24	1	NA	NA	0	0	24.882
vain	vain	24	3	9	1	0	1	25.082
tell	tell	24	1	NA	NA	0	0	25.561
me	me	24	1	NA	NA	0	0	25.762
a	a	24	1	NA	NA	0	0	25.884
watch	watch	24	1	NA	NA	0	0	26.052
and	and	24	1	NA	NA	0	0	26.241
a	a	24	1	NA	NA	0	0	26.34
chain	chain	24	2	9	1	0	1	26.564
is	is	24	1	NA	NA	0	0	26.926
way	way	24	1	NA	NA	0	0	27.143
more	more	24	1	NA	NA	0	0	27.244
believable	be-	24	1	NA	NA	0	0	27.444
believable	lie-	24	1	10	1	0	0	27.567
believable	va-	24	1	NA	NA	0	0	27.723
believable	ble	24	1	NA	NA	1	0	27.856
give	give	24	1	NA	NA	0	0	28.068
me	me	24	1	NA	NA	0	0	28.237
a	a	24	1	NA	NA	0	0	28.34
feasible	feas-	24	1	10	1	0	0	28.525
feasible	i-	24	1	NA	NA	0	0	28.718
