word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
why	why	16	1	NA	NA	0	0	1.303
y'all	y'all	16	1	NA	NA	0	0	1.565
complain	com-	16	1	NA	NA	0	0	1.832
complain	plain	16	1	NA	NA	0	0	1.996
about	a-	16	1	NA	NA	0	0	2.273
about	bout	16	2	NA	NA	0	0	2.466
o	o	16	2	1	1	0	0	2.941
gees	gees	16	4	1	2	1	1	3.57
i	i	16	1	NA	NA	0	0	4.489
don't	don't	16	1	NA	NA	0	0	4.773
look	look	16	1	NA	NA	0	0	4.969
at	at	16	1	NA	NA	0	0	5.136
a	a	16	1	NA	NA	0	0	5.42
legend	le-	16	1	NA	NA	0	0	5.741
legend	gend	16	1	NA	NA	0	0	5.971
and	and	16	1	NA	NA	0	0	6.141
say	say	16	1	NA	NA	0	0	6.466
you	you	16	1	NA	NA	0	0	6.795
owe	owe	16	2	1	1	0	0	6.972
me	me	16	4	1	2	1	1	7.551
not	not	16	2	NA	NA	0	0	8.544
snoop	snoop	16	2	NA	NA	0	0	8.971
not	not	16	2	NA	NA	0	0	9.542
dre	dre	16	2	NA	NA	0	0	10.067
not	not	16	2	NA	NA	0	0	10.584
ice	ice	16	2	2	1	0	0	10.972
cube	cube	16	4	2	2	1	1	11.583
i	i	16	1	NA	NA	0	0	12.473
don't	don't	16	1	NA	NA	0	0	12.721
care	care	16	1	NA	NA	0	0	12.995
me	me	16	1	NA	NA	0	0	13.29
and	and	16	1	NA	NA	0	0	13.485
quik	quik	16	2	NA	NA	0	0	13.795
went	went	16	1	NA	NA	0	0	14.311
to	to	16	1	NA	NA	0	0	14.508
the	the	16	1	NA	NA	0	0	14.696
same	same	16	2	2	1	0	0	14.963
school	school	16	3	2	2	1	1	15.506
i	i	16	1	NA	NA	0	0	16.266
look	look	16	1	NA	NA	0	0	16.436
in	in	16	1	NA	NA	0	0	16.618
the	the	16	1	NA	NA	0	0	16.977
mirror	mir-	16	1	3	1	0	0	17.185
mirror	ror	16	1	3	2	0	0	17.392
and	and	16	1	NA	NA	0	0	17.596
do	do	16	1	NA	NA	0	0	18.09
it	it	16	1	NA	NA	0	0	18.228
myself	my-	16	2	NA	NA	0	0	18.575
myself	self	16	2	4	1	1	0	19.014
like	like	16	1	NA	NA	0	0	19.495
a	a	16	1	NA	NA	0	0	19.601
self	self	16	2	4	1	0	0	20.025
made	made	16	2	5	1	0	0	20.466
nigga	nig-	16	1	3	1	0	0	20.949
nigga	ga	16	1	3	2	0	0	21.129
i	i	16	1	NA	NA	0	0	21.348
don't	don't	16	1	NA	NA	0	0	21.642
need	need	16	1	NA	NA	0	0	21.96
a	a	16	1	NA	NA	0	0	22.192
maid	maid	16	2	5	1	0	0	22.54
nigga	nig-	16	1	3	1	0	0	22.999
nigga	ga	16	1	3	2	1	0	23.238
do	do	16	1	NA	NA	0	0	23.559
i	i	16	1	NA	NA	0	0	23.696
need	need	16	1	NA	NA	0	0	23.986
a	a	16	1	NA	NA	0	0	24.165
cosign	co-	16	2	NA	NA	0	0	24.539
cosign	sign	16	2	NA	NA	0	0	25.025
from	from	16	2	NA	NA	0	0	25.562
dre	dre	16	2	NA	NA	0	0	26.048
or	or	16	2	NA	NA	0	0	26.486
jigga	jig-	16	1	3	1	0	0	26.965
jigga	ga	16	1	3	2	1	0	27.208
they	they	16	1	NA	NA	0	0	27.533
can	can	16	1	NA	NA	0	0	27.764
make	make	16	1	NA	NA	0	0	28.062
me	me	16	1	NA	NA	0	0	28.383
much	much	16	2	NA	NA	0	0	28.611
bigger	big-	16	1	3	1	0	0	28.998
bigger	ger	16	4	3	2	0	1	29.202
but	but	16	1	NA	NA	0	0	30.224
do	do	16	1	NA	NA	0	0	30.527
i	i	16	1	NA	NA	0	0	30.648
need	need	16	1	6	1	0	0	31.005
em	em	16	1	6	2	0	0	31.159
though	though	16	3	6	3	1	1	31.573
i	i	16	1	NA	NA	0	0	32.281
just	just	16	2	NA	NA	0	0	32.522
need	need	16	1	6	1	0	0	32.988
a	a	16	1	6	2	0	0	33.134
flow	flow	16	3	6	3	0	1	33.545
the	the	16	1	NA	NA	0	0	34.267
type	type	16	1	NA	NA	0	0	34.504
of	of	16	1	NA	NA	0	0	34.593
shit	shit	16	1	NA	NA	1	0	34.914
that	that	16	1	NA	NA	0	0	35.266
make	make	16	1	NA	NA	0	0	35.528
you	you	16	1	NA	NA	0	0	35.769
think	think	16	1	NA	NA	0	0	36.026
you	you	16	1	NA	NA	0	0	36.273
seen	seen	16	2	NA	NA	0	0	36.552
pac	pac	16	2	NA	NA	0	0	37.046
ghost	ghost	16	2	6	3	1	0	37.544
me	me	16	1	NA	NA	0	0	38.091
against	a-	16	1	NA	NA	0	0	38.214
against	gainst	16	1	NA	NA	0	0	38.445
the	the	16	1	NA	NA	0	0	38.902
world	world	16	2	NA	NA	0	0	39.086
on	on	16	1	NA	NA	0	0	39.382
you	you	16	1	NA	NA	0	0	39.674
mothafuckas	mo-	16	1	NA	NA	0	0	39.983
mothafuckas	tha-	16	1	NA	NA	0	0	40.198
mothafuckas	fuck-	16	1	7	1	0	0	40.484
mothafuckas	as	16	2	7	2	1	1	40.786
i	i	16	1	NA	NA	0	0	41.254
got	got	16	1	NA	NA	0	0	41.498
my	my	16	1	NA	NA	0	0	41.788
back	back	16	1	NA	NA	0	0	42.047
against	a-	16	1	NA	NA	0	0	42.21
against	gainst	16	1	NA	NA	0	0	42.464
the	the	16	1	NA	NA	0	0	42.807
wall	wall	16	2	NA	NA	1	0	43.093
and	and	16	1	NA	NA	0	0	43.459
a	a	16	1	NA	NA	0	0	43.661
forty	for-	16	1	NA	NA	0	0	44.034
forty	ty	16	1	NA	NA	0	0	44.159
five	five	16	2	NA	NA	0	0	44.527
dog	dog	16	2	NA	NA	0	0	45.138
get	get	16	2	NA	NA	0	0	45.534
smoked	smoked	16	4	NA	NA	0	1	46.004
chris	chris	16	2	NA	NA	0	0	47.071
tucker	tuc-	16	1	7	1	0	0	47.514
tucker	ker	16	3	7	2	1	1	47.745
uhh	uhh	16	3	NA	NA	0	1	48.482
tryna	try-	16	1	NA	NA	0	0	49.262
tryna	na	16	1	NA	NA	0	0	49.443
record	re-	16	1	NA	NA	0	0	49.654
record	cord	16	1	NA	NA	0	0	49.952
my	my	16	2	NA	NA	0	0	50.362
steelo	steel-	16	2	8	1	0	0	50.797
steelo	o	16	3	8	2	1	1	51.228
even	e-	16	1	NA	NA	0	0	51.964
even	ven	16	1	NA	NA	0	0	52.192
when	when	16	1	NA	NA	0	0	52.494
i'm	i'm	16	1	NA	NA	0	0	52.662
not	not	16	2	NA	NA	0	0	53.058
there	there	16	2	NA	NA	0	0	53.532
just	just	16	1	NA	NA	0	0	54.033
like	like	16	2	NA	NA	0	0	54.417
tivo	ti-	16	2	8	1	0	0	54.849
tivo	vo	16	2	8	2	1	1	55.241
the	the	16	1	NA	NA	0	0	55.825
hoes	hoes	16	2	NA	NA	0	0	56.158
tell	tell	16	1	NA	NA	0	0	56.571
me	me	16	1	NA	NA	0	0	56.822
that	that	16	1	NA	NA	0	0	57.033
i	i	16	1	NA	NA	0	0	57.25
got	got	16	1	NA	NA	0	0	57.574
a	a	16	1	NA	NA	0	0	57.72
real	real	16	1	NA	NA	0	0	58.037
big	big	16	2	NA	NA	0	0	58.409
ego	e-	16	2	8	1	0	0	58.78
ego	go	16	2	8	2	1	1	59.267
and	and	16	1	NA	NA	0	0	59.755
weed	weed	16	2	NA	NA	0	0	60.105
move	move	16	2	NA	NA	0	0	60.626
slow	slow	16	2	NA	NA	0	0	61.077
right	right	16	2	NA	NA	0	0	61.61
now	now	16	2	NA	NA	0	0	62.135
but	but	16	1	NA	NA	0	0	62.497
e	e	16	2	8	1	0	0	62.7
go	go	16	2	8	2	1	1	63.315
you	you	16	1	NA	NA	0	0	63.856
know	know	16	1	NA	NA	0	0	64.067
what	what	16	1	NA	NA	0	0	64.302
i'm	i'm	16	1	NA	NA	0	0	64.425
talking	talk-	16	1	9	1	0	0	64.804
talking	ing	16	1	NA	NA	0	0	65.062
bout	bout	16	2	9	2	0	1	65.302
i	i	16	1	NA	NA	0	0	65.755
look	look	16	1	NA	NA	0	0	66.011
at	at	16	1	NA	NA	0	0	66.213
your	your	16	1	NA	NA	0	0	66.497
audemars	au-	16	1	NA	NA	0	0	66.688
audemars	de-	16	1	NA	NA	0	0	66.963
audemars	mars	16	2	NA	NA	1	1	67.234
to	to	16	1	NA	NA	0	0	67.744
put	put	16	1	NA	NA	0	0	67.983
y'all	y'all	16	1	NA	NA	0	0	68.297
on	on	16	1	NA	NA	0	0	68.442
time	time	16	2	9	1	0	0	68.775
out	out	16	2	9	2	0	1	69.197
it's	it's	16	1	NA	NA	0	0	69.793
time	time	16	1	NA	NA	0	0	70.003
to	to	16	1	NA	NA	0	0	70.302
unveil	un-	16	1	NA	NA	0	0	70.385
unveil	veil	16	1	NA	NA	0	0	70.768
the	the	16	1	NA	NA	0	0	71.102
real	real	16	2	10	1	1	0	71.425
and	and	16	1	NA	NA	0	0	71.669
your	your	16	1	NA	NA	0	0	72.028
career	ca-	16	1	NA	NA	0	0	72.279
career	reer	16	1	10	1	0	0	72.431
is	is	16	1	NA	NA	0	0	72.697
bout	bout	16	1	NA	NA	0	0	73.002
as	as	16	1	NA	NA	0	0	73.099
frail	frail	16	2	NA	NA	0	0	73.56
as	as	16	1	NA	NA	0	0	73.972
miss	miss	16	2	NA	NA	0	0	74.341
winehouse	wine-	16	2	9	1	0	0	74.782
winehouse	house	16	3	9	2	1	1	75.237
just	just	16	1	NA	NA	0	0	76.089
salute	sal-	16	1	11	1	0	0	76.301
salute	ute	16	2	11	2	0	0	76.499
grab	grab	16	1	NA	NA	0	0	76.911
a	a	16	1	11	1	0	0	77.107
flute	flute	16	2	11	2	0	0	77.515
and	and	16	1	NA	NA	0	0	77.893
pull	pull	16	1	NA	NA	0	0	78.319
the	the	16	1	NA	NA	0	0	78.524
wine	wine	16	2	9	1	0	0	78.825
out	out	16	3	9	2	1	1	79.264
ooh	ooh	16	4	NA	NA	0	0	80.006
ooh	ooh	16	4	NA	NA	0	0	80.983
ooh	ooh	16	4	NA	NA	0	1	82.073
just	just	16	2	NA	NA	0	0	83.052
like	like	16	4	NA	NA	0	1	83.604
that	that	16	1	NA	NA	1	1	84.572
