word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
mama	ma-	16	1	NA	NA	0	0	0.107
mama	ma	16	1	NA	NA	0	0	0.303
says	says	16	1	NA	NA	0	0	0.58
she	she	16	1	NA	NA	0	0	0.836
love	love	16	1	NA	NA	0	0	1.078
it	it	16	1	NA	NA	0	0	1.251
when	when	16	1	NA	NA	0	0	1.561
i'm	i'm	16	1	NA	NA	0	0	1.765
color	co-	16	1	NA	NA	0	0	2.084
color	lor	16	1	NA	NA	0	0	2.295
coordinated	co-	16	1	NA	NA	0	0	2.603
coordinated	di-	16	1	NA	NA	0	0	2.838
coordinated	na-	16	1	1	1	0	0	3.079
coordinated	ted	16	1	1	2	1	0	3.314
so	so	16	1	NA	NA	0	0	3.582
i	i	16	1	NA	NA	0	0	3.691
pull	pull	16	1	NA	NA	0	0	4.093
up	up	16	1	NA	NA	0	0	4.227
in	in	32	1	NA	NA	0	0	4.427
a	a	32	1	NA	NA	0	0	4.685
maroon	ma-	16	1	NA	NA	0	0	4.899
maroon	roon	16	2	2	1	0	0	5.008
coupe	coupe	16	2	NA	NA	0	1	5.567
with	with	16	1	NA	NA	0	0	6.154
maroon	ma-	16	1	NA	NA	0	0	6.441
maroon	roon	16	2	2	1	0	0	6.598
laces	la-	16	1	1	1	0	0	7.115
laces	ces	16	1	1	2	0	0	7.368
in	in	16	1	NA	NA	0	0	7.581
my	my	16	1	NA	NA	0	0	7.817
supers	sup-	16	1	2	1	0	0	8.012
supers	ers	16	1	NA	NA	1	0	8.282
i	i	16	1	NA	NA	0	0	8.566
maneuver	ma-	16	1	NA	NA	0	0	8.829
maneuver	neu-	16	1	2	1	0	0	9.027
maneuver	ver	16	1	NA	NA	0	0	9.232
like	like	16	1	NA	NA	0	0	9.527
macgyver	mac-	16	1	NA	NA	0	0	9.755
macgyver	gy-	16	1	NA	NA	0	0	10.049
macgyver	ver	16	1	NA	NA	0	0	10.267
when	when	16	1	NA	NA	0	0	10.537
it's	it's	16	1	NA	NA	0	0	10.8
time	time	16	1	3	1	0	0	11.106
to	to	16	1	NA	NA	0	0	11.328
ride	ride	16	2	3	2	1	1	11.563
say	say	16	1	NA	NA	0	0	12.123
she	she	16	1	NA	NA	0	0	12.364
always	al-	16	1	NA	NA	0	0	12.533
always	ways	16	1	NA	NA	0	0	12.814
feeling	feel-	16	1	NA	NA	0	0	13.09
feeling	ing	16	1	NA	NA	0	0	13.27
blue	blue	16	2	2	1	0	1	13.533
when	when	16	1	NA	NA	0	0	14.185
he	he	16	1	NA	NA	0	0	14.37
telling	tel-	16	1	NA	NA	0	0	14.618
telling	ling	16	1	NA	NA	0	0	14.825
white	white	16	2	3	1	0	0	15.15
