word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
yo	yo	16	2	NA	NA	0	0	0.747
q	q	16	2	1	1	0	0	1.314
these	these	16	2	NA	NA	0	0	1.887
niggas	nig-	16	1	NA	NA	0	0	2.31
niggas	gas	16	1	NA	NA	0	0	2.511
think	think	16	1	NA	NA	0	0	2.742
they	they	16	1	NA	NA	0	0	3.032
cute	cute	16	2	1	1	1	1	3.281
talking	talk-	16	1	NA	NA	0	0	3.769
talking	ing	16	1	NA	NA	0	0	4.026
louder	loud-	16	1	NA	NA	0	0	4.294
louder	er	16	1	NA	NA	0	0	4.538
than	than	16	1	NA	NA	0	0	4.76
the	the	16	1	NA	NA	0	0	4.942
trumpet	trum-	16	1	NA	NA	0	0	5.185
trumpet	pet	16	1	NA	NA	0	0	5.464
when	when	16	1	NA	NA	0	0	5.772
i	i	16	1	NA	NA	0	0	5.908
see	see	16	1	NA	NA	0	0	6.256
em	em	16	1	NA	NA	0	1	6.382
where	where	16	1	NA	NA	0	0	6.857
the	the	16	1	NA	NA	0	0	7.047
fluke	fluke	16	2	1	1	1	1	7.302
your	your	16	1	NA	NA	0	0	7.905
opinion	o-	16	1	NA	NA	0	0	8.115
opinion	pi-	16	1	NA	NA	0	0	8.306
opinion	nion	16	1	NA	NA	0	0	8.52
something	some-	16	1	NA	NA	0	0	8.798
something	thing	16	1	NA	NA	0	0	9.042
moving	mov-	16	1	1	1	0	0	9.271
moving	ing	16	1	NA	NA	0	0	9.507
like	like	16	2	NA	NA	0	0	9.765
pew	pew	16	2	1	1	0	0	10.248
pass	pass	16	2	NA	NA	0	0	10.778
by	by	16	1	2	1	0	0	11.214
em	em	16	1	2	2	1	0	11.44
hog	hog	16	2	NA	NA	0	0	11.723
tie	tie	16	1	2	1	0	0	12.217
em	em	16	1	2	2	0	0	12.409
for	for	16	1	NA	NA	0	0	12.74
the	the	16	1	NA	NA	0	0	12.956
revenue	re-	16	1	NA	NA	0	0	13.191
revenue	ve-	16	1	NA	NA	0	0	13.431
revenue	nue	16	2	1	1	0	1	13.624
bullets	bul-	16	1	NA	NA	0	0	14.311
bullets	lets	16	1	NA	NA	0	0	14.471
peer	peer	16	2	NA	NA	0	0	14.774
through	through	16	1	1	1	0	0	15.237
the	the	16	1	NA	NA	0	0	15.466
bulletproof	bul-	16	1	NA	NA	0	0	15.71
bulletproof	let-	16	1	NA	NA	0	0	15.902
bulletproof	proof	16	1	1	1	1	0	16.128
look	look	16	1	NA	NA	0	0	16.466
what	what	16	1	NA	NA	0	0	16.739
the	the	16	1	NA	NA	0	0	16.992
iron	i-	16	1	NA	NA	0	0	17.076
iron	ron	16	1	NA	NA	0	0	17.381
do	do	16	2	1	1	0	1	17.706
scope	scope	16	2	NA	NA	0	0	18.292
now	now	16	1	NA	NA	0	0	18.725
i'm	i'm	16	1	NA	NA	0	0	18.889
eyeing	eye-	16	1	NA	NA	0	0	19.026
eyeing	ing	16	1	NA	NA	0	0	19.382
you	you	16	2	1	1	1	1	19.712
silencer	sil-	16	1	NA	NA	0	0	20.242
silencer	en-	16	1	NA	NA	0	0	20.411
silencer	cer	16	2	NA	NA	0	1	20.746
now	now	16	1	NA	NA	0	0	21.237
my	my	16	1	NA	NA	0	0	21.463
iron	i-	16	1	NA	NA	0	0	21.673
iron	ron	16	1	NA	NA	0	0	21.901
grew	grew	16	2	1	1	0	1	22.245
i	i	16	1	NA	NA	0	0	22.643
en	en	16	1	NA	NA	0	0	22.901
route	route	16	2	1	1	1	1	23.214
learn	learn	16	2	NA	NA	0	1	23.715
of	of	16	1	NA	NA	0	0	24.062
the	the	16	1	NA	NA	0	0	24.424
flow	flow	16	2	3	1	0	1	24.696
first	first	16	2	NA	NA	0	1	25.253
to	to	16	1	NA	NA	0	0	25.734
last	last	16	2	NA	NA	0	0	26.007
these	these	16	1	NA	NA	0	0	26.449
rap	rap	16	2	NA	NA	0	0	26.729
guys	guys	16	2	4	1	1	0	27.181
shit	shit	16	1	NA	NA	0	0	27.668
on	on	16	1	NA	NA	0	0	27.912
em	em	16	1	NA	NA	0	0	28.115
then	then	16	1	NA	NA	0	0	28.405
throw	throw	16	1	3	1	0	0	28.665
them	them	16	1	NA	NA	0	0	28.835
to	to	16	1	NA	NA	0	0	29.159
the	the	16	1	NA	NA	0	0	29.346
flies	flies	16	2	4	1	0	1	29.662
bombs	bombs	16	2	NA	NA	0	0	30.288
like	like	16	1	NA	NA	0	0	30.739
al	al	16	1	NA	NA	0	0	30.933
cater	ca-	16	2	NA	NA	0	0	31.268
cater	ter	16	2	5	1	1	1	31.644
ride	ride	16	2	NA	NA	0	0	32.155
on	on	16	1	NA	NA	0	0	32.643
my	my	16	1	NA	NA	0	0	32.902
enemies	e-	16	1	NA	NA	0	0	33.113
enemies	ne-	16	1	NA	NA	0	0	33.358
enemies	mies	16	2	6	1	0	1	33.628
homicide	hom-	16	1	NA	NA	0	0	34.187
homicide	i-	16	1	NA	NA	0	0	34.408
homicide	cide	16	2	4	1	0	1	34.661
text	text	16	2	NA	NA	0	0	35.282
like	like	16	1	NA	NA	0	0	35.671
a	a	16	1	NA	NA	0	0	35.89
referee	ref-	16	1	NA	NA	0	0	36.154
referee	er-	16	1	NA	NA	0	0	36.418
