word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
what	what	16	1	NA	NA	0	0	0.016
i	i	16	1	NA	NA	0	0	0.287
gotta	got-	16	1	NA	NA	0	0	0.563
gotta	ta	16	1	NA	NA	0	0	0.69
do	do	16	2	NA	NA	0	0	1.01
in	in	16	1	NA	NA	0	0	1.492
order	or-	16	1	NA	NA	0	0	1.743
order	der	16	1	NA	NA	0	0	1.921
to	to	16	1	NA	NA	0	0	2.149
see	see	16	1	NA	NA	0	0	2.519
success	suc-	16	1	NA	NA	0	0	2.687
success	cess	16	4	1	1	1	1	3.001
having	hav-	16	1	NA	NA	0	0	4.041
having	ing	16	1	NA	NA	0	0	4.283
the	the	16	1	NA	NA	0	0	4.62
worlds	worlds	16	2	NA	NA	0	0	4.806
best	best	16	2	1	1	0	1	5.321
to	to	16	1	NA	NA	0	0	5.755
call	call	16	2	NA	NA	0	0	5.996
me	me	16	1	NA	NA	0	0	6.514
the	the	16	1	NA	NA	0	0	6.758
best	best	16	4	1	1	1	1	7.013
pull	pull	16	1	NA	NA	0	0	8.025
up	up	16	1	NA	NA	0	0	8.13
at	at	16	1	NA	NA	0	0	8.281
the	the	16	1	NA	NA	0	0	8.55
grammy	gram-	16	1	NA	NA	0	0	9.047
grammy	my	16	1	NA	NA	0	0	9.279
awards	a-	16	1	NA	NA	0	0	9.525
awards	wards	16	2	NA	NA	0	0	9.778
as	as	16	1	NA	NA	0	0	10.204
best	best	16	2	NA	NA	0	0	10.547
dressed	dressed	16	2	1	1	1	0	11.011
with	with	16	1	NA	NA	0	0	11.536
an	an	16	1	NA	NA	0	0	11.699
address	ad-	16	2	NA	NA	0	0	11.993
address	dress	16	2	1	1	0	0	12.489
next	next	16	1	NA	NA	0	0	13.026
to	to	16	1	NA	NA	0	0	13.303
a	a	16	1	NA	NA	0	0	13.468
beautiful	beau-	16	1	NA	NA	0	0	13.769
beautiful	ti-	16	1	NA	NA	0	0	13.913
beautiful	ful	16	1	NA	NA	0	0	14.207
actress	act-	16	2	NA	NA	0	0	14.481
actress	ress	16	4	1	1	1	1	14.951
do	do	16	1	NA	NA	0	0	16.041
i	i	16	1	NA	NA	0	0	16.174
gotta	got-	16	1	NA	NA	0	0	16.541
