word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
i'm	i'm	16	1	NA	NA	0	0	-0.307
whatever	what-	16	1	NA	NA	0	0	-0.086
whatever	ev-	16	1	NA	NA	0	0	0.077
whatever	er	16	1	NA	NA	0	0	0.271
the	the	16	1	NA	NA	0	0	0.473
streets	streets	16	2	NA	NA	0	0	0.896
made	made	16	2	1	1	0	0	1.358
the	the	16	1	NA	NA	0	0	1.825
saint	saint	16	2	NA	NA	0	0	2.109
the	the	16	1	NA	NA	0	0	2.589
renegade	re-	16	1	NA	NA	0	0	2.823
renegade	ne-	16	1	NA	NA	0	0	2.978
renegade	gade	16	2	1	1	1	1	3.274
the	the	16	1	NA	NA	0	0	3.805
chain	chain	16	1	NA	NA	0	0	4.026
on	on	16	1	NA	NA	0	0	4.248
the	the	16	1	NA	NA	0	0	4.54
timid	ti-	16	1	NA	NA	0	0	4.722
timid	mid	16	1	NA	NA	0	0	4.866
slaves	slaves	16	2	1	1	0	0	5.328
the	the	16	1	NA	NA	0	0	5.779
dead	dead	16	1	NA	NA	0	0	6.031
on	on	16	1	NA	NA	0	0	6.235
the	the	16	1	NA	NA	0	0	6.532
corner	cor-	16	1	2	1	0	0	6.747
corner	ner	16	3	NA	NA	1	1	7.052
the	the	16	1	NA	NA	0	0	7.813
van	van	16	1	NA	NA	0	0	8.027
of	of	16	1	NA	NA	0	0	8.256
the	the	16	1	NA	NA	0	0	8.503
coroner	co-	16	1	2	1	0	0	8.734
coroner	ro-	16	1	NA	NA	0	0	8.999
coroner	ner	16	2	NA	NA	0	1	9.251
the	the	16	1	NA	NA	0	0	9.823
ambulance	am-	16	1	NA	NA	0	0	9.997
ambulance	bu-	16	1	NA	NA	0	0	10.343
ambulance	lance	16	1	NA	NA	0	0	10.519
first	first	16	2	NA	NA	0	0	10.823
aid	aid	16	2	1	1	1	0	11.228
the	the	16	1	NA	NA	0	0	11.832
criminals	cri-	16	1	NA	NA	0	0	12.092
criminals	mi-	16	1	NA	NA	0	0	12.262
criminals	nals	16	1	NA	NA	0	0	12.459
crime	crime	16	2	NA	NA	0	0	12.896
wave	wave	16	2	1	1	0	0	13.358
the	the	16	1	NA	NA	0	0	13.798
dominant	do-	16	1	NA	NA	0	0	14.085
dominant	mi-	16	1	NA	NA	0	0	14.258
dominant	nant	16	1	NA	NA	0	0	14.47
point	point	16	2	NA	NA	0	0	14.793
guard	guard	16	2	3	1	1	0	15.287
the	the	16	1	NA	NA	0	0	15.783
drugs	drugs	16	1	NA	NA	0	0	16.017
on	on	16	1	NA	NA	0	0	16.25
the	the	16	1	NA	NA	0	0	16.47
schoolyard	school-	16	2	NA	NA	0	0	16.835
schoolyard	yard	16	2	3	1	0	0	17.245
the	the	16	1	NA	NA	0	0	17.794
kid	kid	16	1	NA	NA	0	0	18.054
on	on	16	1	NA	NA	0	0	18.244
the	the	16	1	NA	NA	0	0	18.511
go	go	16	2	NA	NA	0	0	18.813
cart	cart	16	2	3	1	1	0	19.332
the	the	16	1	NA	NA	0	0	19.768
bucket	buc-	16	1	4	1	0	0	20.062
bucket	ket	16	1	4	2	0	0	20.257
that	that	16	1	NA	NA	0	0	20.52
won't	won't	16	2	NA	NA	0	0	20.806
start	start	16	2	3	1	0	0	21.299
the	the	16	1	NA	NA	0	0	21.761
ruckus	ruc-	16	1	4	1	0	0	22.042
