word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
everybody	eve-	16	1	NA	NA	0	0	-1.404
everybody	ry-	16	1	NA	NA	0	0	-1.174
everybody	bo-	16	1	NA	NA	0	0	-0.963
everybody	dy	16	1	NA	NA	0	0	-0.663
know	know	16	1	NA	NA	0	0	-0.357
i	i	16	1	NA	NA	0	0	-0.219
spit	spit	16	1	NA	NA	0	0	0.153
that	that	16	1	NA	NA	0	0	0.454
other	o-	16	1	1	1	0	0	0.562
other	ther	16	1	1	2	0	0	0.879
shit	shit	16	2	1	3	0	0	1.278
shit	shit	16	1	NA	NA	0	0	1.716
that	that	16	1	NA	NA	0	0	1.994
make	make	16	1	NA	NA	0	0	2.199
you	you	16	1	NA	NA	0	0	2.439
duck	duck	16	1	NA	NA	0	0	2.704
for	for	16	1	NA	NA	0	0	3.017
cover	co-	16	1	1	1	0	0	3.181
cover	ver	16	1	1	2	0	0	3.417
shit	shit	16	2	1	3	1	0	3.769
shit	shit	16	1	NA	NA	0	0	4.238
that	that	16	1	NA	NA	0	0	4.491
make	make	16	1	NA	NA	0	0	4.719
you	you	16	1	NA	NA	0	0	4.97
hop	hop	16	1	NA	NA	0	0	5.161
out	out	16	1	NA	NA	0	0	5.349
your	your	16	1	NA	NA	0	0	5.689
seat	seat	16	2	NA	NA	0	0	6.017
and	and	16	1	NA	NA	0	0	6.257
slap	slap	16	1	NA	NA	0	0	6.626
your	your	16	1	NA	NA	0	0	7.074
mother	mo-	16	1	1	1	0	0	7.276
mother	ther	16	1	1	2	0	0	7.46
shit	shit	16	7	1	3	1	1	7.851
especially	es-	16	1	NA	NA	0	0	9.447
especially	pe-	16	1	NA	NA	0	0	9.692
especially	cial-	16	1	NA	NA	0	0	9.984
especially	ly	16	1	NA	NA	0	0	10.212
when	when	16	1	NA	NA	0	0	10.507
drop	drop	16	2	NA	NA	0	0	10.771
drop	drop	16	1	NA	NA	0	0	11.198
the	the	16	1	NA	NA	0	0	11.511
beat	beat	16	3	2	1	1	1	11.772
i	i	16	1	NA	NA	0	0	12.489
drop	drop	16	2	NA	NA	0	0	12.797
jewels	jewels	16	2	NA	NA	0	0	13.252
like	like	16	1	NA	NA	0	0	13.688
my	my	16	1	NA	NA	0	0	13.978
nuts	nuts	16	2	NA	NA	0	0	14.23
dropped	dropped	16	1	NA	NA	0	0	14.628
out	out	16	1	NA	NA	0	0	14.919
of	of	16	1	NA	NA	0	0	15.116
my	my	16	1	NA	NA	0	0	15.404
briefs	briefs	16	4	2	1	1	1	15.722
jump	jump	16	1	NA	NA	0	0	16.677
in	in	16	1	NA	NA	0	0	16.848
the	the	16	1	NA	NA	0	0	17.174
booth	booth	16	2	NA	NA	0	0	17.441
and	and	16	1	NA	NA	0	0	17.808
shatter	shat-	16	1	NA	NA	0	0	18.078
shatter	ter	16	1	NA	NA	0	0	18.316
every	ev-	16	1	NA	NA	0	0	18.549
every	ry	16	1	NA	NA	0	0	18.839
rapper's	rap-	16	1	NA	NA	0	0	19.1
rapper's	per's	16	1	NA	NA	0	0	19.35
dream	dream	16	3	NA	NA	1	1	19.73
they	they	16	1	2	1	0	0	20.526
jump	jump	16	1	NA	NA	0	0	20.698
in	in	16	1	NA	NA	0	0	20.933
a	a	16	1	NA	NA	0	0	21.034
sauna	saun-	16	1	NA	NA	0	0	21.359
sauna	a	16	1	NA	NA	0	0	21.634
because	be-	16	1	NA	NA	0	0	21.87
because	cause	16	1	NA	NA	0	0	22.091
i	i	16	1	NA	NA	0	0	22.295
killed	killed	16	1	NA	NA	0	0	22.608
their	their	16	1	NA	NA	0	0	22.899
