word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
they	they	16	1	NA	NA	0	0	-1.697
wanna	wan-	16	1	NA	NA	0	0	-1.4
wanna	na	16	1	NA	NA	0	0	-1.272
say	say	16	2	NA	NA	0	0	-0.857
it's	it's	16	1	NA	NA	0	0	-0.461
a	a	16	1	NA	NA	0	0	-0.195
war	war	16	2	NA	NA	0	0	0.154
outside	out-	16	2	NA	NA	0	0	0.451
outside	side	16	4	NA	NA	0	1	1.053
bomb	bomb	16	2	NA	NA	0	0	2.194
in	in	16	1	NA	NA	0	0	2.59
the	the	16	1	NA	NA	0	0	2.834
street	street	16	4	1	1	1	1	3.169
gun	gun	16	2	NA	NA	0	0	4.167
in	in	16	1	NA	NA	0	0	4.552
the	the	16	1	NA	NA	0	0	4.856
hood	hood	16	4	NA	NA	0	0	5.165
mob	mob	16	2	NA	NA	0	0	6.148
of	of	16	1	NA	NA	0	0	6.555
police	po-	16	1	NA	NA	0	0	6.865
police	lice	16	4	1	1	1	1	7.033
rock	rock	16	2	NA	NA	0	0	8.171
on	on	16	1	NA	NA	0	0	8.505
the	the	16	1	NA	NA	0	0	8.828
corner	cor-	16	1	NA	NA	0	0	9.109
corner	ner	16	1	NA	NA	0	0	9.275
with	with	16	1	NA	NA	0	0	9.593
a	a	16	1	NA	NA	0	0	9.751
line	line	16	2	NA	NA	0	0	10.134
for	for	16	1	NA	NA	0	0	10.552
the	the	16	1	NA	NA	0	0	10.76
fiend	fiend	16	2	1	1	1	0	11.148
and	and	16	1	NA	NA	0	0	11.544
a	a	16	1	NA	NA	0	0	11.727
bottle	bot-	16	1	NA	NA	0	0	12.089
bottle	tle	16	1	NA	NA	0	0	12.26
full	full	16	1	NA	NA	0	0	12.575
of	of	16	1	NA	NA	0	0	12.696
lean	lean	16	2	1	1	0	0	13.041
and	and	16	1	NA	NA	0	0	13.541
a	a	16	1	NA	NA	0	0	13.743
model	mo-	16	1	NA	NA	0	0	14.099
model	del	16	1	NA	NA	0	0	14.23
on	on	16	1	NA	NA	0	0	14.512
the	the	16	1	NA	NA	0	0	14.746
scheme	scheme	16	2	1	1	0	0	15.126
uh	uh	16	8	NA	NA	1	1	15.463
these	these	16	2	NA	NA	0	0	17.594
days	days	16	2	NA	NA	0	0	18.087
of	of	16	2	NA	NA	0	0	18.512
frustration	frus-	16	2	2	1	0	0	19.093
frustration	tra-	16	2	2	2	0	0	19.58
frustration	tion	16	2	2	3	1	0	20.032
keep	keep	16	2	NA	NA	0	0	20.577
y'all	y'all	16	2	NA	NA	0	0	21.122
on	on	16	2	NA	NA	0	0	21.491
tuck	tuck	16	2	NA	NA	0	0	22.058
and	and	16	2	NA	NA	0	0	22.436
rotation	ro-	16	2	2	1	0	0	23.056
rotation	ta-	16	2	2	2	0	0	23.527
rotation	tion	16	6	2	3	1	1	24.098
i	i	16	2	NA	NA	0	0	25.498
duck	duck	16	2	NA	NA	0	0	26.108
these	these	16	2	NA	NA	0	0	26.681
cold	cold	16	2	2	1	0	0	27.06
faces	fa-	16	2	2	2	0	0	27.591
faces	ces	16	2	2	3	1	0	28.102
post	post	16	2	NA	NA	0	0	28.566
up	up	16	2	NA	NA	0	0	29.024
fi	fi	16	2	NA	NA	0	0	29.593
fie	fie	16	2	NA	NA	0	0	30.096
fo	fo	16	2	NA	NA	0	0	30.619
fum	fum	16	2	2	1	0	0	31.085
basis	bas-	16	2	2	2	0	0	31.578
basis	is	16	4	2	3	1	1	32.076
dreams	dreams	16	2	NA	NA	0	0	33.12
of	of	16	1	NA	NA	0	0	33.587
reality's	re-	16	1	NA	NA	0	0	33.886
reality's	al-	16	1	NA	NA	0	0	34.099
reality's	i-	16	1	NA	NA	0	0	34.359
reality's	ty's	16	2	NA	NA	0	0	34.553
peace	peace	16	6	3	1	0	1	35.121
blow	blow	16	2	NA	NA	1	0	36.63
steam	steam	16	2	NA	NA	0	0	36.997
in	in	16	1	NA	NA	0	0	37.555
the	the	16	1	NA	NA	0	0	37.811
face	face	16	2	NA	NA	0	0	38.083
of	of	16	1	NA	NA	0	0	38.514
the	the	16	1	NA	NA	0	0	38.81
beast	beast	16	4	3	1	1	1	39.114
sky	sky	16	2	NA	NA	0	0	40.059
could	could	16	1	NA	NA	0	0	40.574
fall	fall	16	2	NA	NA	0	0	40.868
down	down	16	3	NA	NA	0	0	41.37
wind	wind	16	2	NA	NA	0	0	42.103
could	could	16	1	NA	NA	0	0	42.553
cry	cry	16	2	NA	NA	0	0	42.869
now	now	16	2	NA	NA	1	0	43.342
look	look	16	1	NA	NA	0	0	43.875
at	at	16	1	NA	NA	0	0	44.003
me	me	16	1	NA	NA	0	0	44.32
motherfucker	mo-	16	1	NA	NA	0	0	44.503
motherfucker	ther-	16	1	NA	NA	0	0	44.792
motherfucker	fuck-	16	1	NA	NA	0	0	45.04
motherfucker	er	16	1	NA	NA	0	0	45.209
i	i	16	2	NA	NA	0	0	45.402
smile	smile	16	2	NA	NA	0	0	46.087
i	i	16	2	NA	NA	0	0	46.461
love	love	16	2	NA	NA	0	0	47.019
myself	my-	16	2	NA	NA	0	0	47.567
myself	self	16	2	NA	NA	0	0	48.127
uh	uh	16	1	NA	NA	1	1	48.517
