word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
see	see	16	1	NA	NA	0	0	3.579
y'all	y'all	16	1	NA	NA	0	0	3.798
don't	don't	16	1	NA	NA	0	0	4.095
understand	un-	16	1	NA	NA	0	0	4.215
understand	der-	16	1	NA	NA	0	0	4.419
understand	stand	16	1	1	1	0	0	4.703
me	me	16	10	1	2	1	1	5.219
my	my	16	1	NA	NA	0	0	7.429
plan	plan	16	1	1	1	0	0	7.694
b	b	16	1	1	2	0	0	8.081
is	is	16	1	NA	NA	0	0	8.232
to	to	16	1	NA	NA	0	0	8.458
win	win	16	1	NA	NA	0	0	8.632
ya	ya	16	1	NA	NA	0	0	8.863
hearts	hearts	16	1	NA	NA	0	0	9.044
before	be-	16	1	NA	NA	0	0	9.401
before	fore	16	1	NA	NA	0	0	9.607
i	i	16	1	NA	NA	0	0	9.722
win	win	16	1	NA	NA	0	0	9.991
a	a	16	1	NA	NA	0	0	10.113
grammy	gram-	16	1	1	1	0	0	10.4
grammy	my	16	5	1	2	1	1	10.779
kendrick	kend-	16	1	NA	NA	0	0	12.186
kendrick	rick	16	1	NA	NA	0	0	12.393
lamar	la-	16	1	NA	NA	0	0	12.601
lamar	mar	16	5	2	1	0	1	12.84
words	words	16	1	NA	NA	0	0	14.077
like	like	16	1	NA	NA	0	0	14.469
a	a	16	1	NA	NA	0	0	14.595
sword	sword	16	1	NA	NA	0	0	14.909
in	in	16	1	NA	NA	0	0	15.241
the	the	16	1	NA	NA	0	0	15.445
hands	hands	16	1	NA	NA	1	0	15.604
of	of	16	1	NA	NA	0	0	15.952
a	a	16	1	NA	NA	0	0	16.068
spartan	spar-	16	1	2	1	0	0	16.408
spartan	tan	16	1	2	2	0	0	16.701
marching	march-	16	1	2	1	0	0	16.927
marching	ing	16	1	2	2	0	0	17.181
on	on	16	1	NA	NA	0	0	17.336
rosecrans	rose-	16	2	NA	NA	0	0	17.687
rosecrans	crans	16	1	NA	NA	0	0	18.097
in	in	16	1	NA	NA	0	0	18.434
compton	comp-	16	1	2	1	0	0	18.683
compton	ton	16	3	2	2	1	1	19.007
you	you	16	1	NA	NA	0	0	19.808
can't	can't	16	1	NA	NA	0	0	19.978
cause	cause	16	2	NA	NA	0	0	20.306
conflict	con-	16	1	2	1	0	0	20.697
conflict	flict	16	1	2	2	0	0	21.036
or	or	16	2	NA	NA	0	0	21.249
corrupt	cor-	16	1	NA	NA	0	0	21.634
corrupt	rupt	16	1	NA	NA	0	0	21.814
my	my	16	2	NA	NA	0	0	22.136
spirit	spi-	16	1	3	1	0	0	22.532
spirit	rit	16	1	3	2	1	0	22.682
i'm	i'm	16	1	NA	NA	0	0	22.931
on	on	16	2	NA	NA	0	0	23.1
point	point	16	1	NA	NA	0	0	23.537
like	like	16	1	NA	NA	0	0	23.866
period	per-	16	1	3	1	0	0	24.306
period	iod	16	1	3	2	0	0	24.407
i've	i've	16	1	NA	NA	0	0	24.602
been	been	16	1	NA	NA	0	0	24.875
there	there	16	1	NA	NA	0	0	25.187
and	and	16	1	NA	NA	0	0	25.293
gone	gone	16	1	NA	NA	0	0	25.634
before	be-	16	1	NA	NA	0	0	25.99
before	fore	16	1	NA	NA	0	0	26.229
you	you	16	1	NA	NA	0	0	26.474
get	get	16	1	NA	NA	0	0	26.773
near	near	16	1	3	1	0	0	27.228
it	it	16	2	3	2	1	1	27.369
ooh	ooh	16	3	NA	NA	0	0	27.966
wee	wee	16	3	NA	NA	0	1	28.603
that	that	16	1	NA	NA	0	0	29.308
boy	boy	16	1	NA	NA	0	0	29.543
remind	re-	16	1	NA	NA	0	0	29.814
remind	mind	16	1	NA	NA	0	0	30.021
me	me	16	1	NA	NA	0	0	30.33
of	of	32	1	NA	NA	0	0	30.441
a	a	32	1	NA	NA	0	0	30.566
young	young	16	1	NA	NA	0	0	30.802
martin	martin	16	1	NA	NA	0	0	31.172
luther	lu-	16	1	4	1	0	0	31.433
luther	ther	16	1	4	2	1	0	31.656
the	the	16	1	NA	NA	0	0	31.883
way	way	16	1	NA	NA	0	0	32.053
he	he	16	1	NA	NA	0	0	32.185
piece	piece	16	1	NA	NA	0	0	32.456
up	up	16	1	NA	NA	0	0	32.742
troopers	troo-	16	1	4	1	0	0	33.1
troopers	pers	16	1	4	2	0	0	33.339
then	then	16	1	NA	NA	0	0	33.538
round	round	16	1	NA	NA	0	0	33.75
up	up	16	1	NA	NA	0	0	34.042
shooters	shoot-	16	1	4	1	0	0	34.406
shooters	ers	16	1	4	2	0	0	34.599
like	like	16	1	NA	NA	0	0	34.846
malcolm	mal-	16	1	NA	NA	0	0	35.102
malcolm	colm	16	1	NA	NA	0	0	35.357
x	x	16	2	NA	NA	0	0	35.518
did	did	16	2	5	1	1	0	35.997
i	i	16	2	NA	NA	0	0	36.393
stand	stand	16	2	NA	NA	0	0	36.913
for	for	32	1	NA	NA	0	0	37.379
what	what	32	1	NA	NA	0	0	37.508
i	i	16	1	NA	NA	0	0	37.664
believe	be-	16	1	NA	NA	0	0	37.968
believe	lieve	16	2	NA	NA	0	0	38.148
in	in	16	3	5	1	1	1	38.58
family	fam-	16	1	NA	NA	0	0	39.495
family	y	16	1	NA	NA	0	0	39.773
god	god	16	1	NA	NA	0	0	40.025
and	and	16	1	NA	NA	0	0	40.338
honor	ho-	16	1	6	1	0	0	40.546
