word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
and	and	16	1	NA	NA	0	0	-0.173
lord	lord	16	2	1	1	0	0	0.119
knows	knows	16	1	NA	NA	0	0	0.567
she's	she's	16	1	NA	NA	0	0	0.936
beautiful	beau-	16	1	2	1	0	0	1.155
beautiful	ti-	16	1	2	2	0	0	1.356
beautiful	ful	16	2	2	3	0	1	1.601
lord	lord	16	2	1	1	0	0	2.228
knows	knows	16	1	NA	NA	0	0	2.62
the	the	16	1	NA	NA	0	0	2.948
usuals	u-	16	1	2	1	0	0	3.101
usuals	su-	16	1	2	2	0	0	3.457
usuals	als	16	1	2	3	1	0	3.662
leaving	leav-	16	1	NA	NA	0	0	3.945
leaving	ing	16	1	NA	NA	0	0	4.187
a	a	16	1	NA	NA	0	0	4.314
body	bo-	16	1	NA	NA	0	0	4.559
body	dy	16	1	NA	NA	0	0	4.769
sore	sore	16	6	1	1	0	1	5.167
her	her	16	1	NA	NA	0	0	6.687
anatomy	a-	16	1	NA	NA	0	0	6.886
anatomy	na-	16	1	NA	NA	0	0	7.101
anatomy	to-	16	1	NA	NA	0	0	7.359
anatomy	my	16	1	NA	NA	0	0	7.573
is	is	16	1	NA	NA	0	0	7.746
god's	god's	16	2	NA	NA	0	0	8.077
temple	tem-	16	1	3	1	0	0	8.63
temple	ple	16	3	3	2	1	1	8.877
and	and	16	1	NA	NA	0	0	9.652
it's	it's	16	1	NA	NA	0	0	9.808
quite	quite	16	2	NA	NA	0	0	10.146
simple	sim-	16	1	3	1	0	0	10.582
simple	ple	16	1	3	2	1	0	10.771
her	her	16	1	NA	NA	0	0	11.029
castle	cas-	16	1	NA	NA	0	0	11.353
castle	tle	16	1	NA	NA	0	0	11.727
is	is	16	1	NA	NA	0	0	11.832
bout	bout	16	1	NA	NA	0	0	12.11
to	to	16	1	NA	NA	0	0	12.413
be	be	16	1	NA	NA	0	0	12.601
destroyed	des-	16	1	NA	NA	0	0	12.818
destroyed	troyed	16	3	1	1	0	1	13.121
she's	she's	16	1	NA	NA	0	0	13.929
always	al-	16	1	NA	NA	0	0	14.114
always	ways	16	1	NA	NA	0	0	14.328
paranoid	pa-	16	1	NA	NA	0	0	14.624
paranoid	ra-	16	1	NA	NA	0	0	14.777
paranoid	noid	16	3	1	1	1	1	15.072
watching	watch-	16	1	NA	NA	0	0	15.953
watching	ing	16	1	NA	NA	0	0	16.222
the	the	16	1	NA	NA	0	0	16.437
law	law	16	1	NA	NA	0	0	16.643
inside	in-	16	1	NA	NA	0	0	16.785
inside	side	16	1	NA	NA	0	0	17.122
the	the	16	1	NA	NA	0	0	17.421
streets	streets	16	2	NA	NA	0	0	17.71
undercovers	un-	16	1	NA	NA	0	0	18.009
undercovers	der-	16	1	NA	NA	0	0	18.304
undercovers	co-	16	1	NA	NA	0	0	18.504
undercovers	vers	16	1	NA	NA	0	0	18.813
the	the	16	1	NA	NA	0	0	19.095
dummies	dum-	16	1	NA	NA	0	0	19.329
dummies	mies	16	1	NA	NA	0	0	19.589
that	that	16	1	NA	NA	0	0	19.861
look	look	16	1	NA	NA	0	0	20.099
like	like	16	1	NA	NA	0	0	20.42
decoys	de-	16	2	NA	NA	0	0	20.761
decoys	coys	16	3	1	1	1	1	21.125
remember	re-	16	1	NA	NA	0	0	21.881
remember	mem-	16	1	NA	NA	0	0	22.093
remember	ber	16	1	NA	NA	0	0	22.266
sergeant	ser-	16	1	NA	NA	0	0	22.553
sergeant	geant	16	1	NA	NA	0	0	22.849
let	let	16	1	NA	NA	0	0	23.121
her	her	16	1	NA	NA	0	0	23.336
slide	slide	16	3	4	1	1	1	23.671
said	said	16	1	NA	NA	0	0	24.406
if	if	16	1	NA	NA	0	0	24.536
he	he	16	1	NA	NA	0	0	24.811
seen	seen	16	1	NA	NA	0	0	25.045
what's	what's	16	1	NA	NA	0	0	25.316
between	bet-	16	1	NA	NA	0	0	25.571
between	ween	16	1	NA	NA	0	0	25.828
her	her	16	1	NA	NA	0	0	26.127
thighs	thighs	16	2	4	1	0	0	26.319
he'd	he'd	16	1	NA	NA	0	0	26.767
compromise	comp-	16	1	NA	NA	0	0	27.085
compromise	ro-	16	1	NA	NA	0	0	27.388
compromise	mise	16	3	4	1	1	1	27.584
to	to	16	1	NA	NA	0	0	28.408
no	no	16	1	NA	NA	0	0	28.564
surprise	sur-	16	1	NA	NA	0	0	28.852
surprise	prise	16	2	4	1	0	0	29.076
she	she	16	1	NA	NA	0	0	29.548
took	took	16	1	NA	NA	0	0	29.784
the	the	16	1	NA	NA	0	0	30.102
ultimatum	ul-	16	1	NA	NA	0	0	30.204
ultimatum	ti-	16	1	NA	NA	0	0	30.565
ultimatum	ma-	16	1	5	1	0	0	30.797
ultimatum	tum	16	1	5	2	0	0	31.072
round	round	16	1	NA	NA	0	0	31.372
the	the	16	1	NA	NA	0	0	31.645
alleyway	al-	16	1	NA	NA	0	0	31.705
alleyway	ley-	16	1	NA	NA	0	0	32.073
alleyway	way	16	1	NA	NA	1	0	32.347
and	and	16	1	NA	NA	0	0	32.54
gave	gave	16	1	5	1	0	0	32.815
him	him	16	3	5	2	0	1	33.139
a	a	16	1	NA	NA	0	0	33.852
warm	warm	16	2	NA	NA	0	0	34.186
welcome	wel-	16	1	NA	NA	0	0	34.627
welcome	come	16	1	NA	NA	0	0	34.876
that	that	16	1	NA	NA	0	0	35.109
filled	filled	16	1	NA	NA	0	0	35.376
him	him	16	1	NA	NA	1	0	35.605
right	right	16	1	NA	NA	0	0	35.893
below	be-	16	1	NA	NA	0	0	36.099
below	low	16	1	NA	NA	0	0	36.323
the	the	16	1	NA	NA	0	0	36.589
navel	nav-	16	1	5	1	0	0	36.874
navel	el	16	3	5	2	0	1	37.127
though	though	16	1	NA	NA	0	0	37.893
he	he	16	1	NA	NA	0	0	38.122
was	was	16	1	NA	NA	0	0	38.331
wired	wired	16	2	NA	NA	0	0	38.621
up	up	16	1	NA	NA	1	0	39.084
like	like	16	1	NA	NA	0	0	39.378
a	a	16	1	NA	NA	0	0	39.505
pair	pair	16	1	NA	NA	0	0	39.847
of	of	16	1	NA	NA	0	0	40.072
jumping	jump-	16	1	NA	NA	0	0	40.28
jumping	ing	16	1	NA	NA	0	0	40.527
cables	cab-	16	1	5	1	0	0	40.816
cables	les	16	3	5	2	0	1	41.089
his	his	16	1	NA	NA	0	0	41.868
eyes	eyes	16	1	NA	NA	0	0	42.02
was	was	16	1	NA	NA	0	0	42.334
closed	closed	16	2	NA	NA	0	0	42.642
shut	shut	16	1	NA	NA	1	0	43.052
prior	prior	16	2	NA	NA	0	0	43.404
charges	char-	16	1	NA	NA	0	0	43.842
charges	ges	16	1	NA	NA	0	0	44.112
he	he	16	1	NA	NA	0	0	44.379
had	had	16	1	NA	NA	0	0	44.575
waived	waived	16	1	5	1	0	0	44.818
em	em	16	1	5	2	0	0	45.137
it	it	16	1	NA	NA	0	0	45.348
was	was	16	1	NA	NA	0	0	45.587
a	a	16	1	NA	NA	0	0	45.813
block	block	16	1	NA	NA	0	0	46.083
away	a-	16	1	NA	NA	0	0	46.353
away	way	16	1	5	1	0	0	46.592
from	from	16	1	5	2	0	0	46.898
lueders	lue-	16	1	NA	NA	0	0	47.143
lueders	ders	16	1	NA	NA	0	0	47.283
park	park	16	1	6	1	1	0	47.589
i	i	16	1	NA	NA	0	0	47.935
seen	seen	16	1	NA	NA	0	0	48.184
a	a	16	1	NA	NA	0	0	48.32
squad	squad	16	2	NA	NA	0	0	48.655
car	car	16	2	6	1	0	0	49.127
parked	parked	16	1	6	1	0	0	49.595
and	and	16	1	NA	NA	0	0	49.926
in	in	16	1	NA	NA	0	0	50.089
