word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
tell	tell	16	1	NA	NA	0	0	0.012
me	me	16	1	NA	NA	0	0	0.364
who	who	16	1	NA	NA	0	0	0.502
you	you	16	1	NA	NA	0	0	0.697
loyal	lo-	16	1	NA	NA	0	0	1.112
loyal	yal	16	1	NA	NA	0	0	1.334
to	to	16	8	NA	NA	1	1	1.681
is	is	16	1	NA	NA	0	0	3.501
it	it	16	1	NA	NA	0	0	3.746
money	mon-	16	1	NA	NA	0	0	4.08
money	ey	16	1	NA	NA	0	0	4.328
is	is	16	1	NA	NA	0	0	4.548
it	it	16	1	NA	NA	0	0	4.768
fame	fame	16	2	1	1	0	0	5.062
is	is	16	1	NA	NA	0	0	5.613
it	it	16	1	NA	NA	0	0	5.797
weed	weed	16	2	NA	NA	0	0	6.146
is	is	16	1	NA	NA	0	0	6.55
it	it	16	1	NA	NA	0	0	6.777
drink	drink	16	2	1	1	1	0	7.119
is	is	16	1	NA	NA	0	0	7.596
it	it	16	1	NA	NA	0	0	7.802
comin'	com-	16	1	NA	NA	0	0	8.055
comin'	in'	16	1	NA	NA	0	0	8.261
down	down	16	2	NA	NA	0	0	8.56
with	with	16	1	NA	NA	0	0	9.084
the	the	16	1	NA	NA	0	0	9.267
loud	loud	16	2	NA	NA	0	0	9.525
pipes	pipes	16	2	NA	NA	0	0	10.02
and	and	16	1	NA	NA	0	0	10.59
the	the	16	1	NA	NA	0	0	10.755
rain	rain	16	4	1	1	1	1	11.159
big	big	16	2	NA	NA	0	0	12.095
chillin'	chill-	16	1	NA	NA	0	0	12.591
chillin'	in'	16	1	NA	NA	0	0	12.804
only	on-	16	1	NA	NA	0	0	13.069
only	ly	16	1	NA	NA	0	0	13.326
for	for	16	1	NA	NA	0	0	13.618
the	the	16	1	NA	NA	0	0	13.774
power	po-	16	1	NA	NA	0	0	14.042
power	wer	16	1	NA	NA	0	0	14.323
in	in	16	1	NA	NA	0	0	14.501
your	your	16	1	NA	NA	0	0	14.74
name	name	16	4	1	1	1	1	15.089
tell	tell	16	1	NA	NA	0	0	16.062
me	me	16	1	NA	NA	0	0	16.352
who	who	16	1	NA	NA	0	0	16.549
you	you	16	1	NA	NA	0	0	16.738
loyal	lo-	16	1	NA	NA	0	0	17.062
loyal	yal	16	1	NA	NA	0	0	17.237
to	to	16	8	NA	NA	1	1	17.574
is	is	16	1	NA	NA	0	0	19.404
it	it	16	1	NA	NA	0	0	19.64
love	love	16	2	NA	NA	0	0	20.029
for	for	16	1	NA	NA	0	0	20.488
the	the	16	1	NA	NA	0	0	20.69
streets	streets	16	2	NA	NA	0	0	21.093
when	when	16	1	NA	NA	0	0	21.542
the	the	16	1	NA	NA	0	0	21.755
lights	lights	16	2	NA	NA	0	0	21.993
get	get	16	2	NA	NA	0	0	22.489
dark	dark	16	2	2	1	1	0	23.003
is	is	16	1	NA	NA	0	0	23.444
it	it	16	1	NA	NA	0	0	23.682
unconditional	un-	16	1	NA	NA	0	0	23.846
unconditional	con-	16	1	NA	NA	0	0	24.197
unconditional	di-	16	1	NA	NA	0	0	24.417
unconditional	tion-	16	1	NA	NA	0	0	24.73
unconditional	al	16	2	NA	NA	0	0	24.968
when	when	16	1	NA	NA	0	0	25.501
the	the	16	1	NA	NA	0	0	25.666
rari	ra-	16	1	NA	NA	0	0	25.961
rari	ri	16	1	NA	NA	0	0	26.172
don't	don't	16	2	NA	NA	0	0	26.492
start	start	16	4	2	1	1	1	27.025
tell	tell	16	1	NA	NA	0	0	28.017
me	me	16	1	NA	NA	0	0	28.274
when	when	16	1	NA	NA	0	0	28.533
your	your	16	1	NA	NA	0	0	28.736
loyalty	loy-	16	1	NA	NA	0	0	29.049
loyalty	al-	16	1	NA	NA	0	0	29.265
loyalty	ty	16	1	NA	NA	0	0	29.542
is	is	16	1	NA	NA	0	0	29.669
comin'	com-	16	1	NA	NA	0	0	30
comin'	in'	16	1	NA	NA	0	0	30.213
from	from	16	1	NA	NA	0	0	30.532
the	the	16	1	NA	NA	0	0	30.734
heart	heart	16	1	2	1	1	1	30.992
