word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
i	i	16	1	NA	NA	0	0	-0.536
know	know	16	1	NA	NA	0	0	-0.312
everything	eve-	16	1	NA	NA	0	0	-0.136
everything	ry-	16	1	NA	NA	0	0	0.166
everything	thing	16	4	NA	NA	0	1	0.412
i	i	16	1	NA	NA	0	0	1.381
know	know	16	1	NA	NA	0	0	1.621
everything	eve-	16	1	NA	NA	0	0	1.858
everything	ry-	16	1	NA	NA	0	0	2.017
everything	thing	16	1	NA	NA	0	0	2.278
know	know	16	1	NA	NA	0	0	2.71
myself	my-	16	1	NA	NA	0	0	2.906
myself	self	16	1	1	1	1	1	3.192
i	i	16	1	NA	NA	0	0	3.575
know	know	16	1	NA	NA	0	0	3.742
morality	mo-	16	1	NA	NA	0	0	3.956
morality	ra-	16	1	2	1	0	0	4.137
morality	li-	16	1	2	2	0	0	4.414
morality	ty	16	1	2	3	0	0	4.652
spirituality	spir-	16	1	NA	NA	0	0	4.945
spirituality	i-	16	1	NA	NA	0	0	5.113
spirituality	tu-	16	1	NA	NA	0	0	5.411
spirituality	al-	16	1	2	1	0	0	5.579
spirituality	i-	16	1	2	2	0	0	5.797
spirituality	ty	16	1	2	3	0	0	6.062
good	good	16	1	NA	NA	0	0	6.381
and	and	16	1	NA	NA	0	0	6.635
bad	bad	16	1	NA	NA	0	0	6.829
health	health	16	1	1	1	1	1	7.153
i	i	16	1	NA	NA	0	0	7.683
know	know	16	1	NA	NA	0	0	7.837
fatality	fa-	16	1	NA	NA	0	0	8.016
fatality	ta-	16	1	2	1	0	0	8.312
fatality	li-	16	1	2	2	0	0	8.506
fatality	ty	16	1	2	3	0	0	8.745
might	might	16	1	NA	NA	0	0	8.912
haunt	haunt	16	1	3	1	0	0	9.167
you	you	16	3	3	2	0	1	9.527
i	i	16	1	NA	NA	0	0	10.03
know	know	16	1	NA	NA	0	0	10.281
everything	eve-	16	1	NA	NA	0	0	10.435
everything	ry-	16	1	NA	NA	0	0	10.675
everything	thing	16	2	NA	NA	1	1	10.91
i	i	16	1	NA	NA	0	0	11.526
know	know	16	1	NA	NA	0	0	11.664
compton	comp-	16	1	3	1	0	0	11.943
compton	ton	16	1	3	2	0	1	12.279
i	i	16	1	NA	NA	0	0	12.712
know	know	16	1	NA	NA	0	0	12.857
street	street	16	2	NA	NA	0	0	13.252
shit	shit	16	1	NA	NA	0	1	13.633
i	i	16	1	NA	NA	0	0	14.043
know	know	16	1	NA	NA	0	0	14.22
shit	shit	16	1	NA	NA	0	0	14.486
that's	that's	16	1	NA	NA	0	0	14.695
conscious	con-	16	1	3	1	0	0	14.958
conscious	scious	16	1	3	2	1	1	15.324
i	i	16	1	NA	NA	0	0	15.645
know	know	16	1	NA	NA	0	0	15.84
everything	eve-	16	1	NA	NA	0	0	16.036
everything	ry-	16	1	NA	NA	0	0	16.256
everything	thing	16	1	NA	NA	0	1	16.477
i	i	16	1	NA	NA	0	0	16.796
know	know	16	1	NA	NA	0	0	16.972
lawyers	law-	16	1	3	1	0	0	17.223
lawyers	yers	16	1	3	2	0	0	17.498
advertisement	ad-	16	1	NA	NA	0	0	17.698
advertisement	ver-	16	1	NA	NA	0	0	17.942
advertisement	tise-	16	1	NA	NA	0	0	18.145
advertisement	ment	16	1	NA	NA	0	0	18.508
and	and	16	1	NA	NA	0	0	18.634
sponsors	spon-	16	1	3	1	0	0	18.923
sponsors	sors	16	2	3	2	1	1	19.263
i	i	16	1	NA	NA	0	0	19.905
know	know	16	1	NA	NA	0	0	20.115
wisdom	wis-	16	1	4	1	0	0	20.343
wisdom	dom	16	1	4	2	0	0	20.646
i	i	16	1	NA	NA	0	0	20.799
know	know	16	1	NA	NA	0	0	21.009
bad	bad	16	1	NA	NA	0	0	21.232
religion	re-	16	1	NA	NA	0	0	21.482
religion	li-	16	1	4	1	0	0	21.679
religion	gion	16	1	4	2	0	0	21.91
i	i	16	1	NA	NA	0	0	22.112
know	know	16	1	NA	NA	0	0	22.322
good	good	16	1	NA	NA	0	0	22.643
karma	kar-	16	1	3	1	0	0	23.009
karma	ma	16	1	3	2	1	1	23.233
i	i	16	1	NA	NA	0	0	23.523
know	know	16	1	NA	NA	0	0	23.719
everything	eve-	16	1	NA	NA	0	0	23.928
everything	ry-	16	1	NA	NA	0	0	24.179
everything	thing	16	1	NA	NA	0	1	24.392
i	i	16	1	NA	NA	0	0	24.73
know	know	16	1	NA	NA	0	0	24.89
history	his-	16	1	5	1	0	0	25.185
history	to-	16	1	5	2	0	0	25.449
history	ry	16	2	5	3	0	1	25.621
i	i	24	1	NA	NA	0	0	26.18
know	know	24	1	NA	NA	0	0	26.359
the	the	24	1	NA	NA	0	0	26.582
universe	un-	16	1	NA	NA	0	0	26.732
universe	i-	16	1	NA	NA	0	0	26.898
universe	verse	16	2	6	1	0	0	27.169
works	works	16	1	NA	NA	0	0	27.589
mentally	ment-	16	1	5	1	0	0	27.965
mentally	al-	16	1	5	2	0	0	28.216
mentally	ly	16	1	5	3	1	1	28.37
i	i	24	1	NA	NA	0	0	28.691
know	know	24	1	NA	NA	0	0	28.873
the	the	24	1	NA	NA	0	0	29.013
perks	perks	16	1	6	1	0	0	29.292
of	of	16	1	NA	NA	0	0	29.599
bullshit	bull-	16	2	NA	NA	0	0	29.809
bullshit	shit	16	1	NA	NA	0	0	30.214
isn't	is-	16	1	NA	NA	0	0	30.479
isn't	n't	16	1	NA	NA	0	0	30.619
meant	meant	24	1	5	1	0	0	30.927
for	for	24	1	5	2	0	0	31.178
me	me	24	1	5	3	1	1	31.345
i	i	16	1	NA	NA	0	0	31.583
know	know	16	1	NA	NA	0	0	31.778
everything	eve-	16	1	NA	NA	0	0	31.98
everything	ry-	16	1	NA	NA	0	0	32.211
everything	thing	16	1	NA	NA	0	1	32.449
i	i	16	1	NA	NA	0	0	33.075
know	know	16	1	NA	NA	0	0	33.287
cars	cars	16	2	NA	NA	0	0	33.594
clothes	clothes	16	2	7	1	0	0	34.076
hoes	hoes	16	2	NA	NA	0	0	34.516
and	and	16	1	NA	NA	0	0	34.907
money	mon-	16	1	8	1	0	0	35.186
money	ey	16	1	8	2	1	1	35.368
i	i	16	1	NA	NA	0	0	35.759
know	know	16	1	NA	NA	0	0	35.969
loyalty	loy-	16	1	NA	NA	0	0	36.205
loyalty	al-	16	1	NA	NA	0	0	36.416
loyalty	ty	16	1	NA	NA	0	1	36.719
i	i	16	1	NA	NA	0	0	37.24
know	know	16	1	NA	NA	0	0	37.463
respect	re-	16	1	NA	NA	0	0	37.673
respect	spect	16	1	NA	NA	0	0	37.924
i	i	16	1	NA	NA	0	0	38.141
know	know	16	1	NA	NA	0	0	38.46
those	those	16	2	7	1	0	0	38.72
that's	that's	16	1	NA	NA	0	0	39.056
hungry	hun-	16	1	8	1	0	0	39.315
hungry	gry	16	1	8	2	1	0	39.684
i	i	16	1	NA	NA	0	0	39.852
know	know	16	1	NA	NA	0	0	40.116
everything	eve-	16	1	NA	NA	0	0	40.257
everything	ry-	16	1	NA	NA	0	0	40.489
everything	thing	16	2	NA	NA	0	1	40.777
the	the	16	1	NA	NA	0	0	41.228
highs	highs	16	1	NA	NA	0	0	41.472
the	the	16	1	NA	NA	0	0	41.793
lows	lows	16	1	7	1	0	0	41.989
the	the	16	1	NA	NA	0	0	42.38
groupies	group-	16	1	NA	NA	0	0	42.59
groupies	ies	16	1	NA	NA	0	0	42.841
the	the	16	1	NA	NA	0	0	43.009
junkies	jun-	16	1	8	1	0	0	43.358
junkies	kies	16	5	8	2	1	1	43.609
i	i	16	1	NA	NA	0	0	44.566
know	know	24	1	NA	NA	0	0	44.811
