word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
uh	uh	16	3	NA	NA	0	0	0.577
me	me	16	1	NA	NA	0	0	1.385
and	and	16	1	NA	NA	0	0	1.553
my	my	16	1	NA	NA	0	0	1.817
niggas	nig-	16	1	NA	NA	0	0	2.094
niggas	gas	16	1	NA	NA	0	0	2.328
tryna	try-	16	1	NA	NA	0	0	2.628
tryna	na	16	1	NA	NA	0	0	2.821
get	get	16	1	1	1	0	0	3.136
it	it	16	1	1	2	0	0	3.329
ya	ya	16	1	1	3	0	0	3.565
bish	bish	16	5	1	4	1	1	3.843
hit	hit	16	1	NA	NA	0	0	5.109
the	the	16	1	NA	NA	0	0	5.314
house	house	16	1	NA	NA	0	0	5.539
lick	lick	16	1	NA	NA	0	0	5.864
tell	tell	16	1	NA	NA	0	0	6.154
me	me	16	1	NA	NA	0	0	6.332
is	is	16	1	NA	NA	0	0	6.552
you	you	16	1	NA	NA	0	0	6.816
wit'	wit'	16	1	1	1	0	0	7.102
it	it	16	1	1	2	0	0	7.325
ya	ya	16	1	1	3	0	0	7.585
bish	bish	16	7	1	4	1	1	7.861
home	home	16	1	NA	NA	0	0	9.557
invasion	in-	16	1	NA	NA	0	0	9.803
invasion	vas-	16	1	NA	NA	0	0	10.048
invasion	ion	16	1	NA	NA	0	0	10.342
was	was	16	1	NA	NA	0	0	10.603
persuasive	per-	16	1	NA	NA	0	0	10.862
persuasive	sua-	16	1	2	1	0	0	11.038
persuasive	sive	16	8	2	2	1	1	11.392
from	from	16	1	NA	NA	0	0	13.328
nine	nine	16	1	NA	NA	0	0	13.592
to	to	16	1	NA	NA	0	0	13.828
five	five	16	1	NA	NA	0	0	14.06
i	i	16	1	NA	NA	0	0	14.331
know	know	16	1	NA	NA	0	0	14.604
it's	it's	16	1	NA	NA	0	0	14.826
vacant	va-	16	1	2	1	0	0	15.105
vacant	cant	16	1	2	2	0	0	15.311
ya	ya	16	1	NA	NA	0	0	15.581
bish	bish	16	7	NA	NA	1	1	15.868
dreams	dreams	16	1	NA	NA	0	0	17.583
of	of	16	1	NA	NA	0	0	17.868
livin'	liv-	16	1	NA	NA	0	0	18.081
livin'	in'	16	1	NA	NA	0	0	18.321
life	life	16	1	NA	NA	0	0	18.609
like	like	16	1	NA	NA	0	0	18.875
rappers	rap-	16	1	3	1	0	0	19.144
rappers	pers	16	1	3	2	0	0	19.329
do	do	16	8	3	3	1	1	19.607
back	back	16	1	NA	NA	0	0	21.58
when	when	16	1	NA	NA	0	0	21.861
condom	con-	16	1	NA	NA	0	0	22.105
condom	dom	16	1	NA	NA	0	0	22.343
wrappers	wrap-	16	1	NA	NA	0	0	22.576
wrappers	pers	16	1	NA	NA	0	0	22.858
wasn't	was-	16	1	3	1	0	0	23.145
wasn't	n't	16	1	3	2	0	0	23.313
cool	cool	16	7	3	3	1	1	23.623
i	i	16	1	NA	NA	0	0	25.276
fucked	fucked	16	1	NA	NA	0	0	25.613
sherane	she-	16	1	NA	NA	0	0	25.851
sherane	rane	16	1	NA	NA	0	0	26.053
and	and	16	1	NA	NA	0	0	26.329
went	went	16	1	NA	NA	0	0	26.599
to	to	16	1	NA	NA	0	0	26.817
tell	tell	16	1	NA	NA	0	0	27.102
my	my	16	1	NA	NA	0	0	27.327
bros	bros	16	7	4	1	1	1	27.59
then	then	16	1	NA	NA	0	0	29.412
usher	ush-	16	1	NA	NA	0	0	29.561
usher	er	16	1	NA	NA	0	0	29.793
raymond	ray-	16	1	NA	NA	0	0	30.068
raymond	mond	16	1	NA	NA	0	0	30.276
let	let	16	1	NA	NA	0	0	30.594
it	it	16	1	NA	NA	0	0	30.834
burn	burn	16	1	NA	NA	0	0	31.092
came	came	16	1	NA	NA	0	0	31.333
on	on	16	8	4	1	1	1	31.585
hot	hot	16	1	NA	NA	0	0	33.548
sauce	sauce	16	1	NA	NA	0	0	33.812
all	all	16	1	NA	NA	0	0	34.093
in	in	16	1	NA	NA	0	0	34.341
our	our	16	1	NA	NA	0	0	34.546
top	top	16	1	NA	NA	0	0	34.855
ramen	ra-	16	1	5	1	0	0	35.194
ramen	men	16	1	5	2	0	0	35.387
ya	ya	16	1	5	3	0	0	35.636
bish	bish	16	7	5	4	1	1	35.873
park	park	16	1	NA	NA	0	0	37.585
the	the	16	1	NA	NA	0	0	37.848
car	car	16	1	NA	NA	0	0	38.053
then	then	16	1	NA	NA	0	0	38.361
we	we	16	1	NA	NA	0	0	38.593
start	start	16	1	NA	NA	0	0	38.817
rhymin'	rhy-	16	1	5	1	0	0	39.138
rhymin'	min'	16	1	5	2	0	0	39.387
ya	ya	16	1	5	3	0	0	39.639
bish	bish	16	6	5	4	1	1	39.856
the	the	16	1	NA	NA	0	0	41.386
only	on-	16	1	NA	NA	0	0	41.513
only	ly	16	1	NA	NA	0	0	41.813
thing	thing	16	1	NA	NA	0	0	42.094
we	we	16	1	NA	NA	0	0	42.357
had	had	16	1	NA	NA	0	0	42.582
to	to	16	1	NA	NA	0	0	42.851
free	free	16	1	6	1	0	0	43.146
our	our	16	1	6	2	0	0	43.279
mind	mind	16	7	6	3	1	1	43.602
then	then	16	1	NA	NA	0	0	45.325
freeze	freeze	16	1	NA	NA	0	0	45.581
that	that	16	1	NA	NA	0	0	45.806
verse	verse	16	1	NA	NA	0	0	46.079
when	when	16	1	NA	NA	0	0	46.359
we	we	16	1	NA	NA	0	0	46.64
see	see	16	1	NA	NA	0	0	46.841
dollar	dol-	16	1	6	1	0	0	47.099
dollar	lar	16	1	6	2	0	0	47.273
signs	signs	16	7	6	3	1	1	47.593
you	you	16	1	NA	NA	0	0	49.34
lookin'	loo-	16	1	NA	NA	0	0	49.584
lookin'	kin'	16	1	NA	NA	0	0	49.755
like	like	16	1	NA	NA	0	0	50.065
a	a	16	1	NA	NA	0	0	50.303
easy	ea-	16	1	NA	NA	0	0	50.541
easy	sy	16	1	NA	NA	0	0	50.851
come	come	16	1	7	1	0	0	51.122
up	up	16	1	7	2	0	0	51.3
ya	ya	16	1	7	3	0	0	51.615
bish	bish	16	6	7	4	1	1	51.837
a	a	16	1	NA	NA	0	0	53.321
silver	sil-	16	1	NA	NA	0	0	53.576
silver	ver	16	1	NA	NA	0	0	53.787
spoon	spoon	16	1	NA	NA	0	0	54.081
i	i	16	1	NA	NA	0	0	54.329
know	know	16	1	NA	NA	0	0	54.621
you	you	16	1	NA	NA	0	0	54.853
come	come	16	1	7	1	0	0	55.089
from	from	16	1	7	2	0	0	55.39
ya	ya	16	1	7	3	0	0	55.626
bish	bish	16	6	7	4	1	1	55.818
and	and	16	1	NA	NA	0	0	57.312
that's	that's	16	1	NA	NA	0	0	57.638
a	a	16	1	NA	NA	0	0	57.804
lifestyle	life-	16	1	NA	NA	0	0	58.08
lifestyle	style	16	1	NA	NA	0	0	58.341
that	that	16	1	NA	NA	0	0	58.617
we	we	16	1	NA	NA	0	0	58.858
never	ne-	16	1	8	1	0	0	59.095
never	ver	16	1	8	2	0	0	59.332
knew	knew	16	7	8	3	1	1	59.591
go	go	16	1	NA	NA	0	0	61.343
at	at	16	1	NA	NA	0	0	61.604
a	a	16	1	NA	NA	0	0	61.831
reverend	re-	16	1	NA	NA	0	0	62.099
reverend	rend	16	1	NA	NA	0	0	62.362
for	for	16	1	NA	NA	0	0	62.625
the	the	16	1	NA	NA	0	0	62.831
revenue	re-	16	1	8	1	0	0	63.075
revenue	ve-	16	1	8	2	0	0	63.299
revenue	nue	16	1	8	3	1	1	63.565
