word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
i	i	16	1	NA	NA	0	0	-0.537
been	been	16	1	NA	NA	0	0	-0.294
wrote	wrote	16	1	NA	NA	0	0	-0.078
off	off	16	1	NA	NA	0	0	0.145
before	be-	16	1	NA	NA	0	0	0.418
before	fore	16	3	NA	NA	0	1	0.67
i	i	16	1	NA	NA	0	0	1.278
got	got	16	1	NA	NA	0	0	1.536
abandonment	a-	16	1	NA	NA	0	0	1.699
abandonment	ban-	16	1	NA	NA	0	0	1.983
abandonment	don-	16	1	NA	NA	0	0	2.244
abandonment	ment	16	1	NA	NA	0	0	2.458
issues	is-	16	1	1	1	0	0	2.639
issues	sues	16	1	1	2	1	0	2.985
i	i	16	1	NA	NA	0	0	3.31
hold	hold	16	1	NA	NA	0	0	3.598
grudges	grud-	16	1	2	1	0	0	3.994
grudges	ges	16	1	2	2	0	0	4.12
like	like	16	1	NA	NA	0	0	4.455
bad	bad	16	2	NA	NA	0	0	4.75
judges	jud-	16	1	2	1	0	0	5.192
judges	ges	16	1	2	2	0	0	5.293
dont	dont	16	1	NA	NA	0	0	5.671
let	let	16	1	NA	NA	0	0	5.922
me	me	16	1	NA	NA	0	0	6.185
resent	re-	16	1	NA	NA	0	0	6.405
resent	sent	16	1	1	1	0	0	6.642
you	you	16	2	1	2	1	1	6.923
thats	thats	16	1	NA	NA	0	0	7.335
not	not	16	2	NA	NA	0	0	7.643
nelson	nel-	16	1	3	1	0	0	7.948
nelson	son	16	1	3	2	0	0	8.269
ike	ike	16	2	NA	NA	0	1	8.511
want	want	16	1	NA	NA	0	0	9.081
you	you	32	1	NA	NA	0	0	9.29
to	to	32	1	NA	NA	0	0	9.489
love	love	16	1	NA	NA	0	0	9.708
me	me	16	1	NA	NA	0	0	9.945
like	like	16	1	NA	NA	0	0	10.141
nelson	nel-	16	1	NA	NA	0	0	10.434
nelson	son	16	1	NA	NA	1	0	10.728
i	i	16	1	NA	NA	0	0	11.105
went	went	16	1	NA	NA	0	0	11.327
to	to	16	1	NA	NA	0	0	11.524
robbens	rob-	16	1	NA	NA	0	0	11.746
robbens	bens	16	1	NA	NA	0	0	11.972
island	is-	16	1	4	1	0	0	12.18
island	land	16	1	4	2	0	0	12.433
analyzing	a-	16	1	NA	NA	0	0	12.643
analyzing	na-	16	1	NA	NA	0	0	12.911
analyzing	ly-	16	1	4	1	0	0	13.141
analyzing	zing	16	1	4	2	0	0	13.43
thats	thats	16	1	NA	NA	0	0	13.614
where	where	16	1	NA	NA	0	0	13.867
his	his	16	1	NA	NA	0	0	14.082
cell	cell	16	1	3	1	0	0	14.402
is	is	16	1	3	2	1	0	14.653
so	so	16	1	NA	NA	0	0	15.002
i	i	16	1	NA	NA	0	0	15.166
could	could	16	1	NA	NA	0	0	15.407
find	find	16	1	NA	NA	0	0	15.631
clarity	clar-	16	1	5	1	0	0	15.966
clarity	i-	16	1	5	2	0	0	16.134
clarity	ty	16	2	5	3	0	1	16.413
like	like	16	1	NA	NA	0	0	16.98
how	how	16	1	NA	NA	0	0	17.223
much	much	16	1	NA	NA	0	0	17.475
you	you	16	1	NA	NA	0	0	17.696
cherish	che-	16	1	5	1	0	0	17.964
cherish	rish	16	1	5	2	0	0	18.201
me	me	16	2	5	3	1	1	18.529
is	is	16	1	NA	NA	0	0	18.97
this	this	16	1	NA	NA	0	0	19.207
relationship	re-	16	1	NA	NA	0	0	19.466
relationship	la-	16	1	NA	NA	0	0	19.682
relationship	tion-	16	1	NA	NA	0	0	19.948
relationship	ship	16	1	NA	NA	0	0	20.206
a	a	16	1	NA	NA	0	0	20.416
fake	fake	16	1	NA	NA	0	0	20.716
or	or	16	1	NA	NA	0	0	21.009
real	real	16	1	NA	NA	0	0	21.289
as	as	16	1	NA	NA	0	0	21.428
the	the	16	1	NA	NA	0	0	21.693
heavens	heav-	16	1	5	1	0	0	21.829
heavens	ens	16	1	5	2	0	0	22.116
be	be	16	1	5	3	0	0	22.434
see	see	16	1	NA	NA	0	0	22.725
i	i	16	1	NA	NA	0	0	22.862
got	got	16	1	NA	NA	0	0	23.206
to	to	16	1	NA	NA	0	0	23.394
question	quest-	16	1	NA	NA	0	0	23.707
question	ion	16	1	NA	NA	0	0	23.893
it	it	16	1	NA	NA	0	0	24.061
all	all	16	2	6	1	1	0	24.387
family	fam-	16	1	NA	NA	0	0	24.865
family	y	16	1	NA	NA	0	0	25.123
friends	friends	16	2	NA	NA	0	0	25.442
fans	fans	16	2	NA	NA	0	0	25.913
cats	cats	16	2	NA	NA	0	0	26.374
dogs	dogs	16	2	6	1	0	0	26.891
trees	trees	16	2	NA	NA	0	0	27.435
plants	plants	16	2	NA	NA	1	0	27.924
grass	grass	16	2	NA	NA	0	0	28.427
how	how	16	1	NA	NA	0	0	28.884
the	the	16	1	NA	NA	0	0	29.098
wind	wind	16	2	NA	NA	0	0	29.419
blow	blow	16	2	NA	NA	0	0	29.908
murphys	mur-	16	1	NA	NA	0	0	30.361
murphys	phys	16	1	NA	NA	0	0	30.564
law	law	16	2	6	1	0	0	30.914
generation	ge-	16	1	NA	NA	0	0	31.406
generation	ne-	16	1	NA	NA	0	0	31.556
generation	ra-	16	1	NA	NA	0	0	31.816
generation	tion	16	1	NA	NA	0	0	32.101
x	x	16	2	7	1	1	1	32.269
will	will	16	1	NA	NA	0	0	32.888
i	i	16	1	NA	NA	0	0	33.079
ever	e-	16	1	NA	NA	0	0	33.33
ever	ver	16	1	NA	NA	0	0	33.589
be	be	16	1	NA	NA	0	0	33.833
your	your	16	1	NA	NA	0	0	34.085
x	x	16	2	7	1	0	1	34.28
floss	floss	16	2	6	1	0	0	34.909
off	off	16	1	NA	NA	0	0	35.342
a	a	16	1	NA	NA	0	0	35.579
baby	ba-	16	1	NA	NA	0	0	35.845
baby	by	16	1	NA	NA	0	0	36.04
step	step	16	2	7	1	1	1	36.348
mauled	mauled	16	2	6	1	0	0	36.851
by	by	16	1	NA	NA	0	0	37.34
the	the	16	1	NA	NA	0	0	37.577
mouth	mouth	16	1	NA	NA	0	0	37.787
of	of	16	1	NA	NA	0	0	38.08
pit	pit	16	2	7	1	0	1	38.332
bulls	bulls	16	2	6	1	0	0	38.765
put	put	16	1	NA	NA	0	0	39.365
me	me	16	1	NA	NA	0	0	39.589
under	un-	16	1	NA	NA	0	0	39.792
under	der	16	1	NA	NA	0	0	39.983
stress	stress	16	3	7	1	1	1	40.357
crawled	crawled	16	1	6	1	0	0	41
under	un-	16	1	NA	NA	0	0	41.363
under	der	16	1	NA	NA	0	0	41.569
rocks	rocks	16	2	NA	NA	0	1	41.88
ducking	duck-	16	1	NA	NA	0	0	42.369
ducking	ing	16	1	NA	NA	0	0	42.606
yall	yall	16	2	6	1	0	1	42.872
its	its	16	1	NA	NA	0	0	43.363
respect	re-	16	1	NA	NA	0	0	43.575
