word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
guess	guess	16	1	NA	NA	0	0	0.098
whose	whose	16	1	NA	NA	0	0	0.326
back	back	16	1	NA	NA	0	0	0.564
in	in	32	1	NA	NA	0	0	0.781
this	this	32	1	NA	NA	0	0	0.885
mothafucka	mo-	32	1	NA	NA	0	0	1.051
mothafucka	tha-	32	1	NA	NA	0	0	1.144
mothafucka	fuck-	32	1	NA	NA	0	0	1.247
mothafucka	a	32	1	NA	NA	0	0	1.413
looking	look-	32	1	NA	NA	0	0	1.537
looking	ing	32	1	NA	NA	0	0	1.651
like	like	32	1	NA	NA	0	0	1.775
a	a	32	1	NA	NA	0	0	1.899
mothafuckin'	mo-	32	1	NA	NA	0	0	2.044
mothafuckin'	tha-	32	1	NA	NA	0	0	2.137
mothafuckin'	fuck-	32	1	NA	NA	0	0	2.241
mothafuckin'	in'	32	1	NA	NA	0	0	2.376
chi	chi	16	1	NA	NA	0	0	2.562
town	town	16	1	NA	NA	0	0	2.79
pimp	pimp	16	1	1	1	0	0	3.069
alright	al-	16	1	1	2	0	0	3.38
alright	right	16	2	1	3	1	1	3.514
make	make	32	1	NA	NA	0	0	4.063
my	my	32	1	NA	NA	0	0	4.177
money	mon-	32	1	NA	NA	0	0	4.301
money	ey	32	1	NA	NA	0	0	4.373
flip	flip	16	1	NA	NA	0	0	4.539
make	make	32	1	NA	NA	0	0	4.767
my	my	32	1	NA	NA	0	0	4.922
money	mon-	32	1	NA	NA	0	0	5.025
money	ey	32	1	NA	NA	0	0	5.108
flip	flip	16	1	NA	NA	0	0	5.284
make	make	32	1	NA	NA	0	0	5.491
my	my	32	1	NA	NA	0	0	5.647
money	mon-	32	1	NA	NA	0	0	5.729
money	ey	32	1	NA	NA	0	0	5.854
flip	flip	16	1	NA	NA	0	0	6.071
i'll	i'll	32	1	NA	NA	0	0	6.268
be	be	32	1	NA	NA	0	0	6.547
in	in	16	1	NA	NA	0	0	6.754
the	the	16	1	NA	NA	0	0	6.868
gym	gym	16	1	1	1	0	0	7.065
all	all	16	1	1	2	0	0	7.282
night	night	16	2	1	3	1	1	7.51
came	came	16	1	2	1	0	0	8.038
in	in	32	1	NA	NA	0	0	8.296
the	the	32	1	NA	NA	0	0	8.4
game	game	16	1	2	1	0	0	8.545
with	with	32	1	NA	NA	0	0	8.814
a	a	32	1	NA	NA	0	0	8.876
dollar	dol-	32	1	NA	NA	0	0	9.052
dollar	lar	32	1	NA	NA	0	0	9.145
and	and	32	1	NA	NA	0	0	9.176
a	a	32	1	NA	NA	0	0	9.383
dream	dream	16	1	2	1	0	0	9.58
and	and	32	1	NA	NA	0	0	9.787
an	an	32	1	NA	NA	0	0	10.036
a	a	16	1	NA	NA	0	0	10.18
k	k	16	1	NA	NA	0	0	10.305
clip	clip	16	1	NA	NA	0	0	10.574
with	with	32	1	NA	NA	0	0	10.801
an	an	32	1	NA	NA	0	0	10.895
infrared	in-	32	1	NA	NA	0	0	10.988
infrared	fra-	32	1	NA	NA	0	0	11.288
infrared	red	16	1	NA	NA	0	0	11.319
beam	beam	16	1	2	1	1	0	11.671
i	i	16	1	NA	NA	0	0	11.795
pop	pop	16	1	NA	NA	0	0	12.023
that	that	16	1	NA	NA	0	0	12.302
trunk	trunk	16	1	3	1	0	0	12.541
make	make	16	1	NA	NA	0	0	12.81
everybody	eve-	32	1	NA	NA	0	0	13.037
everybody	ry-	32	1	NA	NA	0	0	13.151
everybody	bo-	32	1	NA	NA	0	0	13.265
