word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
and	and	16	1	NA	NA	0	0	-1.274
so	so	16	1	NA	NA	0	0	-0.996
he	he	16	1	NA	NA	0	0	-0.711
said	said	16	4	NA	NA	0	1	-0.415
why	why	16	1	NA	NA	0	0	0.612
you	you	16	1	NA	NA	0	0	0.82
gotta	got-	16	1	NA	NA	0	0	1.032
gotta	ta	16	1	NA	NA	0	0	1.243
be	be	16	1	NA	NA	0	0	1.53
so	so	16	1	NA	NA	0	0	1.767
kind	kind	16	2	1	1	0	0	2.076
hearted	heart-	16	1	1	2	0	0	2.567
hearted	ed	16	3	1	3	1	1	2.832
why	why	16	1	NA	NA	0	0	3.621
you	you	16	1	NA	NA	0	0	3.818
couldn't	could-	16	1	NA	NA	0	0	4.002
couldn't	n't	16	1	NA	NA	0	0	4.225
be	be	16	1	NA	NA	0	0	4.517
a	a	16	1	NA	NA	0	0	4.698
con	con	16	2	1	1	0	0	5.061
artist	ar-	16	1	1	2	0	0	5.553
artist	tist	16	3	1	3	1	1	5.772
why	why	16	1	NA	NA	0	0	6.571
you	you	16	1	NA	NA	0	0	6.813
couldn't	could-	16	1	NA	NA	0	0	7.061
couldn't	n't	16	1	NA	NA	0	0	7.266
why	why	16	1	NA	NA	0	0	7.483
you	you	16	1	NA	NA	0	0	7.77
couldn't	could-	16	1	NA	NA	0	0	8.013
couldn't	n't	16	1	NA	NA	0	0	8.243
be	be	16	1	NA	NA	0	0	8.556
mischievous	mis-	16	1	NA	NA	0	0	8.795
mischievous	chi-	16	1	2	1	0	0	9.044
mischievous	e-	16	1	2	2	0	0	9.375
mischievous	vous	16	1	2	3	1	0	9.511
or	or	16	1	NA	NA	0	0	9.754
just	just	16	1	NA	NA	0	0	10.11
a	a	16	1	NA	NA	0	0	10.31
lil	lil	16	2	NA	NA	0	0	10.603
devious	de-	16	1	2	1	0	0	11.072
devious	vi-	16	1	2	2	0	0	11.376
devious	ous	16	1	2	3	0	0	11.55
the	the	16	1	NA	NA	0	0	11.806
moment	mo-	16	1	NA	NA	0	0	12.008
moment	ment	16	1	NA	NA	0	0	12.235
that	that	16	1	NA	NA	0	0	12.578
we	we	16	1	NA	NA	0	0	12.784
first	first	16	2	1	1	0	0	13.064
started	star-	16	1	1	2	0	0	13.551
started	ted	16	3	1	3	1	1	13.774
why	why	16	1	NA	NA	0	0	14.524
you	you	16	1	NA	NA	0	0	14.816
never	ne-	16	1	NA	NA	0	0	15.052
never	ver	16	1	NA	NA	0	0	15.217
ask	ask	16	1	NA	NA	0	0	15.458
