word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
you	you	16	1	NA	NA	0	0	0.442
like	like	16	1	NA	NA	0	0	0.642
to	to	16	1	NA	NA	0	0	0.964
mistake	mis-	16	1	NA	NA	0	0	1.14
mistake	take	16	1	NA	NA	0	0	1.432
a	a	16	1	NA	NA	0	0	1.666
street	street	16	1	NA	NA	0	0	2.091
nigga	nig-	16	1	1	2	0	0	2.427
nigga	ga	16	1	1	3	0	0	2.64
for	for	16	1	NA	NA	0	0	2.894
real	real	16	2	1	1	0	0	3.13
nigga	nig-	16	1	1	2	0	0	3.51
nigga	ga	16	3	1	3	1	1	3.858
that	that	16	1	NA	NA	0	0	4.49
same	same	16	2	NA	NA	0	0	4.761
nigga	nig-	16	1	1	2	0	0	5.245
nigga	ga	16	1	1	3	0	0	5.444
that	that	16	1	NA	NA	0	0	5.614
kill	kill	16	1	1	1	0	0	5.954
with	with	16	1	1	2	0	0	6.453
ya	ya	16	2	1	3	0	0	6.779
squeal	squeal	16	2	1	1	0	0	7.281
with	with	16	1	1	2	0	0	7.65
ya	ya	16	2	1	3	1	1	7.987
i	i	16	1	NA	NA	0	0	8.471
like	like	16	1	NA	NA	0	0	8.704
to	to	16	1	NA	NA	0	0	8.944
start	start	16	1	NA	NA	0	0	9.203
it	it	16	1	NA	NA	0	0	9.412
out	out	16	1	NA	NA	0	0	9.598
from	from	16	1	NA	NA	0	0	9.905
the	the	16	1	NA	NA	0	0	10.143
bottom	bot-	16	1	2	1	0	0	10.388
bottom	tom	16	1	2	2	0	0	10.657
and	and	16	1	NA	NA	0	0	10.825
build	build	16	2	1	1	0	0	11.164
with	with	16	1	1	2	0	0	11.676
ya	ya	16	3	1	3	1	1	11.95
be	be	16	1	NA	NA	0	0	12.729
on	on	16	1	NA	NA	0	0	12.866
my	my	16	1	NA	NA	0	0	13.124
last	last	16	2	NA	NA	0	0	13.373
dollar	dol-	16	1	2	1	0	0	13.856
dollar	lar	16	1	2	2	0	0	14.121
and	and	16	1	NA	NA	0	0	14.193
split	split	16	1	NA	NA	0	0	14.69
the	the	16	1	NA	NA	0	0	14.924
bill	bill	16	2	1	1	0	0	15.173
with	with	16	1	1	2	0	0	15.627
ya	ya	16	3	1	3	1	1	15.891
i'm	i'm	16	1	NA	NA	0	0	16.373
twenty	twen-	16	1	NA	NA	0	0	16.797
twenty	ty	16	1	3	1	0	0	16.9
three	three	16	1	3	2	0	0	17.31
with	with	16	1	NA	NA	0	0	17.607
morals	mo-	16	1	4	1	0	0	17.866
morals	rals	16	1	4	2	0	0	18.032
and	and	16	1	NA	NA	0	0	18.349
plans	plans	16	1	NA	NA	0	0	18.679
of	of	16	1	NA	NA	0	0	18.963
living	liv-	16	1	NA	NA	0	0	19.197
living	ing	16	1	NA	NA	0	0	19.402
cordial	cor-	16	2	4	1	0	0	19.68
cordial	dial	16	2	4	2	1	1	20.046
not	not	16	1	NA	NA	0	0	20.661
rich	rich	16	2	NA	NA	0	0	20.983
but	but	16	1	NA	NA	0	0	21.359
wealthy	weal-	16	2	3	1	0	0	21.625
wealthy	thy	16	1	3	2	0	1	21.948
there's	there's	16	1	NA	NA	0	0	22.493
nothing	no-	16	1	NA	NA	0	0	22.714
nothing	thing	16	1	NA	NA	0	0	22.944
you	you	16	1	NA	NA	0	0	23.178
can	can	16	1	NA	NA	0	0	23.383
tell	tell	16	1	3	1	0	0	23.645
me	me	16	1	3	2	1	0	23.953
my	my	16	1	NA	NA	0	0	24.158
killings	kil-	16	1	NA	NA	0	0	24.444
killings	lings	16	1	NA	NA	0	0	24.629
are	are	16	1	NA	NA	0	0	24.875
not	not	16	1	NA	NA	0	0	25.11
remorseful	re-	16	1	NA	NA	0	0	25.403
remorseful	morse-	16	1	4	1	0	0	25.62
remorseful	ful	16	2	4	2	0	1	25.958
the	the	16	1	NA	NA	0	0	26.558
city	ci-	16	1	NA	NA	0	0	26.778
city	ty	16	1	NA	NA	0	0	26.953
got	got	16	1	NA	NA	0	0	27.169
my	my	16	1	NA	NA	0	0	27.418
back	back	16	3	NA	NA	1	0	27.698
for	for	16	1	NA	NA	0	0	28.212
that	that	16	1	NA	NA	0	0	28.463
i	i	16	1	NA	NA	0	0	28.695
give	give	16	1	NA	NA	0	0	28.969
them	them	16	1	NA	NA	0	0	29.248
my	my	16	1	NA	NA	0	0	29.45
torso	tor-	16	1	4	1	0	0	29.763
torso	so	16	3	4	2	0	1	30.142
you	you	16	1	NA	NA	0	0	30.997
think	think	16	1	NA	NA	0	0	31.226
about	a-	16	1	NA	NA	0	0	31.419
about	bout	16	1	NA	NA	0	0	31.68
it	it	16	4	NA	NA	1	1	31.877
and	and	16	1	NA	NA	0	0	32.865
don't	don't	16	1	NA	NA	0	0	33.143
call	call	16	1	NA	NA	0	0	33.436
me	me	16	1	NA	NA	0	0	33.685
lyrical	lyr-	16	1	5	1	0	0	33.907
lyrical	i-	16	1	5	2	0	0	34.125
lyrical	cal	16	2	5	3	1	1	34.416
cause	cause	16	1	NA	NA	0	0	35.002
really	real-	16	1	NA	NA	0	0	35.229
really	ly	16	1	NA	NA	0	0	35.466
i'm	i'm	16	1	NA	NA	0	0	35.66
just	just	16	1	NA	NA	0	0	35.923
a	a	16	1	NA	NA	0	0	36.202
nigga	nig-	16	1	NA	NA	0	0	36.413
nigga	ga	16	1	NA	NA	0	0	36.669
that's	that's	16	1	NA	NA	0	0	36.864
evil	e-	16	1	NA	NA	0	0	37.138
evil	vil	16	1	NA	NA	0	0	37.408
and	and	16	1	NA	NA	0	0	37.533
spiritual	spi-	16	1	5	1	0	0	37.883
spiritual	tu-	16	1	5	2	0	0	38.097
spiritual	al	16	2	5	3	1	1	38.364
i	i	16	1	NA	NA	0	0	39.055
know	know	16	1	NA	NA	0	0	39.241
some	some	16	1	NA	NA	0	0	39.538
rappers	rap-	16	1	NA	NA	0	0	39.719
rappers	pers	16	1	NA	NA	0	0	40.006
using	u-	16	1	NA	NA	0	0	40.233
using	sing	16	1	NA	NA	0	0	40.524
big	big	16	2	NA	NA	0	0	40.772
words	words	16	2	6	1	0	0	41.161
to	to	16	1	NA	NA	0	0	41.684
make	make	16	1	NA	NA	0	0	41.884
their	their	16	1	NA	NA	0	0	42.128
similes	si-	16	1	NA	NA	0	0	42.377
similes	mi-	16	1	NA	NA	0	0	42.633
similes	les	16	1	NA	NA	0	0	42.816
curve	curve	16	2	6	1	1	0	43.166
my	my	16	1	NA	NA	0	0	43.635
simplest	simp-	16	1	NA	NA	0	0	43.899
simplest	l-	16	1	NA	NA	0	0	44.144
simplest	est	16	1	NA	NA	0	0	44.346
shit	shit	16	2	NA	NA	0	0	44.709
be	be	16	1	NA	NA	0	0	45.099
more	more	16	2	NA	NA	0	0	45.4
pivotal	pi-	16	1	5	1	0	0	45.857
pivotal	vo-	16	1	5	2	0	0	46.098
pivotal	tal	16	2	5	3	1	1	46.386
i	i	16	1	NA	NA	0	0	46.913
penetrate	pen-	16	1	NA	NA	0	0	47.235
penetrate	e-	16	1	NA	NA	0	0	47.44
penetrate	trate	16	1	NA	NA	0	0	47.718
the	the	16	1	NA	NA	0	0	48.011
hearts	hearts	16	2	NA	NA	0	0	48.172
of	of	16	1	NA	NA	0	0	48.552
good	good	16	1	NA	NA	0	0	48.903
kids	kids	16	2	NA	NA	0	0	49.152
and	and	16	1	NA	NA	0	0	49.62
