word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
look	look	16	1	NA	NA	0	0	1.367
into	in-	16	1	NA	NA	0	0	1.569
into	to	16	1	NA	NA	0	0	1.8
the	the	16	1	NA	NA	0	0	1.959
new	new	16	1	NA	NA	0	0	2.176
vision	vi-	16	1	NA	NA	0	0	2.421
vision	sion	16	1	NA	NA	0	0	2.71
in	in	16	1	NA	NA	0	0	2.91
mind	mind	16	1	1	1	0	0	3.187
the	the	16	1	1	2	0	0	3.505
kendrick	kend-	16	1	1	4	0	0	3.736
kendrick	rick	16	1	1	5	0	0	3.953
divine	di-	16	1	NA	NA	0	0	4.17
divine	vine	16	1	1	1	0	0	4.415
intervention	in-	16	1	1	2	0	0	4.748
intervention	ter-	16	1	1	3	0	0	4.97
intervention	vent-	16	1	1	4	0	0	5.167
intervention	ion	16	1	1	5	1	0	5.449
i	i	16	1	NA	NA	0	0	5.586
drop	drop	16	1	NA	NA	0	0	5.904
a	a	16	1	NA	NA	0	0	6.135
jewel	je-	32	1	NA	NA	0	0	6.424
jewel	wel	32	1	NA	NA	0	0	6.554
and	and	16	1	NA	NA	0	0	6.785
the	the	16	1	NA	NA	0	0	6.959
diamonds	dia-	16	2	1	1	0	0	7.137
diamonds	monds	16	1	1	2	0	0	7.465
glisten	glist-	16	1	1	4	0	0	7.766
glisten	en	16	1	1	5	1	0	8.028
dont	dont	16	1	NA	NA	0	0	8.202
chime	chime	16	1	1	1	0	0	8.476
in	in	16	1	1	2	0	0	8.757
my	my	16	1	1	3	0	0	9.025
business	busi-	16	1	1	4	0	0	9.242
business	ness	16	1	1	5	0	0	9.473
youll	youll	16	1	NA	NA	0	0	9.704
run	run	16	1	NA	NA	0	0	9.965
into	in-	16	1	NA	NA	0	0	10.133
into	to	16	1	NA	NA	0	0	10.413
atomic	a-	16	1	NA	NA	0	0	10.592
atomic	to-	16	1	1	1	0	0	10.904
atomic	mic	16	1	1	2	0	0	11.141
collision	col-	16	1	1	3	0	0	11.407
collision	li-	16	1	1	4	0	0	11.626
collision	sion	16	2	1	5	1	1	11.829
you	you	16	1	NA	NA	0	0	12.512
knew	knew	16	1	NA	NA	0	0	12.705
my	my	16	1	NA	NA	0	0	12.93
colonic	co-	16	1	NA	NA	0	0	13.202
colonic	lon-	16	1	1	1	0	0	13.389
colonic	ic	16	1	1	2	0	0	13.635
was	was	16	1	1	3	0	0	13.91
different	dif-	16	1	1	4	0	0	14.155
different	ent	16	1	1	5	0	0	14.43
im	im	16	1	NA	NA	0	0	14.574
shitting	shit-	16	1	2	1	0	0	14.907
shitting	ting	16	1	2	2	0	0	15.146
on	on	16	1	NA	NA	0	0	15.34
shit	shit	16	1	NA	NA	1	0	15.687
that	that	16	1	NA	NA	0	0	15.976
was	was	16	1	NA	NA	0	0	16.178
shifting	shif-	16	1	2	1	0	0	16.438
shifting	ting	16	1	2	2	0	0	16.699
your	your	16	1	NA	NA	0	0	16.944
image	i-	16	1	2	1	0	0	17.129
image	mage	16	1	2	2	0	0	17.358
i	i	16	1	NA	NA	0	0	17.615
rhyme	rhyme	16	1	1	1	0	0	17.884
like	like	16	1	1	2	0	0	18.245
a	a	16	1	1	3	0	0	18.389
chemist	che-	16	1	1	4	0	0	18.693
chemist	mist	16	1	1	5	1	0	18.91
i	i	16	1	NA	NA	0	0	19.112
rhyme	rhyme	16	1	1	1	0	0	19.41
like	like	16	1	1	2	0	0	19.748
the	the	16	1	1	3	0	0	19.967
guinness	guin-	16	1	1	4	0	0	20.21
guinness	ness	16	1	1	5	0	0	20.427
book	book	16	1	NA	NA	0	0	20.745
of	of	16	1	NA	NA	0	0	20.99
