word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
let's	let's	16	1	NA	NA	0	0	0.956
hit	hit	16	1	NA	NA	0	0	1.223
the	the	16	1	NA	NA	0	0	1.408
county	coun-	16	1	NA	NA	0	0	1.65
county	ty	16	1	NA	NA	0	0	1.839
building	build-	16	1	NA	NA	0	0	2.119
building	ing	16	1	NA	NA	0	0	2.331
gotta	got-	16	1	NA	NA	0	0	2.625
gotta	ta	16	1	NA	NA	0	0	2.767
cash	cash	16	1	NA	NA	0	0	3.072
my	my	16	1	NA	NA	0	0	3.374
check	check	16	4	1	1	1	1	3.737
spend	spend	16	1	NA	NA	0	0	4.653
it	it	16	1	NA	NA	0	0	4.849
all	all	16	1	NA	NA	0	0	5.057
on	on	16	1	NA	NA	0	0	5.355
a	a	16	1	NA	NA	0	0	5.588
forty	for-	16	1	NA	NA	0	0	5.891
forty	ty	16	1	NA	NA	0	0	6.071
ounce	ounce	16	1	NA	NA	0	0	6.287
to	to	16	1	NA	NA	0	0	6.642
the	the	16	1	NA	NA	0	0	6.864
neck	neck	16	1	1	1	1	0	7.122
and	and	16	1	NA	NA	0	0	7.431
in	in	16	1	NA	NA	0	0	7.578
retrospect	re-	16	1	NA	NA	0	0	7.837
retrospect	tro-	16	1	NA	NA	0	0	8.09
retrospect	spect	16	1	1	1	0	0	8.39
i	i	16	1	NA	NA	0	0	8.632
remember	re-	16	1	2	1	0	0	8.906
remember	mem-	16	1	2	2	0	0	9.079
remember	ber	16	1	2	3	0	0	9.364
december	de-	16	1	2	1	0	0	9.602
december	cem-	16	1	2	2	0	0	9.842
december	ber	16	1	2	3	0	0	10.084
being	be-	16	1	NA	NA	0	0	10.396
being	ing	16	1	NA	NA	0	0	10.589
the	the	16	1	NA	NA	0	0	10.907
hottest	hot-	16	1	3	1	0	0	11.047
hottest	test	16	3	3	2	1	1	11.366
squad	squad	16	2	NA	NA	0	0	12.186
cars	cars	16	2	4	1	0	0	12.66
neighborhood	neigh-	16	1	NA	NA	0	0	13.147
neighborhood	bor-	16	1	NA	NA	0	0	13.38
neighborhood	hood	16	1	NA	NA	0	0	13.563
wars	wars	16	2	4	1	0	0	13.937
and	and	16	1	NA	NA	0	0	14.343
stolen	sto-	16	1	NA	NA	0	0	14.695
stolen	len	16	1	NA	NA	0	0	14.887
mazdas	maz-	16	1	3	1	0	0	15.169
mazdas	das	16	2	3	2	1	1	15.489
i	i	16	1	NA	NA	0	0	16.017
tell	tell	16	1	NA	NA	0	0	16.29
you	you	16	1	NA	NA	0	0	16.522
mothafuckas	mo-	16	1	NA	NA	0	0	16.736
mothafuckas	tha-	16	1	NA	NA	0	0	16.886
mothafuckas	fuck-	16	1	NA	NA	0	0	17.249
mothafuckas	as	16	1	NA	NA	0	0	17.45
that	that	16	1	NA	NA	0	0	17.699
life	life	16	1	NA	NA	0	0	17.953
is	is	16	1	NA	NA	0	0	18.203
full	full	16	1	NA	NA	0	0	18.527
of	of	16	1	NA	NA	0	0	18.754
hydraulics	hy-	16	1	NA	NA	0	0	18.939
hydraulics	drau-	16	1	5	1	0	0	19.264
hydraulics	lics	16	1	5	2	1	0	19.486
up	up	16	1	NA	NA	0	0	19.731
and	and	16	1	NA	NA	0	0	19.988
down	down	16	2	NA	NA	0	0	20.313
get	get	16	1	NA	NA	0	0	20.818
a	a	16	1	NA	NA	0	0	20.913
six	six	16	1	NA	NA	0	0	21.282
four	four	16	2	NA	NA	0	0	21.635
better	be-	16	1	NA	NA	0	0	22.063
better	tter	16	1	NA	NA	0	0	22.206
know	know	16	1	NA	NA	0	0	22.466
how	how	16	1	NA	NA	0	0	22.665
to	to	16	1	NA	NA	0	0	22.869
drive	drive	16	1	5	1	0	0	23.239
it	it	16	2	5	2	1	1	23.511
i'm	i'm	16	1	NA	NA	0	0	23.934
driving	dri-	16	1	5	1	0	0	24.306
driving	ving	16	1	5	2	0	0	24.551
on	on	16	1	NA	NA	0	0	24.813
