word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
i	i	16	1	NA	NA	0	0	0.418
live	live	16	1	NA	NA	0	0	0.64
this	this	16	1	NA	NA	0	0	0.93
life	life	16	1	NA	NA	0	0	1.16
at	at	16	1	NA	NA	0	0	1.527
a	a	16	1	NA	NA	0	0	1.651
pace	pace	16	1	1	1	0	0	1.955
that	that	16	1	NA	NA	0	0	2.254
anyone	an-	16	1	NA	NA	0	0	2.435
anyone	y-	32	1	NA	NA	0	0	2.552
anyone	one	32	1	NA	NA	0	0	2.685
can	can	16	1	NA	NA	0	0	2.902
go	go	16	1	2	1	1	1	3.2
know	know	16	1	NA	NA	0	0	3.512
your	your	16	1	NA	NA	0	0	3.643
place	place	16	1	1	1	0	0	3.953
and	and	16	1	NA	NA	0	0	4.212
dedicate	de-	32	1	NA	NA	0	0	4.407
dedicate	di-	32	1	NA	NA	0	0	4.511
dedicate	cate	16	1	NA	NA	0	0	4.666
your	your	16	1	NA	NA	0	0	4.952
role	role	16	1	2	1	0	0	5.146
to	to	16	1	NA	NA	0	0	5.48
the	the	16	1	NA	NA	0	0	5.652
faith	faith	16	1	1	1	0	0	5.885
that	that	16	1	NA	NA	0	0	6.197
you'll	you'll	16	1	NA	NA	0	0	6.404
die	die	16	1	3	1	0	0	6.625
alone	a-	16	1	3	2	0	0	6.844
alone	lone	16	3	3	3	1	1	7.105
trace	trace	16	1	1	1	0	0	7.896
your	your	16	1	NA	NA	0	0	8.142
steps	steps	16	1	3	1	0	0	8.35
when	when	32	1	NA	NA	0	0	8.674
i	i	32	1	NA	NA	0	0	8.752
do	do	16	1	NA	NA	0	0	8.921
step	step	16	1	3	1	0	0	9.18
in	in	16	1	NA	NA	0	0	9.44
a	a	16	1	NA	NA	0	0	9.578
fire	fi-	16	1	NA	NA	0	0	9.881
fire	re	16	1	NA	NA	0	0	10.245
of	of	16	1	NA	NA	0	0	10.4
broken	bro-	16	1	3	1	0	0	10.646
broken	ken	16	1	3	2	0	0	10.866
bones	bones	16	1	3	3	1	0	11.113
and	and	32	1	NA	NA	0	0	11.424
i	i	32	1	NA	NA	0	0	11.494
require	re-	16	1	4	1	0	0	11.623
require	qui-	16	1	4	2	0	0	11.917
require	re	16	1	4	3	0	0	12.124
my	my	16	1	NA	NA	0	0	12.351
heart's	heart's	16	1	NA	NA	0	0	12.605
desire	de-	16	1	4	1	0	0	12.916
desire	si-	16	1	4	2	0	0	13.11
desire	re	16	1	4	3	0	0	13.416
and	and	16	1	NA	NA	0	0	13.562
when	when	16	1	NA	NA	0	0	13.902
i	i	16	1	NA	NA	0	0	14.031
reap	reap	16	1	4	1	0	0	14.343
what	what	16	1	3	1	0	0	14.606
i	i	16	1	3	2	0	0	14.745
sew	sew	16	1	3	3	1	1	15.052
i	i	16	1	NA	NA	0	0	15.357
bought	bought	16	1	NA	NA	0	0	15.562
my	my	16	1	NA	NA	0	0	15.811
momma	mom-	16	1	NA	NA	0	0	15.995
momma	ma	16	2	NA	NA	0	0	16.41
benz	benz	16	4	NA	NA	0	1	16.766
my	my	16	1	NA	NA	0	0	17.91
boobie	boo-	16	1	5	1	0	0	18.104
boobie	bie	16	1	5	2	0	0	18.378
a	a	16	1	5	3	0	0	18.572
jag	jag	16	4	5	4	1	1	18.896
a	a	16	1	NA	NA	0	0	19.838
car	car	16	1	NA	NA	0	0	20.095
for	for	16	1	NA	NA	0	0	20.349
my	my	16	1	NA	NA	0	0	20.543
dogs	dogs	16	4	NA	NA	0	1	20.841
with	with	32	1	NA	NA	0	0	21.81
a	a	32	1	NA	NA	0	0	21.892
roof	roof	16	1	5	1	0	0	22.045
full	full	16	1	5	2	0	0	22.398
of	of	16	1	5	3	0	0	22.497
glass	glass	16	4	5	4	1	1	22.845
but	but	16	1	NA	NA	0	0	23.798
still	still	16	1	NA	NA	0	0	24.092
i	i	16	1	NA	NA	0	0	24.357
be	be	16	1	NA	NA	0	0	24.551
