word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
five	five	12	1	NA	NA	0	0	1.35
star	star	12	1	NA	NA	0	0	1.799
general	ge-	24	1	1	1	0	0	2.185
general	ne-	24	1	1	2	0	0	2.31
general	ral	12	1	1	3	0	0	2.519
in	in	24	1	NA	NA	0	0	2.897
a	a	24	1	NA	NA	0	0	2.998
g	g	12	1	NA	NA	0	0	3.235
ride	ride	12	1	2	1	0	0	3.536
got	got	24	1	NA	NA	0	0	3.987
my	my	24	1	NA	NA	0	0	4.148
seat	seat	16	1	NA	NA	0	0	4.343
back	back	16	3	3	1	1	1	4.642
chiefin'	chief-	16	1	2	1	0	0	5.332
chiefin'	in'	16	1	NA	NA	0	0	5.533
like	like	16	1	NA	NA	0	0	5.72
a	a	16	1	NA	NA	0	0	5.929
seminole	sem-	24	1	1	1	0	0	6.184
seminole	i-	24	1	1	2	0	0	6.309
seminole	nole	12	1	1	3	0	0	6.483
no	no	12	1	NA	NA	0	0	6.887
centerfold	cen-	24	1	1	1	0	0	7.144
centerfold	ter-	24	1	1	2	0	0	7.27
centerfold	fold	12	1	1	3	0	0	7.471
but	but	12	1	NA	NA	0	0	7.91
picture	pic-	24	1	NA	NA	0	0	8.144
picture	ture	24	1	NA	NA	0	0	8.354
that	that	12	2	3	1	1	1	8.438
picture	pic-	24	1	NA	NA	0	0	9.162
picture	ture	24	1	NA	NA	0	0	9.341
me	me	12	2	4	1	0	1	9.506
picture	pic-	24	1	NA	NA	0	0	10.154
picture	ture	24	1	NA	NA	0	0	10.374
terrace	ter-	24	1	NA	NA	0	0	10.502
terrace	race	24	3	NA	NA	0	1	10.763
picture	pic-	24	1	NA	NA	0	0	11.197
picture	ture	24	1	NA	NA	0	0	11.362
p	p	12	2	4	1	1	1	11.541
takin'	ta-	16	1	NA	NA	0	0	12.206
takin'	kin'	16	1	NA	NA	0	0	12.409
shit	shit	16	1	NA	NA	0	0	12.679
from	from	16	1	NA	NA	0	0	12.888
some	some	12	1	5	1	0	0	13.188
nigga	nig-	24	1	5	2	0	0	13.562
nigga	ga	24	1	5	3	0	0	13.664
that	that	12	1	NA	NA	0	0	13.829
shit	shit	16	1	NA	NA	0	0	14.161
right	right	16	1	NA	NA	0	0	14.415
there	there	16	1	NA	NA	0	0	14.655
sound	sound	16	1	NA	NA	0	0	14.909
dumb	dumb	12	1	5	1	0	0	15.166
nigga	nig-	24	1	5	2	0	0	15.522
nigga	ga	24	1	5	3	0	0	15.689
we	we	12	1	NA	NA	0	0	15.917
gotta	got-	16	1	NA	NA	0	0	16.211
gotta	ta	16	1	NA	NA	0	0	16.375
post	post	16	1	NA	NA	1	0	16.645
stay	stay	16	1	NA	NA	0	0	16.899
in	in	16	1	NA	NA	0	0	17.05
the	the	16	1	NA	NA	0	0	17.258
street	street	16	2	4	1	0	1	17.509
take	take	16	1	NA	NA	0	0	18.188
what	what	16	1	NA	NA	0	0	18.425
we	we	16	1	NA	NA	0	0	18.685
deserve	de-	16	1	NA	NA	0	0	18.88
deserve	serve	16	1	6	1	0	0	19.133
and	and	16	1	NA	NA	1	0	19.457
yeah	yeah	16	1	NA	NA	0	0	19.758
i	i	16	1	NA	NA	0	0	19.847
serve	serve	16	1	6	1	0	0	20.162
on	on	16	1	NA	NA	0	0	20.457
any	a-	16	1	NA	NA	0	0	20.671
any	ny	16	1	NA	NA	0	0	20.865
artist	ar-	16	1	7	1	0	0	21.056
artist	tist	16	1	7	2	0	0	21.374
that's	that's	16	1	NA	NA	0	0	21.614
my	my	16	1	NA	NA	0	0	21.883
word	word	16	1	6	1	0	0	22.139
that	that	16	1	NA	NA	0	0	22.444
y'all	y'all	16	1	NA	NA	0	0	22.69
are	are	16	1	NA	NA	0	0	22.903
targets	tar-	16	1	7	1	0	0	23.155
targets	gets	16	1	7	2	1	0	23.499
i'm	i'm	16	1	NA	NA	0	0	23.679
retarded	re-	16	1	NA	NA	0	0	23.925
retarded	tard-	16	1	7	1	0	0	24.218
