word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
take	take	16	1	NA	NA	0	0	1.389
a	a	16	1	NA	NA	0	0	1.63
trip	trip	16	1	NA	NA	0	0	1.933
with	with	16	1	NA	NA	0	0	2.196
the	the	16	1	NA	NA	0	0	2.403
narcoleptic	nar-	16	1	1	1	0	0	2.619
narcoleptic	co-	16	1	1	2	0	0	2.929
narcoleptic	lep-	16	1	1	3	0	0	3.099
narcoleptic	tic	16	2	1	4	1	1	3.424
suffered	suf-	16	1	NA	NA	0	0	3.934
suffered	fered	16	1	NA	NA	0	0	4.166
insomnia	in-	16	1	NA	NA	0	0	4.315
insomnia	som-	16	1	NA	NA	0	0	4.603
insomnia	ni-	16	1	NA	NA	0	0	4.848
insomnia	a	16	1	NA	NA	0	0	5.052
but	but	16	1	NA	NA	0	0	5.376
this	this	16	1	NA	NA	0	0	5.62
time	time	16	1	NA	NA	0	0	5.867
it	it	16	1	NA	NA	0	0	6.106
was	was	16	1	NA	NA	0	0	6.408
only	on-	16	1	1	1	0	0	6.578
only	ly	16	1	1	2	0	0	6.842
seconds	se-	16	1	1	3	0	0	7.104
seconds	conds	16	2	1	4	1	1	7.413
i	i	16	1	NA	NA	0	0	7.924
see	see	16	1	NA	NA	0	0	8.187
thermometers	ther-	16	1	NA	NA	0	0	8.413
thermometers	mo-	16	1	NA	NA	0	0	8.601
thermometers	me-	16	1	NA	NA	0	0	8.891
thermometers	ters	16	1	NA	NA	0	0	9.068
boil	boil	16	1	NA	NA	0	0	9.378
boil	boil	16	1	NA	NA	0	0	9.694
as	as	16	1	NA	NA	0	0	9.888
you	you	16	1	NA	NA	0	0	10.228
lay	lay	16	1	NA	NA	0	0	10.362
in	in	16	1	1	1	0	0	10.63
the	the	16	1	1	2	0	0	10.955
desert	de-	16	1	1	3	0	0	11.156
desert	sert	16	1	1	4	1	0	11.45
of	of	16	1	NA	NA	0	0	11.62
eternal	e-	16	1	NA	NA	0	0	11.833
eternal	ter-	16	1	NA	NA	0	0	12.074
eternal	nal	16	1	NA	NA	0	0	12.33
fire	fi-	16	1	2	1	0	0	12.601
fire	re	16	1	2	2	0	0	12.873
hate	hate	16	1	NA	NA	0	0	13.057
ya	ya	16	1	NA	NA	0	0	13.408
deny	de-	16	1	2	1	0	0	13.605
deny	ny	16	1	2	2	0	0	13.825
yourself	your-	16	1	NA	NA	0	0	14.187
yourself	self	16	1	NA	NA	0	0	14.404
of	of	16	1	1	1	0	0	14.713
a	a	16	1	1	2	0	0	14.85
blessing	bles-	16	1	1	3	0	0	15.177
blessing	sing	16	3	1	4	1	1	15.502
meanwhile	mean-	16	2	NA	NA	0	0	16.306
meanwhile	while	16	1	NA	NA	0	0	16.623
i'm	i'm	16	1	NA	NA	0	0	16.971
on	on	16	1	NA	NA	0	0	17.161
a	a	16	1	NA	NA	0	0	17.435
new	new	16	1	NA	NA	0	0	17.565
cloud	cloud	16	2	NA	NA	0	0	18.022
chunking	chunk-	16	1	NA	NA	0	0	18.455
chunking	ing	16	1	NA	NA	0	0	18.734
the	the	16	1	NA	NA	0	0	18.95
deuce	deuce	16	3	3	1	1	1	19.198
renewed	re-	16	1	NA	NA	0	0	20.11
renewed	newed	16	2	NA	NA	0	0	20.285
vows	vows	16	2	4	1	0	0	20.698
with	with	16	1	NA	NA	0	0	21.147
sinners	sin-	16	1	NA	NA	0	0	21.425
sinners	ners	16	1	NA	NA	0	0	21.641
homies	hom-	16	1	NA	NA	0	0	21.935
homies	ies	16	1	NA	NA	0	0	22.154
enemies	e-	16	1	NA	NA	0	0	22.43
enemies	ne-	16	1	NA	NA	0	0	22.645
enemies	mies	16	1	NA	NA	0	0	22.842
too	too	16	4	3	1	1	1	23.203
gold	gold	16	2	NA	NA	0	0	24.286
towel	towel	16	2	4	1	0	0	24.796
under	un-	16	1	NA	NA	0	0	25.121
under	der	16	1	NA	NA	0	0	25.415
my	my	16	1	NA	NA	0	0	25.629
feet	feet	16	2	NA	NA	0	0	25.987
clicking	click-	16	1	NA	NA	0	0	26.43
clicking	ing	16	1	NA	NA	0	0	26.652
the	the	16	1	NA	NA	0	0	26.877
fluke	fluke	16	2	3	1	1	0	27.275
with	with	16	1	NA	NA	0	0	27.646
a	a	16	1	NA	NA	0	0	27.798
thousand	thou-	16	1	4	1	0	0	28.013
thousand	sand	16	1	NA	NA	0	0	28.36
troops	troops	16	2	NA	NA	0	0	28.74
crip	crip	16	1	NA	NA	0	0	29.134
and	and	16	1	NA	NA	0	0	29.36
piru	pi-	16	1	NA	NA	0	0	29.635
piru	ru	16	2	3	1	0	0	30.009
nigga	nig-	16	1	NA	NA	0	0	30.391
nigga	ga	16	1	NA	NA	0	0	30.6
woop	woop	16	1	NA	NA	0	0	30.886
oop	oop	16	5	3	1	1	1	31.179
love	love	16	1	4	1	0	0	32.37
i	i	16	1	4	2	0	0	32.637
depend	de-	16	1	4	3	0	0	32.915
depend	pend	16	1	4	4	0	0	33.082
on	on	16	2	4	5	0	0	33.472
white	white	16	1	NA	NA	0	0	33.889
dubs	dubs	16	2	4	1	0	0	34.183
i	i	16	1	4	2	0	0	34.632
depend	de-	16	1	4	3	0	0	34.858
depend	pend	16	1	4	4	0	0	35.054
on	on	16	2	4	5	1	1	35.39
they	they	16	1	NA	NA	0	0	36.023
flying	fly-	16	1	NA	NA	0	0	36.364
flying	ing	16	1	NA	NA	0	0	36.472
through	through	16	1	NA	NA	0	0	36.854
this	this	16	1	NA	NA	0	0	36.955
end	end	16	1	4	4	0	0	37.199
zone	zone	16	2	4	5	0	0	37.527
that	that	16	1	NA	NA	0	0	37.903
meant	meant	16	1	4	4	0	0	38.204
on	on	16	2	4	5	0	0	38.47
to	to	16	1	NA	NA	0	0	38.866
vent	vent	16	1	4	4	0	0	39.12
on	on	16	2	4	5	1	0	39.39
so	so	16	1	NA	NA	0	0	39.905
listen	list-	16	1	5	1	0	0	40.1
listen	en	16	1	5	2	0	0	40.307
homie	ho-	16	1	5	3	0	0	40.606
homie	mie	16	2	5	4	0	1	40.84
you	you	16	1	NA	NA	0	0	41.459
miss	miss	16	1	5	1	0	0	41.684
me	me	16	1	5	2	0	0	41.931
with	with	16	1	NA	NA	0	0	42.144
that	that	16	1	NA	NA	0	0	42.38
bullshit	bull-	16	2	6	1	0	0	42.673
bullshit	shit	16	1	6	2	1	0	43.137
i	i	16	1	NA	NA	0	0	43.307
keep	keep	16	1	NA	NA	0	0	43.538
my	my	16	1	NA	NA	0	0	43.849
distance	dis-	16	1	5	1	0	0	44.042
distance	tance	16	1	5	2	0	0	44.308
homie	ho-	16	1	5	3	0	0	44.622
homie	mie	16	2	5	4	0	1	44.88
i'm	i'm	16	1	NA	NA	0	0	45.395
on	on	16	1	NA	NA	0	0	45.626
a	a	16	1	NA	NA	0	0	45.859
higher	high-	16	1	NA	NA	0	0	46.115
higher	er	16	1	NA	NA	0	0	46.386
pulpit	pul-	16	2	6	1	0	0	46.725
pulpit	pit	16	1	6	2	1	0	47.127
you	you	16	1	NA	NA	0	0	47.417
cannot	can-	16	1	NA	NA	0	0	47.638
cannot	not	16	1	NA	NA	0	0	47.856
visit	vi-	16	1	5	1	0	0	48.117
visit	sit	16	1	5	2	0	0	48.395
homie	ho-	16	1	5	3	0	0	48.674
homie	mie	16	2	5	4	0	1	48.937
i	i	16	1	NA	NA	0	0	49.37
mean	mean	16	1	NA	NA	0	0	49.648
the	the	16	1	NA	NA	0	0	49.957
beauty	beaut-	16	1	NA	NA	0	0	50.174
beauty	y	16	1	NA	NA	0	0	50.437
of	of	16	1	NA	NA	0	0	50.499
heaven	hea-	16	1	7	1	0	0	50.816
heaven	ven	16	1	7	2	1	0	51.123
is	is	16	1	NA	NA	0	0	51.334
far	far	16	1	NA	NA	0	0	51.612
for	for	16	1	NA	NA	0	0	51.968
me	me	16	1	NA	NA	0	0	52.169
not	not	16	1	NA	NA	0	0	52.348
to	to	16	1	NA	NA	0	0	52.626
