word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
as	as	16	1	NA	NA	0	0	-0.508
i	i	16	2	NA	NA	0	1	-0.146
play	play	16	1	NA	NA	0	0	0.443
out	out	16	1	NA	NA	0	0	0.58
the	the	16	1	NA	NA	0	0	0.939
commodores	com-	16	1	1	1	0	0	1.133
commodores	mo-	16	1	1	2	0	0	1.4
commodores	dores	16	5	1	3	0	1	1.601
my	my	16	1	NA	NA	0	0	2.913
faith	faith	16	1	1	1	0	0	3.107
destroyed	des-	16	1	1	2	0	0	3.425
destroyed	troyed	16	5	1	3	1	1	3.581
my	my	16	1	NA	NA	0	0	4.942
heart	heart	16	1	NA	NA	0	0	5.09
don't	don't	16	1	NA	NA	0	0	5.401
work	work	16	5	NA	NA	0	1	5.593
i'm	i'm	16	1	NA	NA	0	0	6.934
unemployed	un-	16	1	1	1	0	0	7.072
unemployed	em-	16	1	1	2	0	0	7.351
unemployed	ployed	16	5	1	3	1	1	7.596
the	the	16	1	NA	NA	0	0	8.999
feeling	feel-	24	1	1	1	0	0	9.115
feeling	ing	24	1	NA	NA	0	0	9.196
is	is	24	1	1	2	0	0	9.318
void	void	16	5	1	3	0	1	9.613
don't	don't	16	1	NA	NA	0	0	10.932
know	know	24	1	NA	NA	0	0	11.101
what	what	24	1	NA	NA	0	0	11.257
i	i	16	1	NA	NA	0	0	11.333
need	need	16	5	2	1	1	1	11.595
some	some	24	1	NA	NA	0	0	12.894
pussy	pus-	24	1	NA	NA	0	0	13.012
pussy	sy	24	1	NA	NA	0	0	13.185
some	some	24	1	NA	NA	0	0	13.359
paper	pa-	24	1	NA	NA	0	0	13.57
paper	per	24	1	NA	NA	0	0	13.69
some	some	24	1	NA	NA	0	0	13.863
counseling	coun-	24	1	NA	NA	0	0	14.033
counseling	se-	24	1	NA	NA	0	0	14.225
counseling	ling	24	1	NA	NA	0	0	14.337
maybe	may-	24	1	NA	NA	0	0	14.526
maybe	be	24	1	NA	NA	0	0	14.68
some	some	24	1	NA	NA	0	0	14.853
henny	hen-	24	1	NA	NA	0	0	15.044
henny	ny	24	1	NA	NA	0	0	15.173
some	some	24	1	NA	NA	0	0	15.362
weed	weed	16	5	2	1	1	1	15.578
i'm	i'm	16	1	NA	NA	0	0	16.87
looking	look-	24	1	NA	NA	0	0	17.016
looking	ing	24	1	NA	NA	0	0	17.146
for	for	24	1	NA	NA	0	0	17.319
you	you	16	5	NA	NA	0	1	17.537
i'm	i'm	16	1	NA	NA	0	0	18.859
checking	check-	24	1	NA	NA	0	0	19.09
checking	ing	24	1	NA	NA	0	0	19.21
for	for	24	1	NA	NA	0	0	19.401
her	her	16	5	3	1	1	1	19.579
i'm	i'm	16	1	NA	NA	0	0	20.884
parking	park-	24	1	NA	NA	0	0	21.044
parking	ing	24	1	NA	NA	0	0	21.215
lot	lot	24	1	NA	NA	0	0	21.33
pimpin'	pimp-	24	1	4	1	0	0	21.555
pimpin'	in'	24	1	4	2	0	0	21.686
i'm	i'm	24	1	NA	NA	0	0	21.836
honking	hon-	24	1	NA	NA	0	0	22.022
honking	king	24	1	NA	NA	0	0	22.182
at	at	24	1	NA	NA	0	0	22.303
women	wo-	24	1	4	1	0	0	22.531
women	men	24	1	4	2	0	0	22.66
i'm	i'm	24	1	NA	NA	0	0	22.823
all	all	24	1	NA	NA	0	0	22.993
on	on	24	1	NA	NA	0	0	23.153
the	the	24	1	NA	NA	0	0	23.377
curb	curb	16	2	3	1	1	1	23.545
skirt	skirt	16	2	3	1	0	0	24.037
skirt	skirt	16	2	3	1	0	0	24.522
skirt	skirt	16	2	3	1	0	1	25.036
pump	pump	24	2	5	1	0	0	25.645
my	my	24	1	5	2	0	0	25.93
brake	brake	16	2	5	3	0	0	26.109
pump	pump	24	2	5	1	0	0	26.676
my	my	24	1	5	2	0	0	26.93
brake	brake	16	2	5	3	1	1	27.148
mini	mi-	24	1	NA	NA	0	0	27.667
mini	ni	24	2	NA	NA	0	1	27.826
skirt	skirt	16	2	3	1	0	0	28.214
skirt	skirt	16	2	3	1	0	0	28.692
skirt	skirt	24	2	3	1	0	1	29.124
don't	don't	24	1	NA	NA	0	0	29.598
walk	walk	24	2	5	1	0	0	29.759
away	a-	24	1	5	2	0	0	29.958
away	way	16	2	5	3	0	1	30.165
walk	walk	24	2	5	1	0	0	30.747
away	a-	24	1	5	2	0	0	30.99
away	way	16	2	5	3	1	0	31.166
i'm	i'm	16	2	NA	NA	0	1	31.611
fishing	fish-	24	1	6	1	0	0	32.063
fishing	ing	24	1	6	2	0	0	32.206
for	for	24	1	NA	NA	0	0	32.346
compliments	com-	24	1	7	1	0	0	32.49
compliments	pli-	24	1	7	2	0	0	32.691
compliments	ments	24	7	7	3	0	1	32.852
this	this	24	1	6	1	0	0	34.065
is	is	24	1	6	2	0	0	34.17
a	a	24	1	NA	NA	0	0	34.352
fairy	fair-	24	1	8	1	0	0	34.527
fairy	y	24	1	8	2	0	0	34.641
tale	tale	24	1	8	3	0	0	34.837
i	i	24	1	NA	NA	0	0	34.977
know	know	24	1	NA	NA	0	0	35.188
you	you	24	1	NA	NA	0	0	35.327
very	ve-	24	1	8	1	0	0	35.501
very	ry	24	1	8	2	0	0	35.639
well	well	24	1	8	3	1	0	35.822
fuck	fuck	24	1	NA	NA	0	0	36.015
all	all	24	1	NA	NA	0	0	36.118
your	your	24	1	NA	NA	0	0	36.313
promises	pro-	24	1	7	1	0	0	36.511
promises	mi-	24	1	7	2	0	0	36.637
promises	ses	24	7	7	3	0	1	36.838
i	i	24	1	NA	NA	0	0	38.055
know	know	24	1	NA	NA	0	0	38.221
what	what	24	1	NA	NA	0	0	38.355
time	time	24	1	7	1	0	0	38.519
it	it	24	1	7	2	0	0	38.664
is	is	24	7	7	3	1	1	38.814
i'm	i'm	24	1	NA	NA	0	0	39.935
just	just	24	1	NA	NA	0	0	40.185
a	a	24	1	NA	NA	0	0	40.325
realist	real-	24	1	8	1	0	0	40.57
realist	ist	24	8	8	2	0	1	40.68
i	i	24	1	NA	NA	0	0	42.025
am	am	24	1	NA	NA	0	0	42.162
the	the	24	1	NA	NA	0	0	42.371
realest	real-	24	1	8	1	0	0	42.604
realest	est	24	7	8	2	1	1	42.727
reality	re-	24	1	9	1	0	0	43.949
reality	al-	24	1	9	2	0	0	44.047
reality	i-	24	1	9	3	0	0	44.202
reality	ty	24	1	9	4	0	0	44.365
is	is	24	2	NA	NA	0	0	44.631
fatality	fa-	24	1	9	1	0	0	44.899
fatality	ta-	24	1	9	2	0	0	45.04
fatality	li-	24	1	9	3	0	0	45.167
fatality	ty	24	1	9	4	0	0	45.315
cursed	cursed	24	1	NA	NA	0	0	45.548
on	on	24	1	NA	NA	0	0	45.657
the	the	24	1	NA	NA	0	0	45.855
future	fut-	24	1	NA	NA	0	0	46.001
future	ure	24	1	NA	NA	0	0	46.114
for	for	24	1	NA	NA	0	0	46.308
family	fam-	24	1	NA	NA	0	0	46.496
family	il-	24	1	NA	NA	0	0	46.657
family	y	24	1	NA	NA	0	0	46.773
wife	wife	24	1	NA	NA	0	0	47.021
and	and	24	1	NA	NA	0	0	47.196
some	some	24	1	NA	NA	0	0	47.35
kids	kids	24	8	NA	NA	1	1	47.537
i'm	i'm	24	1	NA	NA	0	0	48.827
looking	look-	24	1	NA	NA	0	0	49.057
looking	ing	24	1	NA	NA	0	0	49.137
for	for	24	1	NA	NA	0	0	49.319
you	you	24	8	NA	NA	0	1	49.533
i'm	i'm	24	1	NA	NA	0	0	50.878
checking	check-	24	1	NA	NA	0	0	51.067
checking	ing	24	1	NA	NA	0	0	51.215
for	for	24	1	NA	NA	0	0	51.374
her	her	24	8	10	1	1	1	51.582
i'm	i'm	24	1	NA	NA	0	0	52.857
parking	park-	24	1	NA	NA	0	0	53.035
