word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
sometimes	some-	16	1	NA	NA	0	0	0.458
sometimes	times	16	2	NA	NA	0	0	0.736
i	i	16	1	NA	NA	0	0	1.132
look	look	16	1	NA	NA	0	0	1.317
in	in	16	1	NA	NA	0	0	1.528
the	the	16	1	NA	NA	0	0	1.711
mirror	mir-	16	1	1	1	0	0	1.938
mirror	ror	16	1	1	2	0	0	2.136
and	and	16	1	NA	NA	0	0	2.364
ask	ask	16	1	NA	NA	0	0	2.616
myself	my-	16	1	NA	NA	0	0	2.998
myself	self	16	1	NA	NA	1	0	3.252
what	what	16	1	NA	NA	0	0	3.577
i'm	i'm	16	1	NA	NA	0	0	3.662
scared	scared	16	1	1	1	0	0	4.03
of	of	16	1	1	2	0	0	4.256
how	how	16	1	NA	NA	0	0	4.496
dare	dare	16	1	1	1	0	0	4.708
the	the	16	1	1	2	0	0	5.09
media	me-	16	1	2	1	0	0	5.259
media	di-	16	1	2	2	0	0	5.443
media	a	16	1	NA	NA	0	0	5.629
portray	por-	16	1	NA	NA	0	0	5.895
portray	tray	16	1	NA	NA	0	0	6.192
me	me	16	1	NA	NA	0	0	6.432
this	this	16	1	NA	NA	0	0	6.616
way	way	16	1	NA	NA	1	0	6.896
i	i	16	1	NA	NA	0	0	7.119
can	can	16	1	NA	NA	0	0	7.379
hear	hear	16	1	1	1	0	0	7.62
the	the	16	4	1	2	0	1	7.917
crowd	crowd	16	2	NA	NA	0	0	8.835
screaming	scream-	24	1	2	1	0	0	9.344
screaming	ing	24	1	2	2	0	0	9.483
the	the	24	1	NA	NA	0	0	9.683
weirdest	weird-	16	1	1	1	0	0	9.966
weirdest	est	16	1	1	2	0	0	10.164
of	of	16	1	NA	NA	0	0	10.376
chants	chants	16	2	NA	NA	1	1	10.63
they	they	16	1	NA	NA	0	0	11.21
all	all	24	1	NA	NA	0	0	11.328
in	in	24	1	NA	NA	0	0	11.544
my	my	24	1	NA	NA	0	0	11.804
era	e-	16	1	1	1	0	0	11.976
era	ra	16	2	1	2	0	1	12.284
artist	ar-	16	1	NA	NA	0	0	12.638
artist	tist	16	1	NA	NA	0	0	13.006
of	of	16	1	NA	NA	0	0	13.217
era	e-	16	1	1	1	0	0	13.344
era	ra	16	1	1	2	0	0	13.64
role	role	16	1	NA	NA	0	0	13.952
model	mo-	16	1	NA	NA	0	0	14.291
model	del	16	1	NA	NA	0	0	14.461
i	i	16	1	NA	NA	0	0	14.616
can't	can't	16	2	NA	NA	1	1	14.963
it's	it's	16	1	NA	NA	0	0	15.578
like	like	16	1	NA	NA	0	0	15.846
i'm	i'm	16	1	NA	NA	0	0	16.044
a	a	16	1	NA	NA	0	0	16.173
parrot	par-	16	1	1	1	0	0	16.468
parrot	rot	16	2	1	2	0	1	16.723
apparently	ap-	16	1	NA	NA	0	0	17.132
apparently	pa-	24	1	1	1	0	0	17.344
apparently	rent-	24	1	1	2	0	0	17.599
apparently	ly	24	1	NA	NA	0	0	17.797
i'm	i'm	16	1	NA	NA	0	0	17.933
marking	mar-	16	1	NA	NA	0	0	18.207
marking	king	16	1	NA	NA	0	0	18.503
the	the	16	1	NA	NA	0	0	18.667
dance	dance	16	3	3	1	1	1	18.919
i	i	16	1	NA	NA	0	0	19.804
seen	seen	16	1	NA	NA	0	0	20.101
done	done	16	2	NA	NA	0	0	20.454
with	with	16	1	NA	NA	0	0	20.85
the	the	16	1	NA	NA	0	0	21.034
devil	de-	16	1	NA	NA	0	0	21.231
devil	vil	16	1	NA	NA	0	0	21.443
such	such	16	1	NA	NA	0	0	21.726
a	a	16	1	NA	NA	0	0	21.981
ghetto	ghet-	16	1	NA	NA	0	0	22.207
ghetto	to	16	1	NA	NA	0	0	22.391
romance	ro-	16	1	NA	NA	0	0	22.645
romance	mance	16	2	3	1	1	1	22.899
how	how	24	1	NA	NA	0	0	23.564
many	ma-	24	1	NA	NA	0	0	23.718
many	ny	24	1	NA	NA	0	0	23.917
niggas	nig-	16	1	4	1	0	0	24.158
niggas	gas	16	1	4	2	0	0	24.387
fall	fall	16	1	NA	NA	0	0	24.615
victim	vict-	16	1	NA	NA	0	0	24.875
victim	im	16	1	NA	NA	0	0	25.161
looking	look-	32	1	NA	NA	0	0	25.373
looking	ing	32	1	NA	NA	0	0	25.486
at	at	16	1	NA	NA	0	0	25.599
you	you	16	1	NA	NA	0	0	25.91
trapped	trapped	16	1	NA	NA	0	0	26.164
in	in	16	1	NA	NA	0	0	26.376
the	the	16	1	NA	NA	0	0	26.631
system	sys-	16	1	4	1	0	0	26.885
system	tem	16	1	4	2	1	0	27.112
mentally	ment-	32	1	NA	NA	0	0	27.331
mentally	al-	32	1	NA	NA	0	0	27.496
mentally	ly	16	1	NA	NA	0	0	27.649
they	they	16	1	NA	NA	0	0	27.861
kept	kept	16	1	NA	NA	0	0	28.115
you	you	16	1	NA	NA	0	0	28.395
in	in	16	1	NA	NA	0	0	28.652
prison	pris-	16	1	4	1	0	0	28.899
prison	on	16	1	4	2	0	0	29.131
and	and	32	1	NA	NA	0	0	29.331
you	you	32	1	NA	NA	0	0	29.514
won't	won't	16	1	NA	NA	0	0	29.613
get	get	16	1	NA	NA	0	0	29.854
out	out	16	1	5	1	0	0	30.08
no	no	16	1	NA	NA	0	0	30.377
one	one	16	1	NA	NA	0	0	30.645
visit	vi-	16	1	4	1	0	0	30.885
visit	sit	16	1	4	2	1	0	31.14
open	o-	32	1	NA	NA	0	0	31.338
open	pen	32	1	NA	NA	0	0	31.481
up	up	16	1	NA	NA	0	0	31.608
your	your	16	1	NA	NA	0	0	31.875
mouth	mouth	16	1	5	1	0	0	32.115
no	no	16	1	NA	NA	0	0	32.412
one	one	16	1	NA	NA	0	0	32.634
listen	list-	16	1	4	1	0	0	32.88
listen	en	16	1	4	2	0	0	33.161
you	you	16	1	NA	NA	0	0	33.458
in	in	16	1	NA	NA	0	0	33.632
denial	de-	16	1	6	1	0	0	33.945
denial	ni-	16	1	6	2	0	0	34.19
denial	al	16	1	6	3	0	0	34.417
nigga	nig-	16	1	6	4	0	0	34.74
nigga	ga	16	2	6	5	1	1	34.977
i'm	i'm	16	1	NA	NA	0	0	35.606
in	in	16	1	NA	NA	0	0	35.783
denial	de-	16	1	6	1	0	0	36.03
denial	ni-	16	1	6	2	0	0	36.243
denial	al	16	1	6	3	0	0	36.437
with	with	16	1	6	4	0	0	36.731
you	you	16	1	6	5	0	0	36.938
i	i	16	1	NA	NA	0	0	37.218
dial	di-	16	1	6	1	0	0	37.472
dial	al	16	1	6	2	0	0	37.645
dead	dead	16	1	6	3	0	0	37.995
homies	hom-	16	1	NA	NA	0	0	38.306
homies	ies	16	1	NA	NA	0	0	38.504
numbers	numb-	16	1	NA	NA	0	0	38.787
numbers	ers	16	1	NA	NA	0	0	38.999
off	off	16	1	NA	NA	0	0	39.211
this	this	16	1	NA	NA	0	0	39.522
liquor	li-	16	1	6	4	0	0	39.759
liquor	quor	16	5	6	5	1	1	40.059
time	time	16	1	NA	NA	0	0	41.342
and	and	16	1	NA	NA	0	0	41.534
time	time	16	1	NA	NA	0	0	41.812
again	a-	16	1	NA	NA	0	0	42.094
again	gain	16	1	NA	NA	0	0	42.307
i	i	16	1	NA	NA	0	0	42.532
find	find	16	1	NA	NA	0	0	42.773
myself	my-	16	1	NA	NA	0	0	43.055
myself	self	16	1	NA	NA	0	0	43.31
inside	in-	16	1	NA	NA	0	0	43.593
inside	side	16	1	NA	NA	0	0	43.847
the	the	16	1	NA	NA	0	0	44.2
cerebellum	ce-	16	1	NA	NA	0	0	44.398
cerebellum	re-	16	1	NA	NA	0	0	44.525
cerebellum	bel-	16	1	7	1	0	0	44.851
cerebellum	lum	16	1	7	2	1	0	45.051
of	of	16	1	NA	NA	0	0	45.275
several	seve-	16	1	NA	NA	0	0	45.515
several	ral	16	1	NA	NA	0	0	45.741
felons	fe-	16	1	7	1	0	0	46.01
felons	lons	16	1	7	2	0	0	46.236
orion's	o-	16	1	NA	NA	0	0	46.49
orion's	ri-	16	1	NA	NA	0	0	46.73
orion's	on's	16	1	NA	NA	0	0	46.887
belt	belt	16	1	7	1	0	0	47.211
couldn't	could-	16	1	7	2	0	0	47.53
couldn't	n't	16	1	NA	NA	0	0	47.69
live	live	16	1	NA	NA	0	0	47.909
in	in	16	1	NA	NA	0	0	48.172
my	my	16	1	NA	NA	0	0	48.37
world	world	16	1	NA	NA	1	0	48.619
i	i	16	1	NA	NA	0	0	48.879
seen	seen	16	1	NA	NA	0	0	49.19
tigers	ti-	16	1	NA	NA	0	0	49.489
tigers	gers	16	1	NA	NA	0	0	49.741
lions	li-	16	1	8	1	0	0	49.996
lions	ons	16	1	8	2	0	0	50.135
let	let	16	1	NA	NA	0	0	50.419
loose	loose	16	1	9	1	0	0	50.688
and	and	16	1	NA	NA	0	0	50.9
spooked	spooked	16	1	9	1	0	0	51.254
i'm	i'm	16	1	NA	NA	0	0	51.55
next	next	16	1	NA	NA	0	0	51.726
door	door	16	1	NA	NA	0	0	51.997
to	to	16	1	NA	NA	0	0	52.229
earl	earl	16	3	NA	NA	1	1	52.375
i	i	16	1	NA	NA	0	0	53.105
guess	guess	16	1	NA	NA	0	0	53.303
i	i	16	1	NA	NA	0	0	53.49
rely	re-	16	1	NA	NA	0	0	53.716
rely	ly	16	1	8	1	0	0	53.917
on	on	16	1	8	2	0	0	54.095
jesus	je-	16	1	9	1	0	0	54.343
jesus	sus	16	1	NA	NA	0	0	54.683
to	to	16	1	NA	NA	0	0	55.056
save	save	16	1	10	1	0	0	55.24
us	us	16	1	10	2	1	0	55.494
before	be-	16	1	NA	NA	0	0	55.734
before	fore	16	1	NA	NA	0	0	55.989
i	i	16	1	NA	NA	0	0	56.178
refer	re-	16	1	NA	NA	0	0	56.469
refer	fer	16	1	NA	NA	0	0	56.695
the	the	16	1	NA	NA	0	0	56.851
madness	mad-	16	1	NA	NA	0	0	57.275
madness	ness	16	1	NA	NA	0	0	57.558
my	my	16	1	NA	NA	0	0	57.761
neighbors	neigh-	16	1	10	1	0	0	57.967
neighbors	bors	16	1	10	2	0	0	58.264
witness	wit-	16	1	NA	NA	0	0	58.561
witness	ness	16	1	NA	NA	0	0	58.759
ski	ski	16	1	NA	NA	0	0	58.961
masks	masks	16	2	11	1	1	0	59.197
the	the	16	1	NA	NA	0	0	59.69
masses	mas-	16	1	11	1	0	0	59.918
masses	ses	16	1	NA	NA	0	0	60.059
don't	don't	16	1	NA	NA	0	0	60.455
know	know	16	1	NA	NA	0	1	60.724
i'm	i'm	16	1	NA	NA	0	0	61.067
packing	pac-	16	1	11	1	0	0	61.332
packing	king	16	1	11	2	0	0	61.586
this	this	16	1	11	3	0	0	61.727
four	four	16	3	11	4	0	1	62.01
and	and	16	1	NA	NA	0	0	62.844
harassing	ha-	16	1	NA	NA	0	0	63.062
harassing	ras-	16	1	11	1	0	0	63.191
harassing	sing	16	1	11	2	0	0	63.501
your	your	16	1	11	3	0	0	63.67
ho	ho	16	1	11	4	1	1	63.932
antagonizing	an-	16	1	NA	NA	0	0	64.696
antagonizing	ta-	16	1	11	1	0	0	64.892
antagonizing	gon-	16	1	11	2	0	0	65.174
antagonizing	i-	16	1	NA	NA	0	0	65.296
antagonizing	zing	16	1	NA	NA	0	0	65.562
the	the	16	1	NA	NA	0	0	65.77
business	busi-	16	1	12	1	0	0	65.971
business	ness	16	1	12	2	0	0	66.295
you	you	16	1	NA	NA	0	0	66.547
love	love	16	1	NA	NA	0	0	66.672
the	the	16	1	11	3	0	0	67
most	most	16	1	11	4	1	0	67.197
see	see	16	1	NA	NA	0	0	67.579
the	the	16	1	NA	NA	0	0	67.72
difference	dif-	16	1	12	1	0	0	67.947
difference	ence	16	1	12	2	0	0	68.258
to	to	16	1	NA	NA	0	0	68.47
my	my	16	1	NA	NA	0	0	68.696
approach	ap-	16	1	11	3	0	0	68.88
approach	proach	16	1	11	4	0	0	69.162
is	is	16	1	NA	NA	0	0	69.544
a	a	16	1	NA	NA	0	0	69.65
forty	for-	16	1	NA	NA	0	0	69.897
forty	ty	16	1	NA	NA	0	0	70.111
ounce	ounce	16	1	11	1	0	0	70.332
at	at	16	1	11	2	0	0	70.675
the	the	16	1	11	3	0	0	71.169
store	store	16	1	11	4	1	1	71.381
if	if	16	1	NA	NA	0	0	71.48
a	a	16	1	NA	NA	0	0	71.692
forty	for-	16	1	NA	NA	0	0	71.947
forty	ty	16	1	NA	NA	0	0	72.145
bounce	bounce	16	1	11	1	0	0	72.385
to	to	16	1	11	2	0	0	72.738
get	get	16	1	11	3	0	0	72.936
no	no	16	1	11	4	0	0	73.215
i	i	16	1	NA	NA	0	0	73.516
never	ne-	16	1	NA	NA	0	0	73.728
never	ver	16	1	NA	NA	0	0	73.926
learn	learn	16	1	NA	NA	0	0	74.136
i'm	i'm	16	1	NA	NA	0	0	74.49
hard	hard	16	2	NA	NA	0	0	74.788
headed	head-	16	1	12	1	0	0	75.24
headed	ed	16	1	12	2	1	0	75.452
the	the	16	1	NA	NA	0	0	75.664
corporate	cor-	16	1	NA	NA	0	0	75.904
corporate	ate	16	1	NA	NA	0	0	76.116
world	world	16	2	NA	NA	0	0	76.473
don't	don't	16	1	NA	NA	0	0	76.908
like	like	16	1	NA	NA	0	0	77.177
it	it	16	1	NA	NA	0	0	77.473
but	but	16	1	NA	NA	0	0	77.728
i	i	16	1	NA	NA	0	0	77.841
said	said	16	1	12	1	0	0	78.208
it	it	16	1	12	2	1	1	78.339
