word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
life	life	24	1	NA	NA	0	0	0.03
won't	won't	24	1	1	2	0	0	0.283
get	get	24	1	1	3	0	0	0.452
you	you	24	1	1	4	0	0	0.627
high	high	24	1	1	5	0	0	0.736
like	like	24	1	1	6	0	0	0.948
this	this	24	1	1	7	0	0	1.155
here	here	24	2	1	8	0	0	1.35
no	no	16	2	1	9	1	1	1.659
he	he	24	1	1	1	0	0	2.166
won't	won't	24	1	1	2	0	0	2.274
get	get	24	1	1	3	0	0	2.452
you	you	24	1	1	4	0	0	2.637
high	high	24	1	1	5	0	0	2.77
like	like	24	1	1	6	0	0	2.944
this	this	24	1	1	7	0	0	3.145
here	here	24	2	1	8	0	0	3.322
no	no	16	2	1	9	1	1	3.634
she	she	24	1	1	1	0	0	4.173
won't	won't	24	1	1	2	0	0	4.328
get	get	24	1	1	3	0	0	4.517
you	you	24	1	1	4	0	0	4.664
high	high	24	1	1	5	0	0	4.781
like	like	24	1	1	6	0	0	4.967
this	this	24	1	1	7	0	0	5.163
here	here	24	2	1	8	0	0	5.373
no	no	24	2	1	9	1	1	5.647
for	for	24	1	NA	NA	0	0	5.975
free	free	24	1	1	1	0	0	6.165
won't	won't	24	1	1	2	0	0	6.334
get	get	24	1	1	3	0	0	6.47
you	you	24	1	1	4	0	0	6.661
high	high	24	1	1	5	0	0	6.872
like	like	24	1	1	6	0	0	6.946
this	this	24	1	1	7	0	0	7.062
here	here	24	2	1	8	0	0	7.326
no	no	24	2	1	9	1	1	7.624
two	two	24	1	NA	NA	0	0	7.97
keys	keys	24	1	1	1	0	0	8.129
won't	won't	24	1	1	2	0	0	8.372
get	get	24	1	1	3	0	0	8.53
you	you	24	1	1	4	0	0	8.71
high	high	24	3	1	5	0	1	8.815
no	no	24	1	2	1	0	0	9.216
no	no	24	1	2	2	0	0	9.364
no	no	24	2	2	3	1	1	9.553
bentleys	bent-	24	1	NA	NA	0	0	9.903
bentleys	leys	24	1	1	1	0	0	10.082
won't	won't	24	1	1	2	0	0	10.336
get	get	24	1	1	3	0	0	10.47
you	you	24	1	1	4	0	0	10.664
high	high	24	1	1	5	0	0	10.826
like	like	24	4	NA	NA	0	0	11.15
no	no	16	10	NA	NA	1	1	11.551
levitate	le-	32	1	3	1	0	0	14.02
levitate	vi-	32	1	3	2	0	0	14.136
levitate	tate	32	2	3	3	0	0	14.308
levitate	le-	32	1	3	1	0	0	14.535
levitate	vi-	32	1	3	2	0	0	14.633
levitate	tate	32	2	3	3	0	0	14.784
levitate	le-	32	1	3	1	0	0	15.022
levitate	vi-	32	1	3	2	0	0	15.137
levitate	tate	32	2	3	3	0	0	15.303
levitate	le-	32	1	3	1	0	0	15.531
levitate	vi-	32	1	3	2	0	0	15.631
levitate	tate	32	2	3	3	1	1	15.784
life	life	24	1	NA	NA	0	0	16.038
won't	won't	24	1	1	2	0	0	16.26
get	get	24	1	1	3	0	0	16.417
you	you	24	1	1	4	0	0	16.614
high	high	24	3	1	5	0	0	16.828
no	no	24	1	2	1	0	0	17.147
