word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
visualize	vi-	16	1	1	1	0	0	0.666
visualize	sual-	16	1	1	2	0	0	0.928
visualize	ize	16	1	1	3	0	0	1.142
everything	eve-	16	1	NA	NA	0	0	1.449
everything	ry-	16	1	NA	NA	0	0	1.65
everything	thing	16	1	NA	NA	0	0	1.825
i	i	16	1	NA	NA	0	0	2.207
needed	need-	16	1	2	1	0	0	2.521
needed	ed	16	1	2	2	0	0	2.791
and	and	16	1	NA	NA	0	0	2.982
dream	dream	16	5	2	3	1	1	3.324
penalized	pe-	16	1	1	1	0	0	4.247
penalized	nal-	16	1	1	2	0	0	4.439
penalized	ized	16	1	1	3	0	0	4.716
every	ev-	16	1	NA	NA	0	0	5.168
every	ry	16	1	NA	NA	0	0	5.412
ho	ho	16	1	NA	NA	0	0	5.656
nigga	nig-	16	1	NA	NA	0	0	6.043
nigga	ga	16	1	NA	NA	0	0	6.209
that	that	16	1	NA	NA	0	0	6.504
have	have	16	1	2	1	0	0	6.66
a	a	16	1	2	2	0	0	6.863
scheme	scheme	16	4	2	3	1	1	7.314
guns	guns	16	2	NA	NA	0	0	8.251
in	in	16	1	NA	NA	0	0	8.628
your	your	16	1	NA	NA	0	0	8.941
video	vi-	16	1	NA	NA	0	0	9.213
video	de-	16	1	NA	NA	0	0	9.394
video	o	16	1	NA	NA	0	0	9.596
get	get	16	1	NA	NA	0	0	9.9
you	you	16	1	NA	NA	0	0	10.092
locked	locked	16	1	NA	NA	0	0	10.364
in	in	16	1	NA	NA	0	0	10.719
a	a	16	1	NA	NA	0	0	10.88
bing	bing	16	2	NA	NA	1	0	11.135
me	me	16	1	NA	NA	0	0	11.71
i	i	16	1	NA	NA	0	0	11.796
kill	kill	16	1	NA	NA	0	0	12.297
a	a	16	1	NA	NA	0	0	12.438
nigga	nig-	16	1	NA	NA	0	0	12.736
nigga	ga	16	1	NA	NA	0	0	12.86
quick	quick	16	2	NA	NA	0	0	13.282
no	no	16	1	NA	NA	0	0	13.616
worries	wor-	16	1	NA	NA	0	0	13.929
worries	ries	16	1	NA	NA	0	0	14.123
my	my	16	1	NA	NA	0	0	14.494
record	re-	16	1	2	1	0	0	14.653
record	cord	16	1	2	2	0	0	14.891
clean	clean	16	4	2	3	0	1	15.251
murder	mur-	16	1	NA	NA	0	0	16.169
murder	der	16	1	NA	NA	1	0	16.392
one	one	16	1	NA	NA	0	0	16.679
become	be-	16	1	NA	NA	0	0	17.01
become	come	16	1	NA	NA	0	0	17.204
manslaughter	man-	16	2	NA	NA	0	0	17.546
manslaughter	slaugh-	16	1	NA	NA	0	0	17.861
manslaughter	ter	16	1	NA	NA	0	0	18.205
soon	soon	16	1	NA	NA	0	0	18.515
as	as	16	1	NA	NA	0	0	18.682
they	they	16	1	NA	NA	0	0	18.975
brought	brought	16	1	3	1	0	0	19.278
up	up	16	3	3	2	1	1	19.468
charity	cha-	16	1	NA	NA	0	0	20.282
charity	ri-	16	1	NA	NA	0	0	20.539
charity	ty	16	1	NA	NA	0	0	20.696
work	work	16	2	NA	NA	0	0	21.001
parking	park-	16	1	NA	NA	0	0	21.443
parking	ing	16	1	NA	NA	0	0	21.653
tickets	tick-	16	1	NA	NA	0	0	21.95
tickets	ets	16	1	NA	NA	0	0	22.233
and	and	16	1	NA	NA	0	0	22.421
no	no	16	2	NA	NA	0	0	22.783
charges	char-	16	1	3	1	0	0	23.149
charges	ges	16	6	3	2	1	1	23.475
fuck	fuck	16	2	NA	NA	0	0	24.85
nigga	nig-	16	1	NA	NA	0	0	25.332
nigga	ga	16	1	NA	NA	0	0	25.488
you	you	16	1	NA	NA	0	0	25.703
fucked	fucked	16	1	NA	NA	0	0	26.047
over	o-	16	1	NA	NA	0	0	26.355
over	ver	16	1	NA	NA	0	0	26.526
your	your	16	1	NA	NA	0	0	26.769
father	fa-	16	1	NA	NA	0	0	27.198
father	ther	16	1	NA	NA	0	0	27.503
when	when	16	1	NA	NA	0	0	27.727
he	he	16	1	NA	NA	0	0	27.99
gave	gave	16	1	NA	NA	0	0	28.25
you	you	16	1	NA	NA	0	0	28.545
a	a	16	1	NA	NA	0	0	28.598
dick	dick	16	2	NA	NA	1	0	28.995
should	should	16	1	NA	NA	0	0	29.486
a	a	16	1	NA	NA	0	0	29.584
been	been	16	1	NA	NA	0	0	29.802
a	a	16	1	NA	NA	0	0	30.076
bitch	bitch	16	1	NA	NA	0	0	30.39
in	in	16	1	NA	NA	0	0	30.673
pajamas	pa-	16	1	NA	NA	0	0	30.998
pajamas	ja-	16	1	3	1	0	0	31.226
pajamas	mas	16	4	3	2	1	1	31.559
i	i	16	1	NA	NA	0	0	32.375
made	made	16	1	NA	NA	0	0	32.618
my	my	16	1	NA	NA	0	0	32.874
first	first	16	2	NA	NA	0	0	33.199
million	mil-	16	1	NA	NA	0	0	33.65
million	lion	16	1	NA	NA	0	0	33.819
fucking	fuck-	16	1	NA	NA	0	0	34.154
fucking	ing	16	1	NA	NA	0	0	34.348
dollars	dol-	16	1	4	1	0	0	34.637
dollars	lars	16	3	4	2	1	1	34.894
bought	bought	16	1	NA	NA	0	0	35.706
a	a	16	1	NA	NA	0	0	35.934
bible	bi-	16	1	4	1	0	0	36.225
bible	ble	16	2	4	2	0	0	36.573
oh	oh	16	2	NA	NA	0	0	36.802
yeah	yeah	16	3	NA	NA	0	0	37.322
god	god	16	2	NA	NA	0	0	38.237
got	got	16	1	4	1	0	0	38.72
me	me	16	3	4	2	1	1	39.029
made	made	16	1	NA	NA	0	0	39.639
my	my	16	1	NA	NA	0	0	39.882
second	se-	16	1	NA	NA	0	0	40.239
second	cond	16	1	NA	NA	0	0	40.474
million	mil-	16	1	NA	NA	0	0	40.727
million	lion	16	1	NA	NA	0	0	40.967
dollars	dol-	16	1	4	1	0	0	41.192
dollars	lars	16	1	4	2	0	0	41.419
bought	bought	16	1	NA	NA	0	0	41.751
a	a	16	1	NA	NA	0	0	41.906
chopper	chop-	16	1	4	1	0	0	42.267
chopper	per	16	1	4	2	0	0	42.445
and	and	16	1	NA	NA	0	0	42.609
binocular	bi-	16	1	NA	NA	0	0	42.943
binocular	no-	16	1	4	1	0	0	43.14
binocular	cu-	16	1	4	2	0	0	43.306
binocular	lar	16	1	NA	NA	1	0	43.439
i'm	i'm	16	1	NA	NA	0	0	43.572
scared	scared	16	3	NA	NA	0	0	44.169
this	this	16	1	NA	NA	0	0	44.749
shit	shit	16	1	NA	NA	0	0	44.998
don't	don't	16	1	NA	NA	0	0	45.237
happen	hap-	24	1	NA	NA	0	0	45.468
happen	pen	24	1	NA	NA	0	0	45.671
to	to	24	1	NA	NA	0	0	45.872
everybody	eve-	16	1	NA	NA	0	0	45.936
everybody	ry-	16	1	NA	NA	0	0	46.328
everybody	bo-	16	1	4	1	0	0	46.602
everybody	dy	16	3	4	2	1	1	46.948
i'm	i'm	16	1	NA	NA	0	0	47.505
on	on	16	1	NA	NA	0	0	47.737
instagram	in-	16	1	NA	NA	0	0	47.979
instagram	sta-	16	1	NA	NA	0	0	48.446
instagram	gram	16	2	NA	NA	0	0	48.703
looking	look-	16	1	NA	NA	0	0	49.144
looking	ing	16	1	NA	NA	0	0	49.349
at	at	16	1	NA	NA	0	0	49.533
your	your	16	1	NA	NA	0	0	49.795
favorite	fa-	16	1	NA	NA	0	0	50.084
favorite	ite	16	1	NA	NA	0	0	50.257
singer	sin-	16	1	5	1	0	0	50.628
singer	ger	16	2	5	2	1	1	50.925
debating	de-	16	1	NA	NA	0	0	51.558
debating	ba-	16	1	NA	NA	0	0	51.711
debating	ting	16	1	NA	NA	0	0	51.864
on	on	16	2	NA	NA	0	0	52.094
should	should	16	1	NA	NA	0	0	52.458
i	i	16	1	NA	NA	0	0	52.598
fuck	fuck	16	1	NA	NA	0	0	53.001
or	or	16	1	NA	NA	0	0	53.236
jump	jump	16	2	NA	NA	0	0	53.573
on	on	16	1	NA	NA	0	0	53.943
her	her	16	1	NA	NA	0	0	54.241
single	sin-	16	1	5	1	0	0	54.624
single	gle	16	3	5	2	1	1	54.939
twenty	twen-	16	1	NA	NA	0	0	55.679
twenty	ty	16	1	NA	NA	0	0	55.855
thou	thou	16	2	6	1	0	0	56.233
she	she	16	1	NA	NA	0	0	56.665
got	got	16	1	NA	NA	0	0	56.914
a	a	16	1	NA	NA	0	0	57.071
hell	hell	16	1	NA	NA	0	0	57.363
of	of	16	1	NA	NA	0	0	57.497
a	a	16	1	NA	NA	0	0	57.679
ad	ad	16	2	7	1	0	0	57.884
lib	lib	16	3	7	2	1	1	58.56
i'm	i'm	16	1	NA	NA	0	0	59.182
in	in	16	1	NA	NA	0	0	59.516
her	her	16	1	NA	NA	0	0	59.764
mouth	mouth	16	3	6	1	0	0	60.149
like	like	16	1	NA	NA	0	0	60.837
i	i	16	1	NA	NA	0	0	61.094
knew	knew	16	1	NA	NA	0	0	61.406
i	i	16	1	NA	NA	0	0	61.583
could	could	16	1	NA	NA	0	0	61.911
have	have	16	2	7	1	0	0	62.109
kids	kids	16	4	7	2	0	1	62.614
k	k	16	1	NA	NA	0	0	63.534
dot	dot	16	1	NA	NA	1	1	63.83
