word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding	bi.c
interviews	in-	16	1	1	1	0	0	0.181
interviews	ter-	16	1	NA	NA	0	0	0.403
interviews	views	16	2	1	2	0	0	0.711
wanna	wan-	16	1	NA	NA	0	0	1.264
wanna	na	16	1	NA	NA	0	0	1.4
know	know	16	1	NA	NA	0	0	1.625
my	my	16	2	NA	NA	0	0	1.916
thoughts	thoughts	16	1	NA	NA	0	0	2.348
and	and	16	1	NA	NA	0	0	2.655
opinions	o-	16	1	2	1	0	0	2.818
opinions	pi-	16	1	2	2	0	0	3.062
opinions	nions	16	3	2	3	1	1	3.298
fox	fox	16	2	1	1	0	0	4.186
news	news	16	2	1	2	0	0	4.675
wanna	wan-	16	1	NA	NA	0	0	5.175
wanna	na	16	1	NA	NA	0	0	5.338
use	use	16	1	NA	NA	0	0	5.594
my	my	16	2	NA	NA	0	0	5.874
name	name	16	1	NA	NA	0	0	6.306
for	for	16	1	NA	NA	0	0	6.642
percentage	per-	16	1	2	1	0	0	6.874
percentage	cent-	16	1	2	2	0	0	7.142
percentage	age	16	2	2	3	1	1	7.395
my	my	16	1	NA	NA	0	0	8.027
latest	lat-	16	1	1	1	0	0	8.225
latest	est	16	1	NA	NA	0	0	8.411
muse	muse	16	2	1	2	0	0	8.737
is	is	16	1	NA	NA	0	0	9.145
my	my	16	2	NA	NA	0	0	9.424
niece	niece	16	2	NA	NA	0	1	9.901
she	she	16	1	NA	NA	0	0	10.53
worth	worth	16	2	2	1	0	0	10.732
livin'	liv-	16	1	2	2	0	0	11.228
livin'	in'	16	3	2	3	1	1	11.503
see	see	16	1	NA	NA	0	0	12.253
me	me	16	1	NA	NA	0	0	12.532
on	on	16	1	NA	NA	0	0	12.64
the	the	16	1	NA	NA	0	0	12.951
tv	t-	16	1	NA	NA	0	0	13.149
tv	v	16	1	NA	NA	0	0	13.486
and	and	16	1	NA	NA	0	0	13.58
scream	scream	16	2	NA	NA	0	0	13.962
that's	that's	16	1	NA	NA	0	0	14.406
uncle	un-	16	1	NA	NA	0	0	14.639
uncle	cle	16	1	2	1	0	0	14.907
kendrick	kend-	16	1	2	2	0	0	15.181
kendrick	rick	16	11	2	3	1	1	15.532
yeah	yeah	16	1	NA	NA	0	0	18.383
that's	that's	16	1	NA	NA	0	0	18.619
the	the	16	1	2	1	0	0	18.938
business	business	16	4	2	2	0	0	19.123
somebody	some-	16	1	NA	NA	0	0	20.107
somebody	bo-	16	1	NA	NA	0	0	20.236
somebody	dy	16	1	NA	NA	0	0	20.464
tell	tell	16	1	NA	NA	0	0	20.661
geraldo	ge-	16	1	NA	NA	0	0	20.915
geraldo	ral-	16	1	NA	NA	0	0	21.123
geraldo	do	16	1	NA	NA	0	0	21.425
this	this	16	1	NA	NA	0	0	21.658
nigga	nig-	16	1	NA	NA	0	0	21.889
nigga	ga	16	1	NA	NA	0	0	22.112
got	got	16	1	NA	NA	0	0	22.358
some	some	16	1	NA	NA	0	0	22.659
ambition	am-	16	1	2	1	0	0	22.861
ambition	bi-	16	1	2	2	0	0	23.136
ambition	tion	16	2	2	3	1	1	23.487
i'm	i'm	16	1	NA	NA	0	0	24.033
not	not	16	1	NA	NA	0	0	24.219
a	a	16	1	NA	NA	0	0	24.409
politician	po-	16	1	NA	NA	0	0	24.647
politician	li-	16	1	2	1	0	0	24.892
politician	ti-	16	1	2	2	0	0	25.135
politician	cian	16	2	2	3	0	1	25.498
i'm	i'm	16	1	NA	NA	0	0	25.965
not	not	16	1	NA	NA	0	0	26.151
bout	bout	16	1	NA	NA	0	0	26.454
a	a	16	1	NA	NA	0	0	26.695
religion	re-	16	1	2	1	0	0	26.94
religion	li-	16	1	2	2	0	0	27.182
religion	gion	16	4	2	3	1	1	27.498
i'm	i'm	16	1	NA	NA	0	0	28.333
a	a	16	1	NA	NA	0	0	28.536
israelite	is-	16	2	NA	NA	0	0	28.7
israelite	rael-	16	1	NA	NA	0	0	29.155
israelite	ite	16	2	NA	NA	0	1	29.411
