word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	32	1	NA	NA	0	0
done	done	32	2	NA	NA	0	0
came	came	32	3	NA	NA	0	0
down	down	32	5	NA	NA	0	0
hold	hold	32	3	1	1	0	0
up	up	32	5	1	2	1	1
grip	grip	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
grain	grain	32	5	NA	NA	0	0
roll	roll	32	3	1	1	0	0
up	up	32	2	1	2	1	1
and	and	32	1	NA	NA	0	0
your	your	32	2	NA	NA	0	0
girlfriend	girl-	32	3	NA	NA	0	0
girlfriend	friend	32	3	NA	NA	0	0
want	want	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
nigga	nig-	32	1	NA	NA	0	0
nigga	ga	32	1	NA	NA	0	0
like	like	32	2	NA	NA	0	0
me	me	32	2	NA	NA	1	0
cause	cause	32	2	NA	NA	0	0
i	i	32	1	NA	NA	0	0
ain't	ain't	32	2	NA	NA	0	0
trying	try-	32	1	NA	NA	0	0
trying	in	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
control	con-	32	2	NA	NA	0	0
control	trol	32	3	1	1	0	0
her	her	32	3	1	2	1	1
she	she	32	2	NA	NA	0	0
call	call	32	3	NA	NA	0	0
me	me	32	2	NA	NA	0	0
when	when	32	1	NA	NA	0	0
she	she	32	2	NA	NA	0	0
want	want	32	2	NA	NA	0	0
a	a	32	1	NA	NA	0	0
change	change	32	5	2	1	1	1
black	black	32	3	NA	NA	0	0
diamond	dia-	32	2	NA	NA	0	0
diamond	mond	32	1	NA	NA	0	0
my	my	32	2	NA	NA	0	0
pinky	pink-	32	2	NA	NA	0	0
pinky	y	32	1	NA	NA	0	0
ring	ring	32	2	2	1	1	1
and	and	32	1	NA	NA	0	0
she	she	32	2	NA	NA	0	0
know	know	32	2	NA	NA	0	0
you	you	32	1	NA	NA	0	0
weak	weak	32	2	NA	NA	0	0
and	and	32	1	NA	NA	0	0
we	we	32	2	NA	NA	0	0
ain't	ain't	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
same	same	32	3	2	1	1	0
you	you	32	2	NA	NA	0	0
hit	hit	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
scene	scene	32	3	2	1	0	0
i	i	32	2	NA	NA	0	0
make	make	32	2	NA	NA	0	0
the	the	32	1	NA	NA	0	0
scene	scene	32	3	2	1	1	1
i'm	i'm	32	2	NA	NA	0	0
in	in	32	1	NA	NA	0	0
her	her	32	2	NA	NA	0	0
head	head	32	3	NA	NA	0	0
like	like	32	2	NA	NA	0	0
maybelline	may-	32	2	NA	NA	0	0
maybelline	bel-	32	1	NA	NA	0	0
maybelline	line	32	5	2	1	1	1
h	h	32	3	NA	NA	0	0
town	town	32	2	NA	NA	0	0
