word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
you	you	16	1	NA	NA	0	0
want	want	8	1	NA	NA	0	0
free	free	16	2	2	1	0	0
style	style	16	3	1	1	0	1
that's	that's	16	1	NA	NA	0	0
right	right	16	3	NA	NA	0	0
the	the	16	1	NA	NA	0	0
style	style	16	2	1	1	0	0
is	is	16	1	NA	NA	0	0
free	free	16	3	2	1	1	1
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
suck	suck	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dick	dick	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
girls	girls	16	2	NA	NA	0	0
drink	drink	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
pee	pee	16	5	2	1	1	1
i'm	i'm	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
s	s	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
m	m	16	1	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
get	get	16	2	3	1	0	0
with	with	16	2	3	2	1	1
pull	pull	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
panties	pan-	16	1	NA	NA	0	0
panties	ties	16	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
stage	stage	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
watch	watch	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
sweat	sweat	16	2	3	1	0	0
quick	quick	16	3	3	2	1	1
suckers	suck-	16	1	NA	NA	0	0
suckers	ers	16	1	NA	NA	0	0
back	back	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
pull	pull	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
style	style	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
transsexual	trans-	16	1	NA	NA	0	0
transsexual	sex-	16	2	4	1	0	0
transsexual	u-	16	1	4	2	0	0
transsexual	al	16	2	4	3	1	1
lesbians	les-	16	1	NA	NA	0	0
lesbians	bi-	16	1	NA	NA	0	0
lesbians	ans	16	1	NA	NA	0	0
