word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
nickel	nick-	16	1	NA	NA	0	0
nickel	el	16	1	NA	NA	0	0
bags	bags	16	2	NA	NA	0	0
yo	yo	16	4	NA	NA	0	1
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
word	word	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
mag	mag	16	2	NA	NA	0	0
yo	yo	16	4	NA	NA	1	1
all	all	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
straight	straight	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
fags	fags	16	2	NA	NA	0	0
yo	yo	16	6	NA	NA	1	1
these	these	16	1	NA	NA	0	0
rappers	rap-	16	1	NA	NA	0	0
rappers	pers	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
brag	brag	16	2	NA	NA	0	0
though	though	16	6	NA	NA	0	1
til	til	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
castle	cas-	16	2	NA	NA	0	0
castle	tle	16	6	NA	NA	1	1
somewhere	some-	16	1	NA	NA	0	0
somewhere	where	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
el	el	16	1	NA	NA	0	0
paso	pa-	16	2	NA	NA	0	0
paso	so	16	1	NA	NA	1	1
