word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
basketball	bas-	16	2	NA	NA	0	0
basketball	ket-	16	1	NA	NA	0	0
basketball	ball	16	2	NA	NA	0	0
is	is	16	2	NA	NA	0	0
my	my	16	1	NA	NA	0	0
favorite	fa-	16	1	NA	NA	0	0
favorite	vor-	16	1	NA	NA	0	0
favorite	ite	16	1	NA	NA	0	0
sport	sport	16	4	NA	NA	1	1
i	i	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
dribble	drib-	16	1	NA	NA	0	0
dribble	ble	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
court	court	16	3	NA	NA	1	1
just	just	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
i'm	i'm	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
king	king	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
microphone	mic-	16	2	NA	NA	0	0
microphone	ro-	16	1	NA	NA	0	0
microphone	phone	16	3	NA	NA	1	1
so	so	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
doctor	doc-	16	2	NA	NA	0	0
doctor	tor	16	1	NA	NA	0	0
jay	jay	16	2	NA	NA	0	0
and	and	16	2	NA	NA	0	0
moses	mos-	16	2	NA	NA	0	0
moses	es	16	2	NA	NA	0	0
malone	mal-	16	1	NA	NA	0	0
malone	one	16	3	NA	NA	1	1
i	i	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
slam	slam	16	2	NA	NA	0	0
dunks	dunks	16	3	NA	NA	0	0
take	take	16	2	NA	NA	0	0
it	it	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hoop	hoop	16	3	NA	NA	1	1
my	my	16	1	NA	NA	0	0
favorite	fa-	16	1	NA	NA	0	0
favorite	vor-	16	1	NA	NA	0	0
favorite	ite	16	1	NA	NA	0	0
play	play	16	2	NA	NA	0	0
is	is	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
alley	al-	16	2	NA	NA	0	0
alley	ley	16	1	NA	NA	0	0
oop	oop	16	2	NA	NA	1	1
i	i	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pick	pick	16	1	NA	NA	0	0
and	and	16	2	NA	NA	0	0
roll	roll	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
and	and	16	2	NA	NA	0	0
go	go	16	2	NA	NA	1	1
cuz	cuz	16	1	NA	NA	0	0
it's	it's	16	2	NA	NA	0	0
basketball	bas-	16	2	NA	NA	0	0
basketball	ket-	16	1	NA	NA	0	0
basketball	ball	16	2	NA	NA	0	0
uh	uh	16	1	NA	NA	0	0
mister	mist-	16	1	NA	NA	0	0
mister	er	16	1	NA	NA	0	0
kurtis	kur-	16	1	NA	NA	0	0
kurtis	tis	16	2	NA	NA	0	0
blow	blow	16	1	NA	NA	1	1
