word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
if	if	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
woman	wo-	16	1	NA	NA	0	0
woman	man	16	1	NA	NA	0	0
steps	steps	16	2	NA	NA	0	0
out	out	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
man	man	16	6	1	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	3	2	1	1	1
and	and	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
runs	runs	16	2	NA	NA	0	0
off	off	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
him	him	16	3	NA	NA	0	0
to	to	16	2	NA	NA	0	0
japan	ja-	16	1	NA	NA	0	0
japan	pan	16	5	1	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	3	2	1	1	1
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
r	r	16	2	NA	NA	0	0
s	s	16	2	NA	NA	0	0
says	says	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
chat	chat	16	5	2	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	3	2	1	1	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	0	0
explain	ex-	16	2	NA	NA	0	0
explain	plain	16	2	NA	NA	0	0
why	why	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
claimed	claimed	16	2	NA	NA	0	0
your	your	16	1	NA	NA	0	0
cat	cat	16	5	2	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	4	2	1	1	1
and	and	16	1	NA	NA	0	0
ma	ma	16	2	NA	NA	0	0
bell	bell	16	2	NA	NA	0	0
sends	sends	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
whopping	whop-	16	1	NA	NA	0	0
whopping	ping	16	2	NA	NA	0	0
bill	bill	16	5	3	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	4	2	1	1	1
with	with	16	1	NA	NA	0	0
eighteen	eigh-	16	2	NA	NA	0	0
eighteen	teen	16	2	NA	NA	0	0
phone	phone	16	2	NA	NA	0	0
calls	calls	16	2	NA	NA	0	0
to	to	16	2	NA	NA	0	0
brazil	bra-	16	1	NA	NA	0	0
brazil	zil	16	5	3	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	3	2	1	1	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
borrowed	bor-	16	1	NA	NA	0	0
borrowed	rowed	16	3	NA	NA	0	0
money	mon-	16	1	NA	NA	0	0
money	ey	16	3	NA	NA	0	0
from	from	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mob	mob	16	5	4	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	4	2	1	1	1
and	and	16	1	NA	NA	0	0
yesterday	yes-	16	2	NA	NA	0	0
yesterday	ter-	16	2	NA	NA	0	0
yesterday	day	16	2	NA	NA	0	0
you	you	16	2	NA	NA	0	0
lost	lost	16	2	NA	NA	0	0
your	your	16	1	NA	NA	0	0
job	job	16	5	4	1	1	1
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	5	2	1	0	0
that's	that's	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	4	2	1	1	1
well	well	16	1	NA	NA	0	0
these	these	16	4	NA	NA	0	0
are	are	16	3	NA	NA	0	0
the	the	16	1	NA	NA	0	0
breaks	breaks	16	6	2	1	1	1
break	break	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
up	up	16	2	3	1	0	0
break	break	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
up	up	16	2	3	1	0	0
break	break	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
up	up	16	2	3	1	1	1
