word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
they	they	16	1	NA	NA	0	0
call	call	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
bad	bad	16	2	NA	NA	0	0
ass	ass	16	3	NA	NA	0	1
and	and	16	1	NA	NA	0	0
i'll	i'll	16	2	NA	NA	0	0
punish	pu-	16	1	1	1	0	0
punish	nish	16	1	1	2	0	0
you	you	16	3	1	3	1	1
you	you	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
equal	e-	16	1	2	1	0	0
equal	qual	16	1	2	2	0	0
we	we	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
people	peo-	16	1	2	1	0	0
people	ple	16	1	2	2	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
one	one	16	1	1	1	0	0
of	of	16	1	1	2	0	0
you	you	16	3	1	3	1	1
since	since	16	1	NA	NA	0	0
ninety	nine-	16	1	NA	NA	0	0
ninety	ty	16	1	NA	NA	0	0
eight	eight	16	1	3	1	0	0
i	i	16	1	NA	NA	0	0
grabbed	grabbed	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
plate	plate	16	1	3	1	0	0
up	up	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lunch	lunch	16	2	NA	NA	0	0
table	ta-	16	1	4	1	0	0
table	ble	16	2	4	2	1	1
i	i	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
momma	mom-	16	1	NA	NA	0	0
momma	ma	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
thuggin	thug-	16	1	NA	NA	0	0
thuggin	gin	16	1	NA	NA	0	0
outside	out-	24	2	NA	NA	0	0
outside	side	48	3	NA	NA	0	0
we	we	48	1	NA	NA	0	0
don't	don't	24	2	NA	NA	0	0
need	need	16	2	NA	NA	0	0
cable	cab-	16	1	4	1	0	0
cable	le	16	2	4	2	1	1
now	now	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nipples	nip-	16	1	NA	NA	0	0
nipples	ples	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
titty	tit-	16	1	5	1	0	0
titty	ty	16	2	5	2	0	1
i'm	i'm	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
motor	mo-	16	1	NA	NA	0	0
motor	tor	16	1	NA	NA	0	0
called	called	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hemi	he-	16	1	5	1	0	0
hemi	mi	16	2	5	2	1	1
i'm	i'm	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
v	v	32	3	NA	NA	0	0
