word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
claim	claim	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
they're	they're	16	1	NA	NA	0	0
after	af-	16	1	NA	NA	0	0
after	ter	16	1	NA	NA	0	0
me	me	16	1	1	1	0	0
but	but	16	2	NA	NA	0	1
this	this	32	1	NA	NA	0	0
ain't	ain't	32	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	16	3	2	1	1	1
cause	cause	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
hopped	hopped	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
industry	in-	16	1	NA	NA	0	0
industry	dus-	16	1	NA	NA	0	0
industry	try	16	3	1	1	0	1
this	this	32	1	NA	NA	0	0
ain't	ain't	32	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	16	3	2	1	1	1
see	see	32	1	NA	NA	0	0
this	this	32	1	NA	NA	0	0
rap	rap	8	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
me	me	16	3	1	1	0	1
this	this	32	1	NA	NA	0	0
ain't	ain't	32	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	32	5	2	1	1	1
i	i	32	1	NA	NA	0	0
got	got	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
police	po-	16	1	NA	NA	0	0
police	lice	16	1	NA	NA	0	0
all	all	8	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
me	me	8	1	1	1	0	1
this	this	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	8	1	2	1	1	1
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
own	own	8	1	NA	NA	0	0
city	ci-	8	1	NA	NA	0	0
city	ty	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
hate	hate	16	1	3	1	0	0
on	on	16	1	3	2	0	0
me	me	16	1	3	3	0	0
put	put	16	1	NA	NA	0	0
weight	weight	16	1	3	1	0	0
on	on	16	1	3	2	0	0
me	me	16	3	3	3	1	1
fuck	fuck	16	1	NA	NA	0	0
t	t	16	1	3	1	0	0
m	m	16	1	3	2	0	0
z	z	16	3	3	3	0	1
fuck	fuck	16	1	NA	NA	0	0
breaking	break-	16	1	NA	NA	0	0
breaking	ing	16	1	NA	NA	0	0
news	news	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	3	1	0	0
b	b	16	1	3	2	0	0
c	c	8	1	3	3	1	1
i	i	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
shows	shows	4	1	NA	NA	0	1
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
terrify	ter-	16	1	NA	NA	0	0
terrify	ri-	16	1	NA	NA	0	0
terrify	fy	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
city	ci-	8	1	4	1	0	0
city	ty	16	7	4	2	1	1
they	they	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
terrify	ter-	16	1	NA	NA	0	0
terrify	ri-	16	1	NA	NA	0	0
terrify	fy	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
city	ci-	8	1	4	1	0	0
city	ty	8	1	4	2	1	1
niggas	nig-	32	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
get	get	32	3	NA	NA	0	0
slumped	slumped	4	1	6	1	0	1
you're	you're	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
first	first	16	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
get	get	32	3	NA	NA	0	0
blamed	blamed	4	1	5	1	1	1
a	a	16	1	NA	NA	0	0
nigga	nig-	32	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
try	try	32	3	NA	NA	0	0
us	us	4	1	6	1	0	1
he	he	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
first	first	32	3	NA	NA	0	0
one	one	16	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
changed	changed	16	3	5	1	1	1
they	they	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
snitch	snitch	16	6	NA	NA	0	1
tryna	try-	32	1	NA	NA	0	0
tryna	na	32	1	NA	NA	0	0
put	put	32	1	NA	NA	0	0
dirt	dirt	16	1	NA	NA	0	0
on	on	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
name	name	16	3	5	1	1	1
they	they	16	1	NA	NA	0	0
ride	ride	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
me	me	4	1	NA	NA	0	1
ask	ask	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
lil	lil	32	3	NA	NA	0	0
durk	durk	32	3	NA	NA	0	0
my	my	16	1	NA	NA	0	0
name	name	16	1	5	1	1	1
