word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	2	NA	NA	0	0
come	come	16	2	NA	NA	0	0
from	from	16	1	NA	NA	1	0
bed	bed	16	2	NA	NA	0	0
sty	sty	16	2	1	1	0	1
where	where	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
either	ei-	16	1	NA	NA	0	0
either	ther	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
gon'	gon'	16	2	NA	NA	0	0
die	die	16	3	1	1	1	1
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ratchet	rat-	16	2	NA	NA	0	0
ratchet	chet	16	1	NA	NA	0	0
close	close	16	2	NA	NA	0	0
by	by	16	3	1	1	1	1
someone	some-	16	2	NA	NA	0	0
someone	one	16	1	NA	NA	0	0
murdered	mur-	16	2	2	1	0	0
murdered	dered	16	3	2	2	0	1
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
seen	seen	16	1	NA	NA	0	0
nobody	no-	16	1	NA	NA	0	0
nobody	bo-	16	1	NA	NA	0	0
nobody	dy	16	1	NA	NA	0	0
heard	heard	16	2	2	1	0	0
it	it	16	3	2	2	1	1
just	just	16	1	NA	NA	0	0
another	a-	16	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
funeral	fu-	16	1	NA	NA	0	0
funeral	ne-	16	1	NA	NA	0	0
funeral	ral	16	1	NA	NA	0	0
service	ser-	16	2	2	1	0	0
service	vice	16	2	2	2	1	1
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
at	at	16	2	3	1	0	0
you	you	16	3	3	2	0	1
come	come	16	2	NA	NA	0	0
through	through	16	2	NA	NA	0	0
shinin'	shin-	16	1	NA	NA	0	0
shinin'	in'	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
yap	yap	16	2	3	1	0	0
you	you	16	2	3	2	1	1
in	in	16	1	NA	NA	0	0
broad	broad	16	2	NA	NA	0	0
daylight	day-	16	2	NA	NA	0	0
daylight	light	16	2	NA	NA	0	0
kidnap	kid-	16	1	NA	NA	0	0
kidnap	nap	16	2	3	1	0	0
you	you	16	3	3	2	1	1
best	best	16	2	NA	NA	0	0
get	get	16	1	NA	NA	0	0
clap	clap	16	2	3	1	0	0
through	through	16	2	3	2	0	1
police	po-	16	1	NA	NA	0	0
police	lice	16	2	NA	NA	0	0
stay	stay	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
tattoos	tat-	16	2	3	1	0	0
tattoos	toos	16	3	3	2	1	1
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
grind	grind	16	1	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
have	have	16	2	3	1	0	0
to	to	16	3	3	2	1	1
money	mon-	16	1	NA	NA	0	0
money	ey	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
power	po-	16	2	4	1	0	0
power	wer	16	3	4	2	0	1
sling	sling	16	2	NA	NA	0	0
crack	crack	16	2	NA	NA	0	0
weed	weed	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
powder	pow-	16	2	4	1	0	0
powder	der	16	3	4	2	1	0
fiends	fiends	16	2	NA	NA	0	0
come	come	16	2	NA	NA	0	0
through	through	16	1	NA	NA	0	0
every	ev-	24	1	NA	NA	0	0
every	er-	24	1	NA	NA	0	0
every	ry	24	1	NA	NA	0	0
