word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	24	1	NA	NA	0	0
dough	dough	8	1	NA	NA	0	0
tactics	tac-	8	1	NA	NA	0	0
tactics	tics	12	1	NA	NA	0	0
is	is	24	1	NA	NA	0	0
so	so	8	1	NA	NA	0	0
crafty	craf-	8	1	NA	NA	0	0
crafty	ty	24	5	NA	NA	1	1
no	no	24	1	NA	NA	0	0
laughter	laught-	12	1	NA	NA	0	0
laughter	er	8	1	NA	NA	0	1
i	i	24	1	NA	NA	0	0
do	do	12	1	NA	NA	0	0
that	that	12	1	NA	NA	0	0
after	af-	8	1	NA	NA	0	0
after	ter	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
get	get	12	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
dough	dough	8	1	NA	NA	0	0
bastards	bas-	12	1	NA	NA	0	0
bastards	tards	8	1	NA	NA	1	1
i	i	24	1	NA	NA	0	0
get	get	12	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
dough	dough	8	1	NA	NA	0	0
faster	fast-	12	1	NA	NA	0	0
faster	er	8	1	NA	NA	0	1
what	what	24	1	NA	NA	0	0
if	if	12	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
flowed	flowed	8	1	NA	NA	0	0
faster	fast-	8	1	NA	NA	0	0
faster	er	6	1	NA	NA	1	1
like	like	12	1	NA	NA	0	0
oh	oh	32	3	NA	NA	0	0
nancy	nan-	16	1	NA	NA	0	0
nancy	cy	32	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow's	flow's	32	3	NA	NA	0	0
plastic	plas-	16	1	NA	NA	0	0
plastic	tic	16	1	NA	NA	0	0
automatic	au-	32	1	NA	NA	0	0
automatic	to-	32	3	NA	NA	0	0
automatic	ma-	16	1	NA	NA	0	0
automatic	tic	16	1	NA	NA	1	1
