word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
flashbacks	flash-	16	2	NA	NA	0	0
flashbacks	backs	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
youngin'	youn-	16	1	NA	NA	0	0
youngin'	gin'	16	1	NA	NA	0	0
sipping	sip-	16	1	NA	NA	0	0
sipping	ping	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
purple	pur-	16	1	NA	NA	0	0
purple	ple	16	1	NA	NA	0	0
kool	kool	16	1	NA	NA	0	0
aid	aid	16	2	1	1	1	1
skipping	skip-	16	1	NA	NA	0	0
skipping	ping	16	1	NA	NA	0	0
school	school	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
homies	hom-	16	1	NA	NA	0	0
homies	ies	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
chiefing	chief-	16	1	NA	NA	0	0
chiefing	ing	16	1	NA	NA	0	0
reefer	reef-	16	1	NA	NA	0	0
reefer	er	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
days	days	16	2	1	1	1	1
running	run-	16	1	NA	NA	0	0
running	ning	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
law	law	16	2	2	1	0	1
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
living	liv-	16	1	NA	NA	0	0
living	ing	16	1	NA	NA	0	0
fuck	fuck	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
all	all	16	2	2	1	1	1
bumping	bump-	16	1	NA	NA	0	0
bumping	ing	16	1	NA	NA	0	0
triple	trip-	16	1	NA	NA	0	0
triple	le	16	1	NA	NA	0	0
six	six	16	2	3	1	0	1
hennessy	hen-	16	1	NA	NA	0	0
hennessy	nes-	16	1	NA	NA	0	0
hennessy	sy	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
cup	cup	16	1	NA	NA	0	0
driving	dri-	16	1	NA	NA	0	0
driving	ving	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sticks	sticks	16	2	3	1	1	1
who	who	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bitch	bitch	16	2	3	1	0	1
riding	ri-	16	1	NA	NA	0	0
