word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
saying	say-	16	1	NA	NA	0	0
saying	in'	16	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
bad	bad	4	1	1	1	0	1
my	my	8	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
hood	hood	16	3	2	1	1	1
my	my	16	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
do	do	8	1	NA	NA	0	0
stuff	stuff	8	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
wish	wish	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
could	could	4	1	2	1	1	1
my	my	8	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
bad	bad	4	1	1	1	0	1
badder	bad-	16	1	NA	NA	0	0
badder	der	16	1	NA	NA	0	0
than	than	8	1	NA	NA	0	0
yours	yours	16	3	3	1	1	1
my	my	16	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
do	do	8	1	NA	NA	0	0
stuff	stuff	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
words	words	16	3	3	1	1	1
her	her	16	1	NA	NA	0	0
swagger	swag-	16	1	NA	NA	0	0
swagger	ger	16	1	NA	NA	0	0
don't	don't	8	1	NA	NA	0	0
stop	stop	16	3	NA	NA	0	1
her	her	16	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
won't	won't	8	1	NA	NA	0	0
quit	quit	16	3	4	1	1	1
so	so	16	1	NA	NA	0	0
fool	fool	8	1	NA	NA	0	0
pipe	pipe	8	1	NA	NA	0	0
down	down	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ain't	ain't	8	1	NA	NA	0	0
talking	talk-	16	1	NA	NA	0	0
talking	in	16	1	NA	NA	0	0
bout	bout	8	1	NA	NA	0	0
shit	shit	4	1	4	1	1	1
my	my	8	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
bad	bad	4	1	1	1	0	1
tell	tell	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
seen	seen	16	1	5	1	0	0
her	her	8	1	5	2	1	1
she	she	16	1	NA	NA	0	0
always	al-	16	1	NA	NA	0	0
always	ways	16	1	NA	NA	0	0
bring	bring	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
racket	rack-	16	1	NA	NA	0	0
racket	et	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
venus	ve-	16	1	NA	NA	0	0
venus	nus	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
serena	se-	16	1	NA	NA	0	0
serena	re-	16	1	5	1	0	0
serena	na	16	3	5	2	1	1
all	all	8	1	NA	NA	0	0
white	white	8	1	NA	NA	0	0
top	top	4	1	NA	NA	0	1
all	all	8	1	NA	NA	0	0
white	white	8	1	NA	NA	0	0
belt	belt	16	3	6	1	1	1
and	and	16	1	NA	NA	0	0
all	all	8	1	NA	NA	0	0
white	white	8	1	NA	NA	0	0
jeans	jeans	8	1	NA	NA	0	0
body	bo-	16	1	NA	NA	0	0
body	dy	16	1	NA	NA	0	0
looking	look-	16	1	NA	NA	0	0
looking	in	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
milk	milk	4	1	6	1	1	1
no	no	16	1	NA	NA	0	0
time	time	8	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
games	games	4	1	NA	NA	0	1
she's	she's	8	1	NA	NA	0	0
full	full	8	1	NA	NA	0	0
grown	grown	4	1	7	1	1	1
my	my	8	1	NA	NA	0	0
chick	chick	8	1	NA	NA	0	0
bad	bad	8	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
yo'	yo'	16	1	NA	NA	0	0
chick	chick	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	8	1	NA	NA	0	0
home	home	16	1	7	1	1	1
