word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	16	1	NA	NA	0	0
name	name	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
young	young	16	1	NA	NA	0	0
mac	mac	16	1	NA	NA	0	0
mall	mall	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
opinion	o-	16	1	NA	NA	0	0
opinion	pi-	16	1	NA	NA	0	0
opinion	nion	16	2	NA	NA	1	1
and	and	16	1	NA	NA	0	0
since	since	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
your	your	32	1	NA	NA	0	0
attention	at-	32	1	NA	NA	0	0
attention	ten-	16	1	1	1	0	0
attention	tion	16	1	1	2	0	0
there's	there's	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
i'd	i'd	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
mention	men-	16	1	1	1	0	0
mention	tion	16	3	1	2	1	1
fuck	fuck	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
punk	punk	16	1	NA	NA	0	0
ass	ass	16	1	NA	NA	0	0
rollers	rol-	16	1	2	1	0	0
rollers	lers	16	2	2	2	0	1
them	them	16	1	NA	NA	0	0
highway	high-	16	1	NA	NA	0	0
highway	way	16	1	NA	NA	0	0
type	type	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
strollers	strol-	16	1	2	1	0	0
strollers	lers	16	2	2	2	1	1
cause	cause	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
wanting	want-	24	1	NA	NA	0	0
wanting	ing	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
bust	bust	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
big	big	16	1	NA	NA	0	0
fat	fat	16	1	NA	NA	0	0
caps	caps	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
ghetto	ghet-	16	1	NA	NA	0	0
ghetto	to	16	1	NA	NA	0	0
souljas	soul-	16	1	2	1	0	0
souljas	jas	16	2	2	2	1	1
i	i	16	1	NA	NA	0	0
guess	guess	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
fold	fold	16	1	2	1	0	0
us	us	16	2	2	2	0	1
but	but	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
won't	won't	16	1	2	1	0	0
just	just	16	1	2	2	0	0
have	have	16	1	NA	NA	0	0
that	that	16	2	3	1	1	1
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
streets	streets	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
ninety	nine-	16	1	NA	NA	0	0
ninety	ty	16	1	NA	NA	0	0
three	three	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
playas	play-	16	1	NA	NA	0	0
playas	as	16	1	NA	NA	0	0
bust	bust	16	1	NA	NA	0	0
back	back	16	2	3	1	1	1
i	i	16	1	NA	NA	0	0
might	might	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
dead	dead	16	2	NA	NA	0	0
man	man	16	1	3	1	0	1
because	be-	16	1	NA	NA	0	0
because	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
speak	speak	16	1	NA	NA	0	0
rebellion	re-	16	1	NA	NA	0	0
rebellion	bel-	16	1	4	1	0	0
rebellion	lion	16	2	4	2	1	1
they	they	16	1	NA	NA	0	0
ready	read-	24	1	NA	NA	0	0
ready	y	24	1	NA	NA	0	0
did	did	24	1	NA	NA	0	0
malcolm	mal-	16	1	NA	NA	0	0
malcolm	colm	16	1	NA	NA	0	0
x	x	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
dr	doct-	16	1	NA	NA	0	0
dr	tor	16	1	NA	NA	0	0
king	king	16	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
