word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
chick	chick	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
moved	moved	16	1	NA	NA	0	0
right	right	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
block	block	16	1	1	1	0	0
from	from	16	1	1	2	0	0
me	me	16	1	1	3	1	0
and	and	16	1	NA	NA	0	0
uhh	uhh	16	1	NA	NA	0	1
she	she	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
hots	hots	16	1	1	1	0	0
for	for	16	1	1	2	0	0
me	me	16	1	1	3	0	0
the	the	16	1	NA	NA	0	0
finest	fi-	16	1	NA	NA	0	0
finest	nest	16	1	NA	NA	0	0
thing	thing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
hood	hood	16	1	1	1	0	0
done	done	16	1	1	2	0	0
seen	seen	16	1	1	3	1	0
but	but	16	1	NA	NA	0	0
oh	oh	8	1	NA	NA	0	0
no	no	8	1	NA	NA	0	0
oh	oh	8	1	NA	NA	0	0
no	no	16	3	NA	NA	0	1
she	she	16	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
man	man	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
a	a	16	1	NA	NA	1	0
son	son	8	1	NA	NA	0	0
though	though	16	7	NA	NA	0	1
but	but	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
okay	o-	16	1	NA	NA	0	0
okay	kay	16	2	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
i	i	16	2	NA	NA	1	1
wait	wait	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
cue	cue	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
listen	list-	16	1	2	1	0	0
listen	en	16	1	2	2	0	0
play	play	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
position	pos-	16	1	NA	NA	0	0
position	i-	16	1	2	1	0	0
position	tion	16	1	2	2	1	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
shortstop	short-	8	1	NA	NA	0	0
shortstop	stop	16	3	NA	NA	0	1
pick	pick	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
evrything	ev-	16	1	NA	NA	0	0
evrything	ry-	16	1	NA	NA	0	0
evrything	thing	16	1	NA	NA	0	0
mami	ma-	16	1	NA	NA	0	0
mami	mi	16	1	NA	NA	0	0
hitting	hit-	16	1	NA	NA	0	0
hitting	ting	16	1	NA	NA	1	0
and	and	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
no	no	16	2	NA	NA	0	0
time	time	16	7	3	1	0	1
i	i	16	1	NA	NA	0	0
plan	plan	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	2	NA	NA	0	0
this	this	16	1	NA	NA	1	0
one	one	16	1	NA	NA	0	0
here	here	16	2	NA	NA	0	0
mine	mine	16	7	3	1	0	1
and	and	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
sure	sure	16	2	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i	i	16	2	3	1	1	1
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
type	type	16	1	NA	NA	0	0
to	to	16	2	NA	NA	0	1
break	break	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
happy	hap-	16	1	NA	NA	0	0
happy	py	16	1	NA	NA	0	0
home	home	16	1	4	1	1	0
but	but	16	1	NA	NA	0	0
uh	uh	16	1	NA	NA	0	1
there's	there's	16	1	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
bout	bout	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
girl	girl	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
alone	a-	16	1	NA	NA	0	0
alone	lone	16	1	4	1	1	1
so	so	16	1	NA	NA	0	0
tell	tell	16	2	NA	NA	0	0
me	me	16	2	NA	NA	0	0
ma	ma	16	2	NA	NA	0	0
what's	what's	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
gonna	gon-	16	2	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
be	be	16	2	5	1	0	0
she	she	16	1	NA	NA	0	0
said	said	16	2	NA	NA	1	1
you	you	8	1	NA	NA	0	0
don't	don't	8	1	NA	NA	0	0
know	know	8	1	NA	NA	0	0
what	what	8	1	NA	NA	0	0
you	you	8	1	NA	NA	0	0
mean	mean	8	1	NA	NA	0	0
to	to	8	1	NA	NA	0	0
me	me	8	1	5	1	0	1
