word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
antwan	an-	8	1	NA	NA	0	0
antwan	twan	8	1	NA	NA	0	0
raps	raps	8	1	NA	NA	0	0
on	on	4	1	NA	NA	1	1
raps	raps	8	1	NA	NA	0	0
on	on	4	1	NA	NA	0	1
clap	clap	8	1	NA	NA	0	0
off	off	8	1	NA	NA	0	0
clap	clap	8	1	NA	NA	0	0
on	on	16	3	NA	NA	1	1
i	i	16	1	NA	NA	0	0
switch	switch	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow	flow	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
quick	quick	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
cannot	can-	8	1	NA	NA	0	0
cannot	not	8	1	NA	NA	0	0
fathom	fa-	8	1	NA	NA	0	0
fathom	thom	16	3	NA	NA	1	1
i	i	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
submarine	sub-	16	1	NA	NA	0	0
submarine	ma-	16	1	NA	NA	0	0
submarine	rine	8	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
thousand	thou-	16	1	NA	NA	0	0
thousand	sand	16	1	NA	NA	0	0
leagues	leagues	8	1	NA	NA	1	0
below	be-	16	1	NA	NA	0	0
below	low	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sea	sea	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
grab	grab	8	1	NA	NA	0	0
one	one	8	1	NA	NA	0	0
line	line	8	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
sentence	sen-	16	1	NA	NA	0	0
sentence	tence	16	1	NA	NA	1	1
