word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
up	up	16	2	NA	NA	0	0
early	ea-	16	1	NA	NA	0	0
early	rly	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sun	sun	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stars	stars	16	3	1	1	1	1
six	six	8	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
m	m	16	3	NA	NA	0	0
ring	ring	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
alarm	a-	16	1	NA	NA	0	0
alarm	larm	16	3	1	1	0	1
weather	wea-	16	1	NA	NA	0	0
weather	ther	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
say	say	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	1	0
ninety	nine-	16	1	NA	NA	0	0
ninety	ty	16	1	NA	NA	0	0
today	to-	16	1	NA	NA	0	0
today	day	16	2	NA	NA	0	1
but	but	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
gong	gon'	16	1	NA	NA	0	0
feel	feel	8	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hundred	hund-	16	1	NA	NA	0	0
hundred	red	16	1	NA	NA	0	0
tomorrow	to-	16	1	NA	NA	0	0
tomorrow	mor-	16	1	1	1	0	0
tomorrow	row	16	1	NA	NA	1	0
so	so	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
fresh	fresh	16	2	NA	NA	0	0
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
arms	arms	16	3	1	1	1	1
bullshit	bull-	16	2	NA	NA	0	0
bullshit	shit	16	1	NA	NA	0	0
soon	soon	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
job	job	16	3	1	1	0	1
boss	boss	16	2	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
news	news	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
box	box	16	2	NA	NA	0	0
cutter	cut-	16	1	NA	NA	0	0
cutter	ter	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
jaw	jaw	16	3	1	1	1	1
said	said	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
had	had	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
meeting	meet-	16	1	NA	NA	0	0
meeting	ing	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	2	NA	NA	0	0
three	three	16	2	NA	NA	0	0
hundred	hund-	16	1	2	1	0	0
hundred	red	16	2	2	2	1	1
of	of	16	1	NA	NA	0	0
y'all	y'all	16	2	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	tin	16	1	NA	NA	0	0
fired	fi-	16	1	NA	NA	0	0
fired	red	16	1	NA	NA	0	0
cuz	cuz	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
been	been	16	2	NA	NA	0	0
defunded	de-	16	2	NA	NA	0	0
defunded	fun-	16	1	2	1	0	0
defunded	ded	16	5	2	2	1	1
can't	can't	16	2	NA	NA	0	0
say	say	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
didn't	did-	16	1	NA	NA	0	0
didn't	n't	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
coming	com-	16	1	2	1	0	0
coming	ing	16	2	2	2	1	1
i	i	16	1	NA	NA	0	0
always	al-	16	2	NA	NA	0	0
always	ways	16	2	NA	NA	0	0
knew	knew	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
one	one	16	2	3	1	0	0
day	day	16	2	3	2	0	1
they'd	they'd	16	1	NA	NA	0	0
find	find	16	1	NA	NA	0	0
a	a	16	1	NA	NA	1	0
way	way	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wolves	wolves	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
once	once	16	2	3	1	0	0
they	they	16	3	3	2	1	1
came	came	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
room	room	16	2	4	1	0	0
on	on	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
friday	fri-	16	1	NA	NA	0	0
friday	day	16	1	NA	NA	0	0
afternoon	af-	16	1	NA	NA	0	0
afternoon	ter-	16	1	NA	NA	0	0
afternoon	noon	16	2	4	1	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
thinking	think-	16	1	NA	NA	0	0
thinking	in	16	1	NA	NA	1	0
why	why	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
faggot	fag-	16	1	NA	NA	0	0
faggot	got	16	1	NA	NA	0	0
ass	ass	16	2	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
couldn't	could-	16	1	NA	NA	0	0
couldn't	n't	16	1	NA	NA	0	0
find	find	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
monday	mon-	16	2	3	1	0	0
monday	day	16	2	3	2	1	1
i	i	16	1	NA	NA	0	0
