word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it's	it's	16	1	NA	NA	0	0
p	p	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
double	doub-	16	1	NA	NA	0	0
double	le	16	1	NA	NA	0	0
l	l	16	2	NA	NA	0	0
professional	pro-	16	1	NA	NA	0	0
professional	fes-	16	1	NA	NA	0	0
professional	sion-	16	1	NA	NA	0	0
professional	al	16	1	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
kicka	kic-	16	1	1	1	0	0
kicka	ka	16	3	1	2	1	1
yams	yams	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stove	stove	16	2	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
favorite	fa-	24	1	NA	NA	0	0
favorite	vor-	24	1	NA	NA	0	0
favorite	ite	24	1	NA	NA	0	0
stripper	strip-	16	1	1	1	0	0
stripper	per	16	3	1	2	1	1
pies	pies	16	2	NA	NA	0	0
flying	fly-	16	1	NA	NA	0	0
flying	in	16	1	NA	NA	0	0
out	out	16	2	NA	NA	0	1
them	them	16	1	NA	NA	0	0
zips	zips	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
grew	grew	16	2	2	1	0	0
wings	wings	16	4	2	2	1	1
phone	phone	16	2	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
stupid	stu-	16	1	NA	NA	0	0
stupid	pid	16	1	NA	NA	0	0
made	made	16	1	3	1	0	0
a	a	16	1	NA	NA	0	0
rack	rack	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
two	two	16	2	2	1	0	0
rings	rings	16	4	2	2	1	1
straight	straight	16	2	3	1	0	0
drop	drop	16	2	NA	NA	0	0
hard	hard	16	2	NA	NA	0	0
got	got	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
j's	j's	16	2	NA	NA	0	0
plate	plate	16	2	3	1	0	0
licking	lick-	16	1	3	2	0	0
licking	ing	16	1	3	3	1	0
ground	ground	16	2	NA	NA	0	0
basing	ba-	16	1	3	1	0	0
basing	sing	16	1	NA	NA	0	0
jumping	jump-	16	1	NA	NA	0	0
jumping	ing	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
cars	cars	16	2	NA	NA	0	0
they	they	16	2	NA	NA	0	1
blake	blake	16	2	3	1	0	0
griffin	grif-	16	1	3	2	0	0
griffin	in'	16	1	3	3	1	0
got	got	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
chickens	chi-	16	1	3	2	0	0
chickens	ckens	16	1	3	3	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gym	gym	16	2	NA	NA	0	0
yup	yup	16	2	NA	NA	0	1
